,latitude,longitude,d50,beach_slope_average,mstr,code,dataset,hs_mean,dir,tp
200,30.146040664200765,-81.34283135193907,0.849687995,0.0728875,2.033987045288086,1.0,rossi,0.5903670628954822,89.68577404253645,7.946585579645518
201,35.47884953534741,-75.47137258100187,0.947119967,0.08652,1.3292309045791626,1.0,"McFall, 2022",0.7942075795500637,109.8669772354709,8.565028217951424
202,30.17871345639245,-81.34266387437121,0.849687995,0.0728875,2.033987045288086,1.0,rossi,0.606250557944767,93.03562650209037,7.841520746107492
203,36.90584051545742,-75.95719446768885,1.009969146,0.0844660194174757,1.5206843614578247,1.0,"McFall, 2022",0.6160968803849313,116.7220578928268,7.280725832516923
204,36.67157776271544,-75.90688877027927,0.90719755,0.0597647058823529,1.451121807098389,1.0,"McFall, 2022",0.4933865399575131,96.01364027442996,7.605529384473304
205,30.145159518929617,-81.34260714343307,0.849687995,0.0728875,2.033987045288086,1.0,rossi,0.5903670628954822,89.68577404253645,7.946585579645518
206,35.513071298409,-75.47116066875822,0.947119967,0.08652,1.3292309045791626,1.0,"McFall, 2022",0.578760488058632,110.65825628944484,8.565344889439313
207,30.179815626361425,-81.3429402485395,0.849687995,0.0728875,2.033987045288086,1.0,rossi,0.606250557944767,93.03562650209037,7.841520746107492
208,30.14581992683044,-81.3427776751541,0.849687995,0.0728875,2.033987045288086,1.0,rossi,0.5903670628954822,89.68577404253645,7.946585579645518
209,36.67157776271544,-75.90688877027927,0.90719755,0.0597647058823529,1.451121807098389,1.0,"McFall, 2022",0.4933865399575131,96.01364027442996,7.605529384473304
210,36.70491058771544,-75.90688877027927,0.90719755,0.0597647058823529,1.451121807098389,1.0,"McFall, 2022",0.5681371700280414,97.6791951235533,7.46602433481943
211,36.705127019891165,-75.90696760263668,0.90719755,0.0597647058823529,1.451121807098389,1.0,"McFall, 2022",0.5681371700280414,97.6791951235533,7.46602433481943
212,36.67179419489116,-75.90696760263668,0.90719755,0.0597647058823529,1.451121807098389,1.0,"McFall, 2022",0.4933865399575131,96.01364027442996,7.605529384473304
213,30.179815626361425,-81.3429402485395,0.849687995,0.0728875,2.033987045288086,1.0,rossi,0.606250557944767,93.03562650209037,7.841520746107492
214,36.90540324497806,-75.95705737912999,1.009969146,0.0844660194174757,1.5206843614578247,1.0,"McFall, 2022",0.6160968803849313,116.7220578928268,7.280725832516923
215,28.056395576531653,-80.53876137926807,0.918277857,0.0793715846994535,1.463911533355713,1.0,rossi,0.5618537251260445,86.18452297098833,7.704213030948553
216,36.604042835730176,-75.8732465724555,0.90719755,0.0597647058823529,1.451121807098389,1.0,"McFall, 2022",0.5511093859306048,93.67501342664448,7.639458233134051
217,36.67157776271544,-75.90688877027927,0.90719755,0.0597647058823529,1.451121807098389,1.0,"McFall, 2022",0.4933865399575131,96.01364027442996,7.605529384473304
218,36.60447890972911,-75.87339257194051,0.90719755,0.0597647058823529,1.451121807098389,1.0,"McFall, 2022",0.5511093859306048,93.67501342664448,7.639458233134051
219,36.60447890972911,-75.87339257194051,0.90719755,0.0597647058823529,1.451121807098389,1.0,"McFall, 2022",0.5511093859306048,93.67501342664448,7.639458233134051
220,30.14581992683044,-81.3427776751541,0.849687995,0.0728875,2.033987045288086,1.0,rossi,0.5903670628954822,89.68577404253645,7.946585579645518
221,30.18091342692525,-81.34323963456825,0.849687995,0.0728875,2.033987045288086,1.0,rossi,0.606250557944767,93.03562650209037,7.841520746107492
222,30.146040664200765,-81.34283135193907,0.849687995,0.0728875,2.033987045288086,1.0,rossi,0.5903670628954822,89.68577404253645,7.946585579645518
223,28.056395576531653,-80.53876137926807,0.918277857,0.0793715846994535,1.463911533355713,1.0,rossi,0.5618537251260445,86.18452297098833,7.704213030948553
224,35.51678415164868,-75.46328771082531,0.947119967,0.0748888888888889,1.3353363275527954,1.0,"McFall, 2022",0.7942075795500637,109.8669772354709,8.565028217951424
225,30.146040664200765,-81.34283135193907,0.849687995,0.0728875,2.033987045288086,1.0,rossi,0.5903670628954822,89.68577404253645,7.946585579645518
226,30.146040664200765,-81.34283135193907,0.849687995,0.0728875,2.033987045288086,1.0,rossi,0.5903670628954822,89.68577404253645,7.946585579645518
227,30.146040664200765,-81.34283135193907,0.849687995,0.0728875,2.033987045288086,1.0,rossi,0.5903670628954822,89.68577404253645,7.946585579645518
228,36.604042835730176,-75.8732465724555,0.90719755,0.0597647058823529,1.451121807098389,1.0,"McFall, 2022",0.5511093859306048,93.67501342664448,7.639458233134051
