,latitude,longitude,d50,beach_slope_average,mstr,code,dataset,hs_mean,dir,tp
0,-31.429032426497866,152.91977454466752,0.1901,0.0515508248361358,1.858445644378662,0.0,Short (2022),1.5580883714344307,121.78934084378714,9.152285121221574
1,-28.987779672519114,153.49400258293778,0.2048,0.05277603280023786,1.9470771551132202,0.0,Short (2022),1.5856934194020575,117.72073247800145,9.064267031329418
2,-28.634153639085707,153.63715067058754,0.2025,0.06249007274596746,1.9457354545593262,0.0,Short (2022),1.710445167264946,118.54819396869925,8.900982037121777
3,-30.69896521747806,152.9950381406657,0.2261,0.0484173472023243,1.8712759017944336,0.0,Short (2022),1.4752543809074745,116.50928660577054,9.15530055458056
4,-30.884685395330976,153.05759271141702,0.2401,0.07062543726882389,1.8655439615249634,0.0,Short (2022),1.4752543809074745,116.50928660577054,9.15530055458056
5,-34.29714536255419,150.94258770146664,0.2132,0.056483693386715626,1.7128872871398926,0.0,Short (2022),1.6666094201586537,130.91704183084408,9.10431936624431
6,-35.522727659440136,150.40251875488374,0.2466,0.060961544948061434,1.6590973138809204,0.0,Short (2022),1.4944167689137557,125.2582968720027,8.861750193388744
7,-36.91609874683515,149.90884697755806,0.2018,0.07091155377120162,1.6221908330917358,0.0,Short (2022),1.7136635028121476,129.01831678708805,8.706681241881789
8,-30.063280164127608,153.2023461374623,0.1575,0.051842021940376945,1.8936657905578613,0.0,Short (2022),1.6351264182080314,117.6059020626407,8.9323807098709
9,-30.366631063355577,153.1047794035409,0.2217,0.051247702538793044,1.8768483400344849,0.0,Short (2022),1.7683353592149118,120.07952190399946,9.331219139943462
10,-31.784652467995024,152.75744857788152,0.24,0.05916117347074315,1.8487032651901245,0.0,Short (2022),1.5580883714344307,121.78934084378714,9.152285121221574
11,-29.1305017576919,153.44862935924016,0.1815,0.05440425931121421,1.9473693370819092,0.0,Short (2022),1.5856934194020575,117.72073247800145,9.064267031329418
12,-35.31076601418637,150.47237171123047,0.2066,0.05698314209503818,1.6618397235870361,0.0,Short (2022),1.7771442865702658,132.2892833446387,8.96398193267294
13,-34.376750134721476,150.9229822427868,0.2188,0.04861373813787557,1.7099331617355347,0.0,Short (2022),1.6666094201586537,130.91704183084408,9.10431936624431
14,-29.58690727564036,153.33298550807032,0.1912,0.05506844589115058,1.923243761062622,0.0,Short (2022),1.5885657607544814,117.75991591334113,8.89716783575594
15,-27.42455261453857,153.52456835332762,0.18175,0.05164619180891467,1.988240361213684,0.0,Short (2022),1.1393276672280073,105.53384222767657,8.728909793526125
16,-33.74710144629303,151.30481239213861,0.2331,0.05517443528796716,1.7356716394424438,0.0,Short (2022),1.4340967057712257,131.46454218568243,8.956954446706074
17,-34.60409980885265,150.86811014732012,0.1987,0.04710013407875485,1.7039649486541748,0.0,Short (2022),1.6666094201586537,130.91704183084408,9.10431936624431
18,-34.63949900064817,150.8555277178527,0.2531,0.06227974666380606,1.7039649486541748,0.0,Short (2022),1.6666094201586537,130.91704183084408,9.10431936624431
19,-28.7170803377312,153.6161454558259,0.2488,0.04248636088676258,1.9477856159210205,0.0,Short (2022),1.5856934194020575,117.72073247800145,9.064267031329418
20,-29.643768953781994,153.32641070668396,0.1599,0.05160522261027955,1.9197207689285278,0.0,Short (2022),1.5885657607544814,117.75991591334113,8.89716783575594
21,-34.6211032340339,150.85725446532408,0.2073,0.05292637098385085,1.7039649486541748,0.0,Short (2022),1.6666094201586537,130.91704183084408,9.10431936624431
22,-31.429032426497866,152.91977454466752,0.1901,0.0515508248361358,1.858445644378662,0.0,Short (2022),1.5580883714344307,121.78934084378714,9.152285121221574
23,-30.366631063355577,153.1047794035409,0.2217,0.051247702538793044,1.8768483400344849,0.0,Short (2022),1.7683353592149118,120.07952190399946,9.331219139943462
24,-34.039491408829534,151.17343224841264,0.1811,0.05818766163049573,1.7240967750549316,0.0,Short (2022),1.676821437416869,132.87101236789593,9.115279952137215
25,-28.7170803377312,153.6161454558259,0.2488,0.04248636088676258,1.9477856159210205,0.0,Short (2022),1.5856934194020575,117.72073247800145,9.064267031329418
26,-30.69896521747806,152.9950381406657,0.2261,0.0484173472023243,1.8712759017944336,0.0,Short (2022),1.4752543809074745,116.50928660577054,9.15530055458056
27,-32.11974110738179,152.5179964803408,0.2432,0.0534704012031291,1.8366581201553345,0.0,Short (2022),1.8495890317044716,127.30615811068559,9.316288346659853
28,-28.634153639085707,153.63715067058754,0.2025,0.06249007274596746,1.9457354545593262,0.0,Short (2022),1.710445167264946,118.54819396869925,8.900982037121777
29,-28.129138310052138,153.4882514486848,0.23261,0.051823204633634094,1.972838282585144,0.0,Short (2022),1.040591027365662,99.50049476659058,8.295622109919831
30,-32.11974110738179,152.5179964803408,0.2432,0.0534704012031291,1.8366581201553345,0.0,Short (2022),1.8495890317044716,127.30615811068559,9.316288346659853
31,-29.435062556810276,153.36485118439572,0.176,0.05,1.9348230361938477,0.0,Short (2022),1.5885657607544814,117.75991591334113,8.89716783575594
32,-31.43223864469036,152.92410643213336,0.2039,0.05,1.858445644378662,0.0,Short (2022),1.5580883714344307,121.78934084378714,9.152285121221574
33,-30.08047953979673,153.2031396579838,0.1721,0.053711129710694284,1.8936657905578613,0.0,Short (2022),1.6351264182080314,117.6059020626407,8.9323807098709
34,-30.770982382858843,152.9970805680811,0.2359,0.052154057151004546,1.8694431781768799,0.0,Short (2022),1.4752543809074745,116.50928660577054,9.15530055458056
35,-35.63565928330808,150.31427198535764,0.2359,0.060777204739031886,1.6525405645370483,0.0,Short (2022),1.4944167689137557,125.2582968720027,8.861750193388744
