,Unnamed: 0,beach_id,beach_slope_average,width_ci_average,quality_flag,mstr,hsig_median,prc_mstr_obs,min_tide_obs,max_tide_obs,sl_points_average,beach_length,coastal_region,primary_comp_id,secondary_comp_id,d50,distance_to_sample,latitude,longitude,hs_mean,hs_max,tp,dir,Wdir_weighted_mean,geometry,index_right,ID_Region,Descriptio
445,693,aus1262,0.0536585541382551,0.0309,Medium,0.8478540778160095,2.4720001220703125,108.01,-0.4269884759908472,0.4887820175854457,597.5,857.0600883317431,Southwest WA,WA05.01,WA05.01.01,0.46009,43.75613233563082,-33.96917877391547,114.9836030162218,2.4009476406506454,6.253237346166742,12.790937962693256,224.9381369032337,232.1176590384168,POINT (114.9836030162218 -33.96917877391547),6,4,Western Coasts
446,694,aus1267,0.0310956542317348,0.01785,High,0.8342962861061096,2.3420000076293945,104.38,-0.4200232915218852,0.4508321418708199,584.5,1352.412618880543,Southwest WA,WA05.01,WA05.01.01,0.92019,473.5203828575232,-33.89557365668836,114.98562979206838,2.4009476406506454,6.253237346166742,12.790937962693256,224.9381369032337,232.1176590384168,POINT (114.98562979206838 -33.89557365668836),6,4,Western Coasts
447,695,aus1268,0.0396576411347373,0.02145,High,0.8342962861061096,2.3420000076293945,104.38,-0.4200232915218852,0.450832137353218,564.5,1060.338400831294,Southwest WA,WA05.01,WA05.01.01,0.67362,0.0,-33.88239627758988,114.98326015443308,2.4009476406506454,6.253237346166742,12.790937962693256,224.9381369032337,232.1176590384168,POINT (114.98326015443308 -33.88239627758988),6,4,Western Coasts
448,696,aus1269,0.0341037780771743,0.0254,Medium,0.8342962861061096,2.3420000076293945,103.82,-0.4153298896188051,0.4508321418708199,512.0,1233.353619720737,Southwest WA,WA05.01,WA05.01.01,0.85263,11.30817787951278,-33.868798269162326,114.97814472943644,2.4009476406506454,6.253237346166742,12.790937962693256,224.9381369032337,232.1176590384168,POINT (114.97814472943644 -33.868798269162326),6,4,Western Coasts
449,701,aus1282,0.0355819605074258,0.0237,High,0.8242256045341492,1.6760001182556152,105.78,-0.4107815144977169,0.461062798064646,493.0,1885.197056551101,Southwest WA,WA05.01,WA05.01.01,0.28126,32.96792732620851,-33.65634912578587,115.0183683389425,2.4009476406506454,6.253237346166742,12.790937962693256,224.9381369032337,232.1176590384168,POINT (115.0183683389425 -33.65634912578587),6,4,Western Coasts
450,702,aus1283,0.0582684708040091,0.0407,Medium,0.8242256045341492,1.6760001182556152,105.78,-0.4107815144977169,0.461062798064646,510.5,1089.40727223083,Southwest WA,WA05.01,WA05.01.01,0.4118,180.6883594316396,-33.63473378138963,115.02764263852475,2.4009476406506454,6.253237346166742,12.790937962693256,224.9381369032337,232.1176590384168,POINT (115.02764263852475 -33.63473378138963),6,4,Western Coasts
451,705,aus1286,0.0537704630001989,0.0356,Medium,0.8213176131248474,1.0700000524520874,105.6,-0.407213590356646,0.4600744228377595,728.0,544.0544994994498,Southwest WA,WA06.01,WA06.01.01,0.28519,574.0023606420274,-33.57439871755469,115.08869022845924,2.4009476406506454,6.253237346166742,12.790937962693256,224.9381369032337,232.1176590384168,POINT (115.08869022845924 -33.57439871755469),6,4,Western Coasts
452,706,aus1287,0.0443532033967481,0.0209,High,0.8231513500213623,0.3060000240802765,106.85,-0.4069972714607556,0.4725697267697756,717.0,370.2725380128643,Southwest WA,WA06.01,WA06.01.01,0.30993,8.73716377614395,-33.59820003225329,115.10445648080368,2.4009476406506454,6.253237346166742,12.790937962693256,224.9381369032337,232.1176590384168,POINT (115.10445648080368 -33.59820003225329),6,4,Western Coasts
453,721,aus1311,0.0626680911675656,0.01945,High,0.764208972454071,1.3100000619888306,103.02,-0.3540250804922197,0.4332604482259513,999.0,352.989037243846,Southwest WA,WA06.02,WA06.02.01,0.32086,7.845171284661588,-32.269386600965454,115.68636459283267,2.0451926071874365,5.4771126186777845,13.13114766033098,228.1794001094065,234.2930712804583,POINT (115.68636459283267 -32.269386600965454),6,4,Western Coasts
454,723,aus1313,0.062558085391224,0.027,Medium,0.764208972454071,1.3100000619888306,101.9,-0.3540250804922197,0.4247329753705812,962.5,410.1546219499857,Southwest WA,WA06.02,WA06.02.01,0.19888,42.06740197578401,-32.273844021276204,115.70038941733056,2.0451926071874365,5.4771126186777845,13.13114766033098,228.1794001094065,234.2930712804583,POINT (115.70038941733056 -32.273844021276204),6,4,Western Coasts
455,725,aus1319,0.0745475993938668,0.04745,Medium,0.7652959227561951,0.184000015258789,103.21,-0.3540532163546684,0.435790343752422,939.0,2269.981970314264,Southwest WA,WA06.02,WA06.02.01,0.37631,3.179246498209309,-32.188960779188825,115.77477832711688,2.294686123798856,5.844186840289597,12.628869940828327,225.74004601317463,231.25753105409063,POINT (115.77477832711688 -32.188960779188825),6,4,Western Coasts
456,731,aus1327,0.0628720330427276,0.0464,Medium,0.7682378888130188,0.968000054359436,102.96,-0.357226368555799,0.4337815371652598,994.5,1608.034573779878,Southwest WA,WA06.02,WA06.02.02,0.42045,2.794417284918052,-31.86950494629107,115.75195496643636,2.294686123798856,5.844186840289597,12.628869940828327,225.74004601317463,231.25753105409063,POINT (115.75195496643636 -31.86950494629107),6,4,Western Coasts
457,732,aus1328,0.0711558529969464,0.0439,Medium,0.7682378888130188,0.968000054359436,102.96,-0.357226368555799,0.4337815371652598,1008.0,686.9125709786981,Southwest WA,WA06.02,WA06.02.02,0.61557,0.0,-31.85993929054167,115.75194513749716,2.294686123798856,5.844186840289597,12.628869940828327,225.74004601317463,231.25753105409063,POINT (115.75194513749716 -31.85993929054167),6,4,Western Coasts
