,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,dir,tp
0,-23.423046338942083,150.8253459724627,0.13793,0.03692558376518215,5.216922760009766,3.0,0.5629490746126736,100.04293094461013,4.16231913247895
1,-27.42455261453857,153.52456835332762,0.18175,0.05164619180891467,1.988240361213684,3.0,1.1393276672280073,105.53384222767657,8.728909793526125
2,-33.93684782733345,122.54290087150753,0.15713,0.04843471178686032,1.122778296470642,3.0,1.740452097153419,196.28227838884797,10.857907510590113
3,-29.30996583186353,153.35134744254555,0.1723,0.05143197260510264,1.9414187669754028,3.0,1.5856934194020575,117.72073247800145,9.064267031329418
4,-34.11972958731812,136.35408831811412,0.14968,0.0445687524725808,1.9018685817718506,3.0,0.8011946556703714,185.19622822952223,9.867062286490897
5,-38.02733766821526,140.605525708461,0.11826,0.06020479139458489,1.1539584398269653,3.0,2.7206740886236807,230.8881955519273,12.943602733670083
6,-29.643768953781994,153.32641070668396,0.1599,0.05160522261027955,1.9197207689285278,3.0,1.5885657607544814,117.75991591334113,8.89716783575594
7,-33.8394399028166,121.9152003925768,0.16958,0.05667229544243992,1.0914485454559326,3.0,2.1630469436531214,202.60608955539573,12.638337615892608
8,-24.1507232262667,151.81314680629254,0.15604,0.045124065885813656,3.008702039718628,3.0,1.1770518967044494,101.19429663324078,7.582173255258664
9,-15.320525010247582,141.55461724515044,0.16267,0.046973327871027815,2.186677932739258,3.0,0.37318781691618974,201.6377887318656,3.5392833401105737
10,-33.07740533999315,124.17288318220768,0.16267,0.052298798103591546,1.2778310775756836,3.0,1.1649993765638875,156.62183109336468,8.785630849850484
11,-23.642637188901823,151.24018612935996,0.16323,0.04410845420387318,3.6823151111602783,3.0,0.5629490746126736,100.04293094461013,4.16231913247895
12,-20.894133614418152,148.96524218124173,0.12414,0.028844905186466117,5.219789981842041,3.0,0.6969866550055864,108.79097812755502,4.201726288325948
13,-22.332704925043743,150.61689217701888,0.1785,0.06659665871547851,5.088342666625977,3.0,0.6871197815218191,108.43814549588896,4.9324269208168205
14,-22.414364493500663,150.69113246190113,0.1654,0.058763181838657655,4.877814769744873,3.0,0.6871197815218191,108.43814549588896,4.9324269208168205
15,-22.441764595184175,150.7148829538694,0.13528,0.07016106252028095,4.877814769744873,3.0,0.6871197815218191,108.43814549588896,4.9324269208168205
16,-20.004005302963478,148.26507579184153,0.158,0.07937546585319424,3.0797088146209717,3.0,0.6824253817900758,105.905945905143,3.9264873587799807
17,-13.426754159429281,141.6057615111792,0.15822,0.03874214180380283,1.9043926000595093,3.0,0.5658343577995332,196.3568312220508,4.288999309114941
18,-35.49819381826512,150.3910718557761,0.1794,0.07063115650020643,1.6590973138809204,3.0,1.4944167689137557,125.2582968720027,8.861750193388744
19,-21.4432408472529,149.29365111536217,0.13631,0.018843284295823954,5.994174003601074,3.0,0.44523432984743566,108.96829665274349,3.202129528825211
20,-27.42455261453857,153.52456835332762,0.18175,0.05164619180891467,1.988240361213684,3.0,1.1393276672280073,105.53384222767657,8.728909793526125
21,-31.94517315535221,132.51449393655022,0.16199,0.05121359109560109,1.7963429689407349,3.0,1.9866517936808774,208.31373181229336,12.9026570601561
22,-38.32228641758462,144.34416169945112,0.14762,0.03793312689584751,2.506535291671753,3.0,1.6598696845032743,220.88296196095962,12.03193654477836
23,-32.12387790077011,133.0772009652079,0.14359,0.03576877037497276,1.8143105506896973,3.0,1.9401007766260803,210.75757352895698,13.027012715032566
24,-30.17574383126086,153.18998077836812,0.16,0.05,1.8885365724563599,3.0,1.6351264182080314,117.6059020626407,8.9323807098709
25,-15.320525010247582,141.55461724515044,0.16267,0.046973327871027815,2.186677932739258,3.0,0.37318781691618974,201.6377887318656,3.5392833401105737
26,-38.35379797312619,142.33768190340834,0.17076,0.03386410008809038,1.164797306060791,3.0,2.359513190582047,226.79135210635613,12.283198563767455
27,-24.951873480784815,152.48655876560437,0.1426,0.05145747956829256,3.1088268756866455,3.0,1.1416791693989168,99.22158490961006,7.536808532814525
28,-42.90978427013251,147.3542931280985,0.1426,0.05230772698201938,1.2144465446472168,3.0,0.7527638545636366,180.81391621443575,9.243877495622923
29,-33.93684782733345,122.54290087150753,0.15713,0.04843471178686032,1.122778296470642,3.0,1.740452097153419,196.28227838884797,10.857907510590113
30,-30.770982382858843,152.9970805680811,0.2359,0.052154057151004546,1.8694431781768799,3.0,1.4752543809074745,116.50928660577054,9.15530055458056
31,-29.85738682113716,153.27244484855026,0.2228,0.0728515952538681,1.9003089666366577,3.0,1.6351264182080314,117.6059020626407,8.9323807098709
32,-34.05346908986633,136.38335169538442,0.19888,0.07025959103632813,1.9260475635528564,3.0,0.8011946556703714,185.19622822952223,9.867062286490897
33,-33.595761586675025,123.88430748472767,0.20166,0.060872650258510956,1.2161287069320679,3.0,2.2366781063581027,188.73245203615136,12.110741687382713
34,-36.07544693160237,150.1338550923767,0.2512,0.04864953206494599,1.6410571336746216,3.0,1.2089764137005155,120.25667647494433,8.645725015336325
35,-28.863656906872507,153.59522044058295,0.2624,0.05268312235660521,1.944563388824463,3.0,1.5856934194020575,117.72073247800145,9.064267031329418
36,-35.993437601194145,150.16074617636028,0.2382,0.09,1.6423344612121582,3.0,1.2089764137005155,120.25667647494433,8.645725015336325
37,-27.83115461063155,153.43480299664446,0.26425,0.04482013796054796,1.9840892553329468,3.0,1.1393276672280073,105.53384222767657,8.728909793526125
38,-32.92137985390024,151.79632565002746,0.2672,0.055802188175399225,1.7807109355926514,3.0,1.6310581313075816,136.746304641811,9.197172409008422
