,hs_max,hs_mean,dir,tp,d50,beach_slope_average,dataset,mstr,latitude,longitude
14,0.733989143066846,0.636615768402351,94.09071854033664,8.248668353623,0.129863126,0.0621824104234527,rossi,1.4877971410751345,28.30185223240241,-80.56888377411482
15,0.7187468785189067,0.5814631333710523,123.25585436643397,7.634608835517065,0.15,0.0525,Fenster et al (2016),1.6060380935668943,37.54565519115002,-75.60432532353039
16,0.2876172906244948,0.1908621068179582,172.61823894275184,3.2476088953402757,0.11,0.0331434599156118,Fenster et al (2016),1.680526852607727,37.13550202820153,-75.90370023757876
17,0.3157484110026908,0.2609705351631496,120.05372245826771,7.09124382164915,0.126750602,0.0441470588235294,C_Alexander,2.5055906772613525,31.256257427919167,-81.27280235897615
18,0.5534237130444696,0.4271015491992635,140.29691598066051,6.788817663821839,0.11,0.0331434599156118,Fenster et al (2016),1.680526852607727,37.103412250374014,-75.90248500974374
19,1.125372179968843,0.9157404550341312,138.09004406574138,8.033775078380542,0.19366957,0.0633168316831683,Fenster et al (2016),1.3945913314819336,34.97244076154939,-76.12123813583523
20,0.3131822244697634,0.2468044015979323,129.7698148618043,5.973015177588445,0.126750602,0.0441470588235294,C_Alexander,2.5055906772613525,31.389591587919163,-81.23946953397615
21,0.5868013768340178,0.4871992188602181,138.88623531941084,7.311991825247415,0.090577125,0.031338028169014,"McFall, 2022",2.026691198348999,32.758302944560626,-79.79368913810396
22,0.7581262385553038,0.613447548342586,129.71151312608555,8.007914660463532,0.18,0.0828142076502732,Fenster et al (2016),1.4609047174453735,38.06334218197113,-75.20757998901759
23,0.6902174349075203,0.6009565684992211,75.0840594117278,8.466280994110042,0.269067677,0.0968870967741935,rossi,1.4248559474945068,27.797386800753053,-80.40528960877162
24,0.6819522055703159,0.551836304572865,126.5484615682507,7.596196829200568,0.11,0.0310447761194029,Fenster et al (2016),1.692716121673584,37.39700108080622,-75.68305560112326
25,0.4125103993767171,0.3321230914204787,130.8207074993681,7.303481061272423,0.12,0.0325886524822695,Fenster et al (2016),1.628858208656311,37.48711122235258,-75.65687385889296
26,0.2876172906244948,0.1908621068179582,172.61823894275184,3.2476088953402757,0.11,0.0331434599156118,Fenster et al (2016),1.680526852607727,37.13725775168109,-75.90191183165999
27,0.7219658150557995,0.6132855781678233,97.88936686173332,7.372420663244346,0.272445696,0.0579411764705882,rossi,1.7158149480819702,29.323900013884952,-81.02375402041534
28,0.6819522055703159,0.551836304572865,126.5484615682507,7.596196829200568,0.11,0.0310447761194029,Fenster et al (2016),1.692716121673584,37.3964015619061,-75.68349028513222
29,0.5825824503457018,0.4701766601580512,120.0874529122787,7.838792322029741,0.15,0.0525,Fenster et al (2016),1.6060380935668943,37.57861880408,-75.60461865242888
30,0.7219658150557995,0.6132855781678233,97.88936686173332,7.372420663244346,0.272445696,0.0579411764705882,rossi,1.7158149480819702,29.323900013884952,-81.02375402041534
31,0.5402758734266385,0.4616117548683886,94.86750843012123,8.183519536819189,0.164146561,0.0470281124497992,rossi,1.8807613849639893,29.782377088481176,-81.25737123325908
32,0.6739062274788273,0.5738834126483501,91.5109855581262,7.604686119354624,0.226887073,0.0391944444444444,rossi,1.6763266324996948,29.233726865435692,-80.99597084621163
33,0.399555281066846,0.3275310958728225,102.57584201313468,7.66925408156451,0.23134549,0.0543034825870646,"McFall, 2022",1.408286452293396,36.321440440891806,-75.80077474949485
34,0.6819522055703159,0.551836304572865,126.5484615682507,7.596196829200568,0.11,0.0310447761194029,Fenster et al (2016),1.692716121673584,37.396595508940095,-75.68334377844121
35,0.8247521809923524,0.6750207695159327,128.36077181279137,8.112014304952556,0.20131753,0.0663928571428571,Fenster et al (2016),1.4398443698883057,34.672505951563544,-76.47313649636706
36,0.8272227276635038,0.6705542235359016,87.37504511446963,7.745887916245858,0.23134549,0.0543034825870646,"McFall, 2022",1.408286452293396,36.38789195510601,-75.80069390693863
37,0.7187468785189067,0.5814631333710523,123.25585436643397,7.634608835517065,0.15,0.0525,Fenster et al (2016),1.6060380935668943,37.54601770816464,-75.60403862808066
38,0.5534237130444696,0.4271015491992635,140.29691598066051,6.788817663821839,0.11,0.0331434599156118,Fenster et al (2016),1.680526852607727,37.10233968240322,-75.90352475797067
39,0.9930310411069252,0.8315069703170939,66.09605197019204,7.237247179344003,0.119090842,0.1010407725321888,"McFall, 2022",1.102508306503296,26.420860025428265,-80.02950180158146
40,0.998322164495114,0.8425809509238068,68.6559924479493,7.379679295654722,0.234888053,0.1026494023904382,rossi,1.1591616868972778,26.69200476949029,-80.0162645972249
41,0.6873779817561251,0.5857566312312703,103.69338398416797,7.6962031430855395,0.167247418,0.0789054726368159,C_Alexander,2.2614266872406006,30.692843766745717,-81.41538338660234
42,0.5255790604247274,0.4435951796428267,110.9503624022858,7.599678853066138,0.167247418,0.0327225130890052,C_Alexander,2.34697699546814,30.855623863022945,-81.41244934638749
43,0.4125103993767171,0.3321230914204787,130.8207074993681,7.303481061272423,0.12,0.0325886524822695,Fenster et al (2016),1.628858208656311,37.48517976767458,-75.65831447037021
44,0.6819522055703159,0.551836304572865,126.5484615682507,7.596196829200568,0.11,0.0310447761194029,Fenster et al (2016),1.692716121673584,37.39506983301537,-75.68433648649089
45,0.4503354910475853,0.3667397525892933,138.53419595576548,7.13074468129585,0.090577125,0.0302325581395348,"McFall, 2022",1.967404127120972,32.88143667368007,-79.63709804942165
46,0.4402652102305622,0.3365558472577538,142.6420094309051,6.658452065198017,0.11,0.0331434599156118,Fenster et al (2016),1.680526852607727,37.136746980374014,-75.86915218474374
47,0.5901301372763065,0.5086942905900015,80.82377991567343,8.123483298443421,0.18441818,0.0749318801089918,rossi,1.824101686477661,29.64702965881435,-81.19610920103365
48,0.461845147428976,0.3704929332780059,133.3011558328055,7.0409505711100415,0.13,0.0414285714285714,Fenster et al (2016),1.7345619201660156,37.23360352485372,-75.79630877285042
49,0.7981693003330973,0.696518294382807,76.3168667674311,8.372687121518624,0.183144338,0.0504558404558404,rossi,1.6167385578155518,29.00203902575105,-80.86931588090155
