,Lat,Lon,Dep,Ele,Grain_Size
129,32.916017,-117.258941,0.11,BF,0.271674402
130,32.920523,-117.259463,0.11,BF,0.248596082
131,32.926334,-117.259857,0.11,BF,0.252545112
132,32.930828,-117.260457,0.11,BF,0.24615374
133,32.934907,-117.261356,0.11,BF,0.287309402
134,32.939301,-117.262593,0.11,BF,0.218696421
135,32.898504,-117.253608,2.5,BB,0.163510349
136,32.898446,-117.253908,1,BF,0.18794095
137,32.898271,-117.255087,-1,O,0.264410384
138,32.898133,-117.255966,-3.55,O,0.162684862
139,32.898077,-117.256319,-3.05,O,0.159820528
140,32.898006,-117.256768,-4,O,0.146581036
