,Sid,Sur,Yr,Sea,Tran,Lat,Lon,Dep,Ele,Type,eMean,gMean,gMed,dataset,PROJECT ,SITE,Year,DATE,TRANSECT,d95,Mean,Std,Skewness,Kurtosis,Contact,Unnamed: 0.1,Unnamed: 0,Sample_ID,Sample_Type_Code,Project,Date,Location_Type,num_orig_dists,Measured_Distributions,Grainsize,Median,Wentworth,Kurtosis_Class,Skewness_Class,Sorting,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,Notes,geometry
31,32.0,K,,,72.0,34.39675,-119.73046,0.0,BF,E,0.2162,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33.0,K,,,73.0,34.39584,-119.70799,0.0,BF,E,0.2324,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34.0,K,,,74.0,34.39837,-119.70231,0.0,BF,B,0.2183,0.2699,0.2602,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35.0,K,,,75.0,34.40254,-119.69552,0.0,BF,E,0.2575,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36.0,K,,,76.0,34.41016,-119.68905,0.0,BF,E,0.2545,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37.0,K,,,77.0,34.41432,-119.68025,0.0,BF,E,0.2229,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38.0,K,,,78.0,34.41595,-119.66995,0.0,BF,E,0.2467,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39.0,K,,,79.0,34.41698,-119.65844,0.0,BF,E,0.2403,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40.0,K,,,80.0,34.41726,-119.64718,0.0,BF,E,0.2217,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41.0,K,,,81.0,34.41629,-119.63595,0.0,BF,E,0.2746,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42.0,K,,,82.0,34.41887,-119.62498,0.0,BF,E,0.2027,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43.0,K,,,83.0,34.42095,-119.61541,0.0,BF,E,0.1575,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44.0,K,,,84.0,34.41963,-119.60283,0.0,BF,B,0.2463,0.2177,0.2142,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45.0,K,,,85.0,34.41758,-119.59187,0.0,BF,E,0.2116,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46.0,K,,,86.0,34.41372,-119.58161,0.0,BF,E,0.1983,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47.0,K,,,87.0,34.4149,-119.56602,0.0,BF,E,0.2645,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48.0,K,,,88.0,34.41307,-119.55904,0.0,BF,E,0.1535,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49.0,K,,,89.0,34.40795,-119.55146,0.0,BF,E,0.2391,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50.0,K,,,90.0,34.314,-119.363,0.0,BF,E,0.2417,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51.0,K,,,91.0,34.39613,-119.53439,0.0,BF,E,0.3068,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52.0,K,,,92.0,34.39247,-119.52412,0.0,BF,E,0.2581,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53.0,K,,,93.0,34.38714,-119.51315,0.0,BF,E,0.275,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54.0,K,,,94.0,34.38518,-119.50318,0.0,BF,B,0.1848,0.2112,0.2075,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55.0,K,,,95.0,34.38183,-119.48836,0.0,BF,E,0.2713,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56.0,K,,,96.0,34.37726,-119.48154,0.0,BF,E,0.2402,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57.0,K,,,97.0,34.37527,-119.47334,0.0,BF,E,0.321,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58.0,K,,,99.0,34.37029,-119.45634,0.0,BF,E,0.25,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59.0,K,,,100.0,34.36263,-119.44888,0.0,BF,E,0.2997,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60.0,K,,,101.0,34.35574,-119.4396,0.0,BF,E,0.2814,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61.0,K,,,102.0,34.35312,-119.42918,0.0,BF,E,0.2607,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62.0,K,,,103.0,34.34958,-119.42507,0.0,BF,E,0.2452,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63.0,K,,,104.0,34.33748,-119.41106,0.0,BF,B,0.3494,0.202,0.1993,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64.0,K,,,105.0,34.33392,-119.40495,0.0,BF,E,0.1709,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65.0,K,,,106.0,34.32853,-119.39887,0.0,BF,E,0.3191,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66.0,K,,,107.0,34.31951,-119.39165,0.0,BF,E,0.3381,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67.0,K,,,108.0,34.32094,-119.3767,0.0,BF,E,0.2808,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68.0,K,,,109.0,34.3195,-119.36983,0.0,BF,E,0.2076,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,69.0,K,,,111.0,34.30828,-119.35439,0.0,BF,E,0.3116,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70.0,K,,,112.0,34.30207,-119.34703,0.0,BF,E,0.2851,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71.0,K,,,113.0,34.296,-119.34201,0.0,BF,E,0.3122,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72.0,K,,,114.0,34.29134,-119.3381,0.0,BF,B,0.3114,0.2159,0.2119,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73.0,K,,,115.0,34.28409,-119.32164,0.0,BF,E,0.2883,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74.0,K,,,116.0,34.27864,-119.31549,0.0,BF,E,0.3304,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75.0,K,,,117.0,34.27312,-119.30472,0.0,BF,E,0.3276,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76.0,K,,,118.0,34.2752,-119.2928,0.0,BF,E,0.1684,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77.0,K,,,119.0,34.2701,-119.282,0.0,BF,E,0.272,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78.0,K,,,120.0,34.2657,-119.2779,0.0,BF,E,0.2534,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79.0,K,,,121.0,34.2545,-119.2707,0.0,BF,E,0.324,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,80.0,K,,,122.0,34.244,-119.2681,0.0,BF,E,0.2145,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,81.0,K,,,123.0,34.2382,-119.2677,0.0,BF,E,0.3522,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,82.0,K,,,124.0,34.2277,-119.2656,0.0,BF,B,0.3812,0.2684,0.2614,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,83.0,K,,,125.0,34.2203,-119.2619,0.0,BF,E,0.4015,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,84.0,K,,,126.0,34.2138,-119.2586,0.0,BF,E,0.242,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,85.0,K,,,127.0,34.2021,-119.2517,0.0,BF,E,0.2609,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86.0,K,,,128.0,34.19209,-119.24625,0.0,BF,E,0.3155,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87.0,K,,,129.0,34.18343,-119.24166,0.0,BF,E,0.356,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,88.0,K,,,130.0,34.1762,-119.23763,0.0,BF,E,0.2964,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,89.0,K,,,131.0,34.16569,-119.23147,0.0,BF,E,0.3513,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,90.0,K,,,132.0,34.1564,-119.22499,0.0,BF,E,0.1773,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,91.0,K,,,133.0,34.1478,-119.2172,0.0,BF,E,0.5842,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,92.0,K,,,135.0,34.14337,-119.19935,0.0,BF,E,0.212,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,93.0,K,,,136.0,34.13923,-119.19108,0.0,BF,B,0.2552,0.2688,0.261,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,94.0,K,,,149.0,34.08819,-119.06486,0.0,BF,B,0.3986,0.4271,0.4192,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,95.0,K,,,150.0,34.0856,-119.0551,0.0,BF,E,0.4206,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,96.0,K,,,153.0,34.0756,-119.0226,0.0,BF,E,0.4363,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,97.0,K,,,154.0,34.0698,-119.0127,0.0,BF,E,0.476,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,98.0,K,,,158.0,34.0607,-118.9774,0.0,BF,E,0.4207,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,99.0,K,,,160.0,34.0519,-118.9607,0.0,BF,E,0.2923,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
