,latitude,longitude,d50,beach_slope_average,mstr,hs_max,hs_mean,dir,tp
693,-33.96917877391547,114.98360301622179,0.46009,0.053658554138255175,0.8478540778160095,6.253237346166742,2.4009476406506454,224.9381369032337,12.790937962693256
694,-33.89557365668836,114.98562979206838,0.92019,0.031095654231734802,0.8342962861061096,6.253237346166742,2.4009476406506454,224.9381369032337,12.790937962693256
695,-33.882396277589876,114.98326015443307,0.67362,0.039657641134737395,0.8342962861061096,6.253237346166742,2.4009476406506454,224.9381369032337,12.790937962693256
696,-33.868798269162326,114.97814472943644,0.85263,0.03410377807717436,0.8342962861061096,6.253237346166742,2.4009476406506454,224.9381369032337,12.790937962693256
701,-33.65634912578587,115.0183683389425,0.28126,0.035581960507425854,0.8242256045341492,6.253237346166742,2.4009476406506454,224.9381369032337,12.790937962693256
702,-33.63473378138963,115.02764263852477,0.4118,0.05826847080400918,0.8242256045341492,6.253237346166742,2.4009476406506454,224.9381369032337,12.790937962693256
705,-33.57439871755469,115.08869022845923,0.28519,0.053770463000198915,0.8213176131248474,6.253237346166742,2.4009476406506454,224.9381369032337,12.790937962693256
706,-33.59820003225329,115.10445648080368,0.30993,0.04435320339674817,0.8231513500213623,6.253237346166742,2.4009476406506454,224.9381369032337,12.790937962693256
721,-32.269386600965454,115.68636459283269,0.32086,0.06266809116756562,0.764208972454071,5.4771126186777845,2.0451926071874365,228.17940010940646,13.13114766033098
723,-32.273844021276204,115.70038941733056,0.19888,0.06255808539122401,0.764208972454071,5.4771126186777845,2.0451926071874365,228.17940010940646,13.13114766033098
725,-32.188960779188825,115.77477832711688,0.37631,0.07454759939386682,0.7652959227561951,5.844186840289597,2.294686123798856,225.74004601317466,12.628869940828329
731,-31.86950494629107,115.75195496643637,0.42045,0.06287203304272761,0.7682378888130188,5.844186840289597,2.294686123798856,225.74004601317466,12.628869940828329
732,-31.85993929054167,115.75194513749716,0.61557,0.07115585299694645,0.7682378888130188,5.844186840289597,2.294686123798856,225.74004601317466,12.628869940828329
733,-31.853355205971695,115.7513320910647,0.42928,0.05622427001914566,0.7682378888130188,5.844186840289597,2.294686123798856,225.74004601317466,12.628869940828329
734,-31.846097439082786,115.75106795487567,0.37893,0.06106923416699379,0.7682378888130188,5.844186840289597,2.294686123798856,225.74004601317466,12.628869940828329
737,-31.713300508731958,115.7086871197196,0.34151,0.06987788038184063,0.7683689594268799,5.846749727829997,2.281493800775027,224.7387468726725,12.994006683034048
738,-31.544948332316427,115.62042518096666,0.2973,0.06438658501252995,0.7678236961364746,5.846749727829997,2.281493800775027,224.7387468726725,12.994006683034048
740,-31.42103442516847,115.54298178340605,0.23651,0.05595161577811743,0.7664797306060791,5.846749727829997,2.281493800775027,224.7387468726725,12.994006683034048
757,-30.045146846770773,114.95694855462649,0.26609,0.05621927448845519,0.7667571306228638,5.875017486772448,2.2836761085887782,220.78579744979388,13.307103487811311
765,-29.264907804246146,114.92216102607716,0.1349,0.0606316937920322,0.7978341579437256,3.980381489912867,1.643447520580476,223.1333768573624,13.589558385214879
766,-29.23593707166446,114.91270617865322,0.29937,0.06778107882831237,0.7978341579437256,3.980381489912867,1.643447520580476,223.1333768573624,13.589558385214879
767,-29.169379196129128,114.88908679781288,0.31208,0.0674819086357665,0.7996430993080139,3.8075414750319547,1.562311689050516,221.48400093076668,12.938054051761739
768,-29.121279840113232,114.8732300984367,0.31208,0.07178666522217624,0.8009579181671143,3.8075414750319547,1.562311689050516,221.48400093076668,12.938054051761739
771,-28.912986724323865,114.67110976538802,0.52486,0.06977156384729845,0.8090493083000183,5.309289805938208,2.274972238205751,212.92032392367284,13.016665226082582
777,-28.48391837507334,114.5171255494937,0.31208,0.06681198611551324,0.8277100920677185,4.092326199123596,1.7470381968223732,211.90433847698608,12.084757881783332
778,-28.40202382112007,114.44127542399424,0.59874,0.05735135279160736,0.8318844437599182,4.092326199123596,1.7470381968223732,211.90433847698608,12.084757881783332
780,-28.32664896283559,114.395026248602,0.19615,0.05028523167229179,0.8344285488128662,4.092326199123596,1.7470381968223732,211.90433847698608,12.084757881783332
787,-24.72430190710288,113.6034805140971,0.17556,0.07820459171131607,1.5390621423721313,2.714241440105071,1.2571450575497718,207.58988669771855,9.724441436967831
788,-24.60287219011857,113.50880874199927,0.17556,0.074214475811755,1.4829554557800293,2.714241440105071,1.2571450575497718,207.58988669771855,9.724441436967831
789,-24.504060231416677,113.42372802767609,0.5,0.072922321341906,1.432944893836975,4.7801189811452405,2.2582885077221366,209.5881565396361,12.63713262407119
790,-24.379490575987656,113.40341054926732,0.48633,0.07058363966196715,1.4077632427215576,3.3964740623768637,1.595227940579955,217.22332450405875,13.007287756882874
791,-24.169492578121087,113.44408501361214,0.48297,0.10490625375330218,1.4039206504821777,3.3964740623768637,1.595227940579955,217.22332450405875,13.007287756882874
792,-24.126160283678594,113.43630920032562,0.5905,0.07643084784945095,1.4046651124954224,3.3964740623768637,1.595227940579955,217.22332450405875,13.007287756882874
793,-24.030322331817032,113.44919044403042,0.62851,0.07673874302389035,1.407871127128601,3.3964740623768637,1.595227940579955,217.22332450405875,13.007287756882874
795,-23.950818117841514,113.46897879972707,0.72699,0.06529204745876958,1.4131911993026733,3.3964740623768637,1.595227940579955,217.22332450405875,13.007287756882874
796,-23.34612089796905,113.78911137389376,0.47303,0.09059256943241731,1.4629392623901367,3.5857796446133565,1.71872351934948,217.33540998276754,12.906707488021635
797,-23.176973861163933,113.7669380032368,0.29525,0.08854861409710295,1.4719101190567017,4.360408489568029,2.0951352055135293,215.4464881210832,13.069788604614844
799,-23.0497757316425,113.82424122250214,0.21022,0.08628411009893619,1.4796957969665527,4.360408489568029,2.0951352055135293,215.4464881210832,13.069788604614844
800,-23.008441598231414,113.82778809034023,0.35111,0.10690685949030326,1.4882593154907227,4.360408489568029,2.0951352055135293,215.4464881210832,13.069788604614844
801,-22.956358311042653,113.824189860346,0.23651,0.11881307202272359,1.4882593154907227,4.360408489568029,2.0951352055135293,215.4464881210832,13.069788604614844
802,-22.832123857706105,113.78920966205379,0.24148,0.0901848330892782,1.492228388786316,4.360408489568029,2.0951352055135293,215.4464881210832,13.069788604614844
