,Unnamed: 0,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,dir,tp,geometry,index_right,ID_Region,Descriptio
16,16,-13.97470821543793,126.75855272620636,0.17924,0.105903777982839,3.429627656936645,3.0,0.2925280083375086,196.59211897601185,2.8126700941892837,POINT (126.75855272620636 -13.97470821543793),0,5,North-western Coasts
64,64,-17.711675001635584,122.1992248102373,0.34628,0.0670761261313766,7.677801132202148,3.0,0.7552840442569917,234.91208973749605,8.270731419346472,POINT (122.1992248102373 -17.711675001635584),0,5,North-western Coasts
73,73,-13.94172497878774,126.56552943183785,0.32309,0.0888704270016283,3.525685310363769,3.0,0.2925280083375086,196.59211897601185,2.8126700941892837,POINT (126.56552943183785 -13.94172497878774),0,5,North-western Coasts
85,85,-14.338908398951016,125.60097078523044,0.28322,0.026647919746351,6.674575805664063,3.0,0.3729785428715198,211.34858760981493,3.211874401049339,POINT (125.60097078523044 -14.338908398951016),0,5,North-western Coasts
101,101,-13.919716640485085,126.08849782931637,0.37631,0.1208157375117974,5.07331657409668,3.0,0.3990278764855264,208.88521213294064,2.9908795560087107,POINT (126.08849782931637 -13.919716640485085),0,5,North-western Coasts
108,108,-20.63056426242204,116.79773414362757,0.37631,0.0747026919900918,4.114437103271484,3.0,0.5315510748891612,200.346374686681,4.08285308320579,POINT (116.79773414362757 -20.63056426242204),0,5,North-western Coasts
120,120,-14.800583301250532,128.40950559966168,0.45692,0.0698337581789345,7.004926681518555,3.0,0.5594826787063631,207.00987214062653,4.065778978601814,POINT (128.40950559966168 -14.800583301250532),0,5,North-western Coasts
126,126,-14.800583301250532,128.40950559966168,0.45692,0.0698337581789345,7.004926681518555,3.0,0.5594826787063631,207.00987214062653,4.065778978601814,POINT (128.40950559966168 -14.800583301250532),0,5,North-western Coasts
127,127,-17.616897169024416,122.17616751174025,0.47963,0.083792383073494,7.45783805847168,3.0,0.804634945341247,233.15183664261343,9.212585944440963,POINT (122.17616751174025 -17.616897169024416),0,5,North-western Coasts
129,129,-14.800583301250532,128.40950559966168,0.45692,0.0698337581789345,7.004926681518555,3.0,0.5594826787063631,207.00987214062653,4.065778978601814,POINT (128.40950559966168 -14.800583301250532),0,5,North-western Coasts
132,132,-14.800583301250532,128.40950559966168,0.45692,0.0698337581789345,7.004926681518555,3.0,0.5594826787063631,207.00987214062653,4.065778978601814,POINT (128.40950559966168 -14.800583301250532),0,5,North-western Coasts
139,139,-17.616897169024416,122.17616751174025,0.47963,0.083792383073494,7.45783805847168,3.0,0.804634945341247,233.15183664261343,9.212585944440963,POINT (122.17616751174025 -17.616897169024416),0,5,North-western Coasts
141,141,-17.616897169024416,122.17616751174025,0.47963,0.083792383073494,7.45783805847168,3.0,0.804634945341247,233.15183664261343,9.212585944440963,POINT (122.17616751174025 -17.616897169024416),0,5,North-western Coasts
150,150,-13.959946631107362,127.19324035278416,0.57834,0.108808965218843,2.3817873001098637,3.0,0.5955891213764529,184.2352467572806,4.231418459977226,POINT (127.19324035278416 -13.959946631107362),0,5,North-western Coasts
153,153,-15.032808152420056,125.01663585616278,0.56253,0.099523534744024,8.571146011352539,3.0,0.3193733202062781,225.6068569024665,2.909496051133297,POINT (125.01663585616278 -15.032808152420056),0,5,North-western Coasts
161,161,-14.18145331359832,126.61356233767052,0.61985,0.1508520380916084,3.4921135902404785,3.0,0.2925280083375086,196.59211897601185,2.8126700941892837,POINT (126.61356233767052 -14.18145331359832),0,5,North-western Coasts
166,166,-14.199048165061624,126.23984735892884,0.6029,0.0836708664602374,4.398869514465332,3.0,0.3990278764855264,208.88521213294064,2.9908795560087107,POINT (126.23984735892884 -14.199048165061624),0,5,North-western Coasts
168,168,-14.199048165061624,126.23984735892884,0.6029,0.0836708664602374,4.398869514465332,3.0,0.3990278764855264,208.88521213294064,2.9908795560087107,POINT (126.23984735892884 -14.199048165061624),0,5,North-western Coasts
169,169,-14.146220385617651,126.55616923308456,0.61132,0.1321841076496485,3.4921135902404785,3.0,0.2925280083375086,196.59211897601185,2.8126700941892837,POINT (126.55616923308456 -14.146220385617651),0,5,North-western Coasts
172,172,-14.18145331359832,126.61356233767052,0.61985,0.1508520380916084,3.4921135902404785,3.0,0.2925280083375086,196.59211897601185,2.8126700941892837,POINT (126.61356233767052 -14.18145331359832),0,5,North-western Coasts
179,179,-14.199048165061624,126.23984735892884,0.6029,0.0836708664602374,4.398869514465332,3.0,0.3990278764855264,208.88521213294064,2.9908795560087107,POINT (126.23984735892884 -14.199048165061624),0,5,North-western Coasts
191,191,-20.668177512199183,116.70128130819867,0.66434,0.105861177804742,4.0976667404174805,3.0,0.8290983680648115,201.6275348787712,5.097199156795085,POINT (116.70128130819867 -20.668177512199183),0,5,North-western Coasts
192,192,-15.669967234261092,124.38734865468273,0.64618,0.0458793068102466,9.40475845336914,3.0,0.3103373272664015,229.89591091086365,3.0384378257085998,POINT (124.38734865468273 -15.669967234261092),0,5,North-western Coasts
196,196,-17.983676865360007,122.21953849953628,0.66896,0.076005189370542,8.446423530578613,3.0,0.7552840442569917,234.91208973749605,8.270731419346472,POINT (122.21953849953628 -17.983676865360007),0,5,North-western Coasts
198,198,-17.983676865360007,122.21953849953628,0.66896,0.076005189370542,8.446423530578613,3.0,0.7552840442569917,234.91208973749605,8.270731419346472,POINT (122.21953849953628 -17.983676865360007),0,5,North-western Coasts
202,202,-17.983676865360007,122.21953849953628,0.66896,0.076005189370542,8.446423530578613,3.0,0.7552840442569917,234.91208973749605,8.270731419346472,POINT (122.21953849953628 -17.983676865360007),0,5,North-western Coasts
