,latitude,longitude,d50,beach_slope_average,mstr,hs_max,hs_mean,dir,tp
301,-38.719088734138566,145.8156371804051,0.18175,0.056042783361274995,2.8512842655181885,5.030202786946157,1.8029840728781177,229.44799962211462,11.401887029655667
303,-38.664096276581084,145.67670380543578,0.29937,0.09706726932261625,2.8441762924194336,3.42421360189627,1.3251497645575236,228.60315658678908,12.156084517747603
304,-38.67255736146841,145.6395909633233,0.18686,0.11313349600423649,2.8406713008880615,3.42421360189627,1.3251497645575236,228.60315658678908,12.156084517747603
305,-38.67739348469656,145.6088828775148,0.41466,0.029995530613671526,2.8406713008880615,3.42421360189627,1.3251497645575236,228.60315658678908,12.156084517747603
306,-38.67398460496749,145.60014372703256,0.41466,0.08560380472866445,2.8406713008880615,3.42421360189627,1.3251497645575236,228.60315658678908,12.156084517747603
307,-38.667327227664465,145.5881344794085,0.41466,0.06047821739507262,2.8229928016662598,3.42421360189627,1.3251497645575236,228.60315658678908,12.156084517747603
308,-38.65237653734997,145.56311204567905,0.70222,0.04969747313744509,2.8229928016662598,3.42421360189627,1.3251497645575236,228.60315658678908,12.156084517747603
309,-38.64464144312823,145.5578608922486,0.70222,0.07679061103223425,2.8229928016662598,3.42421360189627,1.3251497645575236,228.60315658678908,12.156084517747603
310,-38.64044703894434,145.55540273337002,0.70222,0.05466882188276528,2.8229928016662598,3.42421360189627,1.3251497645575236,228.60315658678908,12.156084517747603
311,-38.60583673446434,145.53174744573454,0.76844,0.08193554040125908,2.7989654541015625,3.42421360189627,1.3251497645575236,228.60315658678908,12.156084517747603
312,-38.557364408492646,145.4853103891792,0.49312,0.08801528540527769,2.78615140914917,3.42421360189627,1.3251497645575236,228.60315658678908,12.156084517747603
314,-38.51863144280244,145.3053296537091,0.19211,0.06530230927924514,2.75728702545166,3.42421360189627,1.3251497645575236,228.60315658678908,12.156084517747603
315,-38.505407020034575,145.25547219511472,0.18049,0.050128369300386,2.7421610355377197,3.42421360189627,1.3251497645575236,228.60315658678908,12.156084517747603
317,-38.45290689113076,144.86299312160813,0.26794,0.07700007395290019,2.6226089000701904,4.14884357950964,1.6673898149240196,229.01521154152576,12.25918118229375
319,-38.28403479662172,144.58676969423647,0.27739,0.051523011401016804,2.56840181350708,4.251204796230812,1.6598696845032743,220.88296196095962,12.03193654477836
320,-38.28495225971591,144.45049633560205,0.6029,0.049976017528705875,2.5328590869903564,4.251204796230812,1.6598696845032743,220.88296196095962,12.03193654477836
321,-38.29286958492225,144.4057648296502,0.21022,0.07889882264022793,2.5328590869903564,4.251204796230812,1.6598696845032743,220.88296196095962,12.03193654477836
322,-38.29971038319427,144.38748559805964,0.30993,0.05303333258404987,2.5328590869903564,4.251204796230812,1.6598696845032743,220.88296196095962,12.03193654477836
323,-38.32228641758462,144.34416169945112,0.14762,0.03793312689584751,2.506535291671753,4.251204796230812,1.6598696845032743,220.88296196095962,12.03193654477836
324,-38.34237767066117,144.32103227434058,0.22531,0.061507567211970184,2.493212938308716,4.251204796230812,1.6598696845032743,220.88296196095962,12.03193654477836
325,-38.34731200020583,144.30906040375353,0.41754,0.06912067778244838,2.493212938308716,4.251204796230812,1.6598696845032743,220.88296196095962,12.03193654477836
326,-38.375082251248,144.27364096492593,0.55095,0.044343424613481786,2.493212938308716,4.251204796230812,1.6598696845032743,220.88296196095962,12.03193654477836
327,-38.41911298333358,144.18379634650108,0.21613,0.04698500360064933,2.4356589317321777,4.0361604080366575,1.5755602869712462,214.2650410848148,12.274756561667402
328,-38.43147582456065,144.1548262957787,0.16154,0.0459486179198214,2.4356589317321777,4.0361604080366575,1.5755602869712462,214.2650410848148,12.274756561667402
329,-38.471463828677386,144.0619098367761,0.25,0.05441616866052775,2.3705501556396484,4.0361604080366575,1.5755602869712462,214.2650410848148,12.274756561667402
332,-38.74463761345507,143.67713360855942,0.32988,0.058958461574810196,1.9454022645950317,6.599954802048307,2.7351875380879083,230.22887651304328,12.633942978431055
333,-38.768322493932125,143.66851808550044,0.24486,0.06869008078050007,1.9454022645950317,6.599954802048307,2.7351875380879083,230.22887651304328,12.633942978431055
338,-38.587742623713275,142.8386686446988,0.35355,0.032534137200254026,1.208622694015503,5.6612797960169,2.359513190582047,226.79135210635613,12.283198563767455
339,-38.522419288536916,142.72154220956898,0.37631,0.022450041104262786,1.1870125532150269,5.6612797960169,2.359513190582047,226.79135210635613,12.283198563767455
340,-38.49480138644714,142.68256580180315,0.21613,0.04753446113482458,1.176112413406372,5.6612797960169,2.359513190582047,226.79135210635613,12.283198563767455
341,-38.408072486687296,142.5301114106254,0.399,0.02971020133225166,1.1706938743591309,5.6612797960169,2.359513190582047,226.79135210635613,12.283198563767455
