ID,Sample_ID,Sample_Type_Code,Project,dataset,Date,Location_Type,latitude,longitude,Contact,num_orig_dists,Measured_Distributions,Grainsize,Mean,Median,Wentworth,Kurtosis,Kurtosis_Class,Skewness,Skewness_Class,Std,Sorting,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,d95,Notes
239372,,1,,UMASS,9/22/2014,beach face,41.2427,-70.11838,"Jonathan Woodruff, UMASS",0,,,0.392967622,,MediumSand,0.745109471,Platykurtic,0.553783464,VeryCoarseSkewed,0.80369005,VeryWellSorted,0.277678571,0.307861635,0.32672956,0.353313609,0.363668639,0.405088757,,0.44556553,0.458491921,0.467109515,0.474290844,Season: summer; Beach Face: 0.058; Transect: A
239373,,1,,UMASS,3/15/2015,low tide,41.2428,-70.11832,"Jonathan Woodruff, UMASS",0,,,0.581633431,,CoarseSand,0.748342697,Platykurtic,0.576048586,VeryCoarseSkewed,0.79507673,VeryWellSorted,0.401666667,0.444566929,0.482362205,0.519787234,0.535744681,0.597515658,,0.660146138,0.682693111,0.697724426,0.710194611,Season: winter; Beach Face: 0.11; Transect: A
239374,,1,,UMASS,9/22/2014,high tide,41.24284,-70.11832,"Jonathan Woodruff, UMASS",0,,,0.416918896,,MediumSand,0.717287503,Platykurtic,0.546176322,VeryCoarseSkewed,0.791003709,VeryWellSorted,0.288636364,0.316528926,0.341322314,0.368576923,0.382038462,0.430776256,,0.476438356,0.492876712,0.503129139,0.51057947,Season: summer; Beach Face: 0.058; Transect: A
239375,,1,,UMASS,3/15/2015,mid tide ,41.24288,-70.1183,"Jonathan Woodruff, UMASS",0,,,0.514344113,,CoarseSand,0.786767902,Platykurtic,0.551729543,VeryCoarseSkewed,0.797449957,VeryWellSorted,0.350804598,0.391034483,0.428609865,0.460896861,0.478834081,0.529511628,,0.581837209,0.599547582,0.610780031,0.620140406,Season: winter; Beach Face: 0.11; Transect: A
239426,,1,,UMASS,9/22/2014,storm high tide,41.24295,-70.11827,"Jonathan Woodruff, UMASS",0,,,0.463886984,,MediumSand,0.773202172,Platykurtic,0.539931436,VeryCoarseSkewed,0.783017601,VeryWellSorted,0.313768116,0.35,0.37625,0.415625,0.430355987,0.482135922,,0.533587629,0.55028866,0.56142268,0.570701031,Season: summer; Beach Face: 0.058; Transect: A
239427,,1,,UMASS,3/15/2015,high tide,41.24297,-70.11827,"Jonathan Woodruff, UMASS",0,,,0.52737244,,CoarseSand,0.769567042,Platykurtic,0.565942895,VeryCoarseSkewed,0.792896797,VeryWellSorted,0.36037037,0.403580247,0.436318408,0.472139303,0.492039801,0.542744063,,0.600625,0.619375,0.631875,0.642291667,Season: winter; Beach Face: 0.11; Transect: A
239428,,1,,UMASS,3/15/2015,toe of dune,41.24321,-70.11812,"Jonathan Woodruff, UMASS",0,,,0.440693169,,MediumSand,0.746761026,Platykurtic,0.543693425,VeryCoarseSkewed,0.795249582,VeryWellSorted,0.305952381,0.335714286,0.362475248,0.393663366,0.410990099,0.455510204,,0.504816054,0.518361204,0.527391304,0.534916388,Season: winter; Beach Face: 0.11; Transect: A
239429,,1,,UMASS,9/22/2014,dune,41.2433,-70.11803,"Jonathan Woodruff, UMASS",0,,,0.501186153,,CoarseSand,0.757891391,Platykurtic,0.548753595,VeryCoarseSkewed,0.800113799,VeryWellSorted,0.345945946,0.379909091,0.418090909,0.447081712,0.462645914,0.515929204,,0.565707965,0.583628319,0.595274725,0.604693878,Season: summer; Beach Face: 0.058; Transect: A
239430,,1,,UMASS,3/15/2015,crest of dune,41.24332,-70.11803,"Jonathan Woodruff, UMASS",0,,,0.433957821,,MediumSand,0.743482224,Platykurtic,0.539281449,VeryCoarseSkewed,0.771231936,VeryWellSorted,0.285365854,0.318811881,0.348514851,0.379852941,0.397009804,0.450227273,,0.505334608,0.52082218,0.531147228,0.539751434,Season: winter; Beach Face: 0.11; Transect: A
239135,,1,,UMASS,9/19/2014,back berm,41.40902,-70.53825,"Jonathan Woodruff, UMASS",0,,,0.602441782,,CoarseSand,0.847100486,Platykurtic,0.518542866,VeryCoarseSkewed,0.712335359,VeryWellSorted,0.333870968,0.4,0.455918367,0.518837209,0.545,0.636216216,,0.728848614,0.753795309,0.770426439,0.784285714,Season: summer; Beach Face: 0.116; Transect: A
239146,,1,,UMASS,3/23/2015,toe of dune,41.40905,-70.53845,"Jonathan Woodruff, UMASS",0,,,0.462597013,,MediumSand,0.820822324,Platykurtic,0.497960872,VeryCoarseSkewed,0.703784821,VeryWellSorted,0.253409091,0.305769231,0.344230769,0.393282443,0.42,0.493059361,,0.559913545,0.583256484,0.597937743,0.609610895,Season: winter; Beach Face: 0.137; Transect: A
239147,,1,,UMASS,9/19/2014,high tide,41.40908,-70.53819,"Jonathan Woodruff, UMASS",0,,,0.62558531,,CoarseSand,0.831146954,Platykurtic,0.486447343,VeryCoarseSkewed,0.668392312,VeryWellSorted,0.314102564,0.376551724,0.44313253,0.521627907,0.556511628,0.676857143,,0.782347826,0.81626087,0.838869565,0.854378585,Season: summer; Beach Face: 0.116; Transect: A
239148,,1,,UMASS,9/19/2014,mid tide ,41.40911,-70.53815,"Jonathan Woodruff, UMASS",0,,,0.496405965,,MediumSand,0.711635363,Platykurtic,0.544611398,VeryCoarseSkewed,0.66353481,VeryWellSorted,0.264583333,0.31,0.3475,0.402347826,0.430769231,0.52759434,,0.6312,0.6672,0.6912,0.710896552,Season: summer; Beach Face: 0.116; Transect: A
239149,,1,,UMASS,3/23/2015,back berm,41.40912,-70.5384,"Jonathan Woodruff, UMASS",0,,,0.507217263,,CoarseSand,0.806223428,Platykurtic,0.530730218,VeryCoarseSkewed,0.757828064,VeryWellSorted,0.317346939,0.362352941,0.403529412,0.4464,0.4664,0.52908078,,0.591530055,0.611202186,0.62431694,0.635245902,Season: winter; Beach Face: 0.137; Transect: A
