/* DATA DESCRIPTION:
Citation:	BAYBEACH Project Members (2012): Sediment characterization of embayed beaches along the south and west coast of Portugal within the frame of the BAYBEACH project. PANGAEA, https://doi.org/10.1594/PANGAEA.883092, 
	In supplement to: Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Surficial sediment texture database for the south-western Iberian Atlantic margin. Earth System Science Data, 10(2), 1185-1195, https://doi.org/10.5194/essd-10-1185-2018
Related to:	Loureiro, Carlos (2012): Geomorphology and morphodynamics of embayed beaches in contrasting environments. Faculty of Science and Technology, University of Algarve, https://sapientia.ualg.pt/handle/10400.1/3470
Original version:	Original data of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed) (URI: https://store.pangaea.de/Publications/Coasta-etal_2017/PLOSscripts.zip)
Further details:	Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Shape files of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed). PANGAEA, https://doi.org/10.1594/PANGAEA.890946
Coverage:	MEDIAN LATITUDE: 37.223312 * MEDIAN LONGITUDE: -8.836156 * SOUTH-BOUND LATITUDE: 37.055005 * WEST-BOUND LONGITUDE: -8.875492 * NORTH-BOUND LATITUDE: 37.355320 * EAST-BOUND LONGITUDE: -8.792811
	DATE/TIME START: 2007-09-26T00:00:00 * DATE/TIME END: 2012-10-11T00:00:00
	MINIMUM ELEVATION: -21.37 m a.s.l. * MAXIMUM ELEVATION: 9.04 m a.s.l.
Event(s):	IBAM-Sed_BAYBEACH * LATITUDE: 37.221000 * LONGITUDE: -8.821000 * DATE/TIME START: 2007-09-26T00:00:00 * DATE/TIME END: 2012-10-11T00:00:00 * METHOD/DEVICE: Sampling by hand (HAND)
Comment:	BAYBEACH (2012). Evolution and Managment of Embayed Beaches in Contrasting Environments
Parameter(s):	Sample ID (Sample ID) * PI: BAYBEACH Project Members * COMMENT: Sample number
	Sample ID (Sample ID) * PI: BAYBEACH Project Members * COMMENT: Acess number from laboratory
	Sample ID (Sample ID) * PI: BAYBEACH Project Members * COMMENT: Reference sample in the collect
	Sample comment (Sample comment) * PI: BAYBEACH Project Members
	DATE/TIME (Date/Time) * GEOCODE * PI: BAYBEACH Project Members * COMMENT: of collecting
	Project (Project) * PI: BAYBEACH Project Members
	Sample method (Sample method) * PI: BAYBEACH Project Members
	LATITUDE (Latitude) * GEOCODE * PI: BAYBEACH Project Members * COMMENT: WGS1984
	LONGITUDE (Longitude) * GEOCODE * PI: BAYBEACH Project Members * COMMENT: WGS1984
	ELEVATION [m a.s.l.] (Elevation) * GEOCODE * PI: BAYBEACH Project Members * COMMENT: Relative to mean sea level (m)
	Gravel [%] (Gravel) * PI: BAYBEACH Project Members * METHOD/DEVICE: Grain size, sieving
	Sandstone [%] (Sdst) * PI: BAYBEACH Project Members * METHOD/DEVICE: Grain size, sieving
	Mudstone [%] (Mudstone) * PI: BAYBEACH Project Members * METHOD/DEVICE: Grain size, sieving
	Grain size, mean [phi] (Grain size mean) * PI: BAYBEACH Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Standard deviation [±] (Std dev) * PI: BAYBEACH Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: Of sample value
	Skewness (Skew) * PI: BAYBEACH Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Kurtosis (Kurt) * PI: BAYBEACH Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Mode, grain size [phi] (Mode) * PI: BAYBEACH Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 1st Mode sample value
	Mode, grain size [phi] (Mode) * PI: BAYBEACH Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 2nd Mode sample value
	Mode, grain size [phi] (Mode) * PI: BAYBEACH Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 3rd Mode sample value
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	5647 data points
*/
Sample ID (Sample number)	Sample ID (Acess number from laboratory)	Sample ID (Reference sample in the collect)	Sample comment	Date/Time (of collecting)	Project	Sample method	Latitude (WGS1984)	Longitude (WGS1984)	Elevation [m a.s.l.] (Relative to mean sea level (m))	Gravel [%] (Grain size, sieving)	Sdst [%] (Grain size, sieving)	Mudstone [%] (Grain size, sieving)	Grain size mean [phi] (Grain size, sieving, Folk and...)	Std dev [±] (Of sample value, Grain size, ...)	Skew (Grain size, sieving, Folk and...)	Kurt (Grain size, sieving, Folk and...)	Mode [phi] (1st Mode sample value, Grain ...)	Mode [phi] (2nd Mode sample value, Grain ...)	Mode [phi] (3rd Mode sample value, Grain ...)
27	2175	CVWfacebaixa	Lower Beach face	2009-07-23	BayBeach	Hand-Collecting	37.065654	-8.796725	1.77	0.10	99.90	0.00	1.739	0.390	-0.021	1.190	1.747		
28	2176	CVCfacealta	Upper Beach face	2009-07-23	BayBeach	Hand-Collecting	37.065626	-8.794657	3.36	0.00	100.00	0.00	1.768	0.450	-0.015	0.848	1.747		
29	2177	CVCfacebaixa	Lower Beach face	2009-07-23	BayBeach	Hand-Collecting	37.065456	-8.794711	1.58	0.00	100.00	0.00	2.051	0.401	-0.083	0.984	2.237		
30	2178	CVEaltapraia	Upper Beach face	2009-07-23	BayBeach	Hand-Collecting	37.065088	-8.792822	5.14	0.00	100.00	0.00	1.740	0.439	-0.030	1.003	1.747		
31	2179	CVEberma	Berm	2009-07-23	BayBeach	Hand-Collecting	37.065029	-8.792882	4.25	0.00	100.00	0.00	1.829	0.409	-0.006	0.984	1.747		
32	2180	CVEfacealta	Upper Beach face	2009-07-23	BayBeach	Hand-Collecting	37.064983	-8.792958	3.61	0.00	100.00	0.00	1.908	0.405	-0.059	0.922	1.747		
33	2181	CVEfacebaixa	Lower Beach face	2009-07-23	BayBeach	Hand-Collecting	37.064846	-8.793107	1.45	0.00	100.00	0.00	2.083	0.499	-0.079	1.025	2.240		
34	2206	CVWberma	Berm	2009-09-04	BayBeach	Hand-Collecting	37.065862	-8.796715	4.21	0.00	100.00	0.00	1.816	0.421	-0.033	0.989	1.747		
35	2207	CVWfacepraia	Beach face	2009-09-04	BayBeach	Hand-Collecting	37.065674	-8.796716	2.10	0.10	99.90	0.00	1.873	0.395	0.008	0.954	1.747		
36	2208	CVCberma	Berm	2009-09-04	BayBeach	Hand-Collecting	37.065664	-8.794643	4.28	0.00	100.00	0.00	1.797	0.407	-0.008	1.047	1.747		
37	2209	CVCfacepraia	Beach face	2009-09-04	BayBeach	Hand-Collecting	37.065526	-8.794692	2.51	0.00	100.00	0.00	2.092	0.405	-0.134	1.087	2.237		
38	2210	CVEaltapraia	Upper Beach	2009-09-04	BayBeach	Hand-Collecting	37.065112	-8.792811	5.28	0.00	100.00	0.00	2.043	0.379	-0.068	0.924	2.237		
39	2211	CVEberma	Berm	2009-09-04	BayBeach	Hand-Collecting	37.065056	-8.792868	4.84	0.00	100.00	0.00	1.711	0.419	-0.020	1.074	1.747		
40	2212	CVEfacepraia	Beach face	2009-09-04	BayBeach	Hand-Collecting	37.064911	-8.793035	2.32	0.00	100.00	0.00	2.030	0.405	-0.090	0.983	2.237		
41	2620	Alta Praia	Upper Beach	2012-10-11	BayBeach	Hand-Collecting	37.065112	-8.792811	5.28	0.00	100.00	0.00	1.905	0.382	0.035	0.947	1.747		
42	2621	Berma	Berm	2012-10-11	BayBeach	Hand-Collecting	37.065056	-8.792868	4.84	0.00	100.00	0.00	1.762	0.369	0.003	1.238	1.747		
43	2622	Face Praia	Beach face	2012-10-11	BayBeach	Hand-Collecting	37.064911	-8.793035	2.32	0.00	100.00	0.00	1.988	0.343	-0.055	0.776	2.237		
44	1528	BRWaltapraia	Upper Beach	2007-09-26	BayBeach	Hand-Collecting	37.066197	-8.809658	4.77	1.30	98.50	0.20	1.209	0.601	-0.159	1.032	1.247		
45	1518	BRWberma	Berm	2007-09-26	BayBeach	Hand-Collecting	37.066045	-8.809609	4.51	0.00	100.00	0.00	1.577	0.367	-0.046	0.913	1.747		
46	1519	BRWfacepraia	Beach face	2007-09-26	BayBeach	Hand-Collecting	37.065892	-8.809538	3.54	0.20	99.80	0.00	1.590	0.500	-0.159	1.103	1.747		
47	1524	BRWbasefacepraia	Beach face toe	2007-09-26	BayBeach	Hand-Collecting	37.065739	-8.809488	1.68	0.00	100.00	0.00	1.805	0.392	0.025	1.194	1.747		
48	1527	BRCaltapraia	Upper Beach	2007-09-26	BayBeach	Hand-Collecting	37.066344	-8.809012	5.10	2.10	97.90	0.00	1.245	0.617	-0.221	1.132	1.247		
49	1520	BRCberma	Berm	2007-09-26	BayBeach	Hand-Collecting	37.066165	-8.808951	4.24	0.90	99.10	0.00	1.502	0.692	-0.330	1.230	1.747		
50	1526	BRCfacepraia	Beach face	2007-09-26	BayBeach	Hand-Collecting	37.066057	-8.808917	3.27	1.00	99.00	0.00	1.683	0.525	-0.181	1.328	1.747		
51	1525	BRCbasefacepraia	Beach face toe	2007-09-26	BayBeach	Hand-Collecting	37.065918	-8.808872	1.55	0.00	100.00	0.00	1.764	0.413	-0.002	1.177	1.747		
52	1529	BREaltapraia	Upper Beach	2007-09-26	BayBeach	Hand-Collecting	37.066447	-8.808505	4.79	1.10	98.90	0.00	1.271	0.589	-0.167	1.136	1.247		
53	1521	BREberma	Berm	2007-09-26	BayBeach	Hand-Collecting	37.066304	-8.808457	4.57	0.00	100.00	0.00	1.668	0.387	-0.058	1.113	1.747		
