,Unnamed: 0,hs_max,hs_mean,dir,tp,latitude_left,latitude_left.1,longitude_left,longitude_left.1,quality_flag_left,quality_flag_right,d50,width_ci_average,beach_slope_average,beach_slope_median,sl_points_average,mstr,prc_mstr_obs,min_tide_obs,max_tide_obs,site_id,beach_slope,lower_conf_bound,upper_conf_bound,width_ci,sl_points,trend,distance,latitude,longitude
114,106,0.4355186935139499,0.3558415585599773,131.30330786895763,6.849106523266252,32.00237,32.09829011603141,-80.84147,-80.85873415949891,High,Medium,0.687677810326219,0.02295,0.0881,0.09,554.0,2.553478479385376,98.9536316385642,-1.24857980857017,1.2781798798908452,usa_SC_0001,0.1,0.0824,0.1209,0.0385,564.0,-0.718058601162835,0.0007639460193851,32.1493393958154,-80.76234854947236
116,95,0.3899714092903272,0.3168692409713922,130.54304113186288,6.879325101306842,32.00237,32.127782712513344,-80.84147,-80.77768816396342,High,High,0.687677810326219,0.0037,0.0329285714285714,0.035,453.0,2.510958671569824,97.64004746795894,-1.2000877040982072,1.2516135347234008,usa_SC_0002,0.025,0.0249,0.0293,0.0044,440.0,1.0818099629887126,0.0005766650309634,31.93035509402877,-80.92189461296414
117,93,0.2608936634735873,0.2087486311178303,129.3316440833348,6.0652982792846,32.00237,32.09829011603141,-80.84147,-80.85873415949891,High,Medium,0.687677810326219,0.02295,0.0881,0.09,554.0,2.553478479385376,98.9536316385642,-1.24857980857017,1.2781798798908452,usa_SC_0001,0.1,0.0874,0.1146,0.0272,552.0,-0.2439423278414292,0.0011653403826554,31.882004173515803,-80.99637758051415
118,108,0.3137181517975751,0.2457140661837989,148.60799929749956,6.3386658376622735,32.00237,32.127782712513344,-80.84147,-80.77768816396342,High,High,0.687677810326219,0.0037,0.0329285714285714,0.035,453.0,2.510958671569824,97.64004746795894,-1.2000877040982072,1.2516135347234008,usa_SC_0002,0.03,0.0284,0.0306,0.0022,439.0,1.0174467835788332,0.0005296137161492,32.19692351443588,-80.68879740146173
119,107,0.303198865087523,0.2340028938803285,146.59939992381533,5.262550519494406,32.00237,31.188190863583387,-80.84147,-81.33782335643565,High,High,0.687677810326219,0.015,0.0608396946564885,0.06,839.0,2.4999654293060303,98.43888607128852,-1.1574001479908234,1.303537972785339,usa_GA_0006,0.065,0.0586,0.0689,0.0103,853.0,0.1650336173307722,0.0009858010909577,31.726941338863007,-81.00239670348225
120,115,0.5954546085950998,0.494114741998867,135.9155702531497,7.211110223551622,32.65302,32.52018869478529,-79.94277,-80.26768130885652,High,High,1.06082628750927,0.01855,0.0779058441558441,0.065,544.0,2.249189853668213,96.49924364803256,-1.0610926226989126,1.1093585742992027,usa_SC_0008,0.06,0.0537,0.0707,0.017,539.0,-4.077044246303304,0.0008052951172488,32.49378336137248,-80.26721957883589
121,113,0.2319066441438889,0.1751270568262286,155.8003563892749,3.689200245078176,32.65302,32.6064480646222,-79.94277,-80.04451741378453,High,High,1.06082628750927,0.0025,0.0328804347826087,0.03,446.5,2.153021812438965,95.83565028398164,-1.0048835330649175,1.058478921641932,usa_SC_0010,0.03,0.0288,0.0303,0.0015,465.0,-0.1089029584589191,0.0008295527492878,32.53690697668044,-80.22236651997639
122,125,0.4503354910475853,0.3667397525892933,138.53419595576548,7.13074468129585,32.65522,32.78347837303918,-79.94062,-79.78350953857829,High,High,0.0905771248816574,0.00635,0.031338028169014,0.03,448.0,2.026691198348999,95.68180186775426,-0.9424508207733032,0.9967238361022004,usa_SC_0013,0.03,0.0299,0.0312,0.0013,459.0,0.507411026849134,0.0014644122162716,32.82556796835667,-79.72554554728822
123,117,0.5871915263864892,0.4854455777874238,140.71832891979182,7.217884769631073,32.65302,32.6064480646222,-79.94277,-80.04451741378453,High,High,1.06082628750927,0.0025,0.0328804347826087,0.03,446.5,2.153021812438965,95.83565028398164,-1.0048835330649175,1.058478921641932,usa_SC_0010,0.03,0.0288,0.0303,0.0015,465.0,-0.1089029584589191,0.0008295527492878,32.570239801680444,-80.08903140997639
124,124,0.443539224224614,0.36523391556196,137.8114998929939,7.3335575336718595,32.65522,32.78347837303918,-79.94062,-79.78350953857829,High,High,0.0905771248816574,0.00635,0.031338028169014,0.03,448.0,2.026691198348999,95.68180186775426,-0.9424508207733032,0.9967238361022004,usa_SC_0013,0.03,0.0299,0.0312,0.0013,459.0,0.507411026849134,0.0014644122162716,32.79223514335668,-79.75887837228822
125,114,0.3675348525184818,0.2996335006677524,139.9618267065161,6.8910256193554735,32.65302,32.6064480646222,-79.94277,-80.04451741378453,High,High,1.06082628750927,0.0025,0.0328804347826087,0.03,446.5,2.153021812438965,95.83565028398164,-1.0048835330649175,1.058478921641932,usa_SC_0010,0.03,0.0288,0.0303,0.0015,465.0,-0.1089029584589191,0.0008295527492878,32.53690697668044,-80.18903369497639
126,117,0.5871915263864892,0.4854455777874238,140.71832891979182,7.217884769631073,32.65302,32.52018869478529,-79.94277,-80.26768130885652,High,High,1.06082628750927,0.01855,0.0779058441558441,0.065,544.0,2.249189853668213,96.49924364803256,-1.0610926226989126,1.1093585742992027,usa_SC_0008,0.06,0.0523,0.0698,0.0175,542.0,-4.1728139399261375,0.0014642952653359,32.527360401350165,-80.2000976270896
127,115,0.5954546085950998,0.494114741998867,135.9155702531497,7.211110223551622,32.65302,32.52018869478529,-79.94277,-80.26768130885652,High,Medium,1.06082628750927,0.01855,0.0779058441558441,0.065,544.0,2.249189853668213,96.49924364803256,-1.0610926226989126,1.1093585742992027,usa_SC_0008,0.08,0.0677,0.0943,0.0266,542.0,-3.841064717368684,0.0011579682007545,32.49354922293418,-80.26768331740116
128,119,0.5312925077807675,0.4349976176449511,145.18893835842374,7.136657783997592,32.65302,32.6064480646222,-79.94277,-80.04451741378453,High,High,1.06082628750927,0.0025,0.0328804347826087,0.03,446.5,2.153021812438965,95.83565028398164,-1.0048835330649175,1.058478921641932,usa_SC_0010,0.03,0.0288,0.0303,0.0015,465.0,-0.1089029584589191,0.0008295527492878,32.60357453168044,-80.0223657599764
