"Kurt (Grain size, sieving, Folk and...)",Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Latitude,Longitude,Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1.055,166,667A,D23,,1/1/1997,INDIA,36.99000612,-7.96508393,,5.2,94.8,0,0.691,0.953,-0.114,1.055,0.747,,
1.131,167,668A,D24,,1/1/1997,INDIA,36.99016515,-7.96488498,,21.8,78.2,0,0.076,1.749,-0.227,1.131,0.747,-3.243,
0.984,168,669A,D25,,1/1/1997,INDIA,36.99048311,-7.9644872,,2,98,0,0.692,0.798,0.01,0.984,0.747,,
0.962,169,670A,D26,,1/1/1997,INDIA,36.99080117,-7.96408931,,5,95,0,0.189,0.707,-0.029,0.962,0.247,,
1.128,170,671A,E18,,1/1/1997,INDIA,36.98905147,-7.96588028,,0.4,99.6,0,1.069,0.667,0.077,1.128,1.247,,
1.155,171,672A,E20,,1/1/1997,INDIA,36.98936953,-7.9654824,,22.3,77.7,0,-0.614,0.62,-0.088,1.155,-0.743,,
0.822,172,673A,E22,,1/1/1997,INDIA,36.9896875,-7.96508462,,100,0,0,-5.538,0.319,0.272,0.822,-5.735,,
1.662,173,674A,E24,,1/1/1997,INDIA,36.99000556,-7.96468673,,4.6,95.4,0,1.247,0.85,-0.253,1.662,1.247,,
1.225,174,675A,F17,,1/1/1997,INDIA,36.98873286,-7.96588097,,1.1,98.9,0,0.955,0.749,0.184,1.225,0.747,,
1.36,175,677A,F18,,1/1/1997,INDIA,36.98889189,-7.96568203,,9.1,90.9,0,0.083,0.976,0.105,1.36,-0.243,2.237,
1.163,176,678A,F19,,1/1/1997,INDIA,36.98905092,-7.96548309,,22.7,77.3,0,-0.31,1.134,-0.35,1.163,0.247,-3.243,
1.157,177,679A,F21,,1/1/1997,INDIA,36.98936888,-7.96508532,,14.4,85.6,0,-0.154,0.837,-0.184,1.157,-0.243,,
1.289,178,680A,F22,,1/1/1997,INDIA,36.98952791,-7.96488637,,2.1,97.9,0,0.85,0.627,-0.079,1.289,0.747,,
1.265,179,681A,F23,,1/1/1997,INDIA,36.98968694,-7.96468743,,1.3,98.7,0,0.845,0.582,-0.057,1.265,0.747,,
0.976,180,682A,F24,,1/1/1997,INDIA,36.98984597,-7.96448848,,0.7,99.3,0,1.457,0.609,0.123,0.976,1.247,,
1.112,181,683A,F25,,1/1/1997,INDIA,36.99016393,-7.9640907,,14.6,85.4,0,0.252,1.15,-0.286,1.112,0.747,,
1.252,182,684A,F26,,1/1/1997,INDIA,36.99048199,-7.9636928,,24.1,75.9,0,-0.279,1.297,-0.157,1.252,-0.743,-3.743,
1.011,183,685A,F28,,1/1/1997,INDIA,36.991118,-7.96289711,,5.5,94.5,0,0.413,0.793,-0.129,1.011,0.747,,
1.057,184,686A,G18,,1/1/1997,INDIA,36.98873239,-7.96548389,,8.8,91.2,0,0.202,0.827,-0.205,1.057,0.747,,
1.098,185,687A,G20,,1/1/1997,INDIA,36.98905045,-7.96508601,,2.8,97.2,0,1.062,0.826,-0.229,1.098,1.247,,
0.953,186,688A,G22,,1/1/1997,INDIA,36.98936841,-7.96468823,,0.7,99.3,0,0.36,0.489,-0.09,0.953,0.247,,
0.941,187,689A,G24,,1/1/1997,INDIA,36.98968647,-7.96429034,,0.6,99.4,0,1.234,0.739,0.032,0.941,1.247,,
1.074,188,690A,H17,,1/1/1997,INDIA,36.98841377,-7.96548458,,2.2,97.8,0,0.319,0.626,-0.073,1.074,0.247,,
0.635,189,691A,H18,,1/1/1997,INDIA,36.9885728,-7.96528564,,42,58,0,-0.948,1.745,-0.331,0.635,0.747,-3.243,
1.066,190,692A,H19,,1/1/1997,INDIA,36.98873183,-7.9650867,,8.2,91.8,0,-0.065,0.682,-0.076,1.066,-0.243,,
1.098,191,693A,H20,,1/1/1997,INDIA,36.98889077,-7.96488787,,42.9,57.1,0,-0.937,1.241,-0.183,1.098,-0.743,,
0.999,192,694A,H21,,1/1/1997,INDIA,36.9890498,-7.96468893,,16.6,83.4,0,-0.167,0.87,-0.098,0.999,-0.243,,
1.017,193,695A,H22,,1/1/1997,INDIA,36.98920882,-7.96448998,,8.2,91.8,0,0.048,0.73,-0.132,1.017,0.247,,
1.058,194,696A,H23,,1/1/1997,INDIA,36.98936785,-7.96429104,,0.3,99.7,0,0.99,0.517,-0.045,1.058,1.247,,
0.965,195,697A,H24,,1/1/1997,INDIA,36.98952679,-7.96409221,,0.9,99.1,0,1.179,0.845,-0.148,0.965,1.247,,
0.999,196,698A,I18,,1/1/1997,INDIA,36.98841321,-7.96508739,,25.6,74.4,0,-0.25,1.594,-0.563,0.999,0.747,-3.243,-2.243
0.779,197,699A,I20,,1/1/1997,INDIA,36.98873118,-7.96468962,,42.6,57.4,0,-0.984,1.455,-0.223,0.779,-0.243,-3.243,
0.765,198,700A,I22,,1/1/1997,INDIA,36.98904923,-7.96429174,,46.4,53.6,0,-1.109,1.458,-0.206,0.765,-0.243,-3.243,-2.243
0.994,199,701A,I24,,1/1/1997,INDIA,36.9893672,-7.96389396,,2.8,97.2,0,0.779,0.859,-0.024,0.994,0.747,,
1.005,200,702A,J17,,1/1/1997,INDIA,36.9880946,-7.9650882,,4.5,95.5,0,0.159,0.682,0.034,1.005,0.247,,
0.558,201,703A,J18,,1/1/1997,INDIA,36.98825362,-7.96488926,,43,57,0,-1.219,1.78,-0.409,0.558,-3.743,0.247,
1.19,202,704A,J19,,1/1/1997,INDIA,36.98841265,-7.96469032,,28,72,0,-0.704,1.412,-0.418,1.19,-0.243,-3.243,-2.243
1.093,203,705A,J20,,1/1/1997,INDIA,36.98857168,-7.96449138,,7.4,92.6,0,0.017,0.687,-0.091,1.093,0.247,,
1.881,204,706A,J21,,1/1/1997,INDIA,36.98873062,-7.96429254,,85.9,14.1,0,-2.959,1.397,0.659,1.881,-3.743,,
0.802,205,707A,J22,,1/1/1997,INDIA,36.98888964,-7.9640936,,39.5,60.5,0,-0.992,1.618,-0.306,0.802,0.247,-3.243,
1.076,206,708A,J23,,1/1/1997,INDIA,36.98904867,-7.96389466,,31.5,68.5,0,-0.601,1.219,-0.239,1.076,-0.243,,
1.316,207,709A,J24,,1/1/1997,INDIA,36.9892077,-7.96369571,,5,95,0,1.157,0.901,-0.299,1.316,1.247,,
1.414,208,710A,J25,,1/1/1997,INDIA,36.98952566,-7.96329793,,4.3,95.7,0,1.139,0.794,-0.22,1.414,1.247,,
0.993,209,711A,J26,,1/1/1997,INDIA,36.98984371,-7.96290003,,8.4,91.6,0,0.333,0.919,-0.204,0.993,0.747,,
1.041,210,712A,K17,,1/1/1997,INDIA,36.9879351,-7.96488995,,35.3,64.7,0,-0.711,0.764,-0.042,1.041,-0.743,,
1.249,211,713A,K18,,1/1/1997,INDIA,36.98809412,-7.96469101,,20.8,79.2,0,-0.421,0.851,-0.044,1.249,-0.243,,
0.985,212,714A,K19,,1/1/1997,INDIA,36.98825315,-7.96449207,,15.1,84.9,0,0.073,0.993,-0.186,0.985,0.747,,
1.099,213,715A,K20,,1/1/1997,INDIA,36.98841218,-7.96429313,,19.7,80.3,0,-0.178,1.053,-0.217,1.099,0.247,,
1.071,214,716A,K21,,1/1/1997,INDIA,36.98857112,-7.9640943,,6.1,93.9,0,0.307,0.756,-0.166,1.071,0.747,,
0.685,215,717A,K22,,1/1/1997,INDIA,36.98873014,-7.96389535,,77.2,22.8,0,-3.017,2.149,0.362,0.685,-5.235,-3.743,-0.743
1.007,216,718A,K24,,1/1/1997,INDIA,36.9890482,-7.96349746,,0.5,99.5,0,1.169,0.635,-0.043,1.007,1.247,,
0.993,217,719A,L18,,1/1/1997,INDIA,36.98793454,-7.96449277,,3.1,96.9,0,0.268,0.665,-0.05,0.993,0.247,,
1.079,218,720A,L19,,1/1/1997,INDIA,36.98809356,-7.96429382,,2.7,97.3,0,0.55,0.676,-0.176,1.079,0.747,,
1.026,219,721A,L20,,1/1/1997,INDIA,36.98825259,-7.96409488,,1.6,98.4,0,0.434,0.644,-0.124,1.026,0.747,,
1.092,220,722A,L21,,1/1/1997,INDIA,36.98841153,-7.96389605,,11.5,88.5,0,0.038,0.868,-0.148,1.092,0.247,,
0.99,221,723A,L22,,1/1/1997,INDIA,36.98857055,-7.96369711,,7.3,92.7,0,0.211,0.8,-0.136,0.99,0.747,,
1.317,222,724A,L23,,1/1/1997,INDIA,36.98872958,-7.96349816,,19,81,0,-0.111,1.246,-0.263,1.317,0.247,-3.243,
1.194,223,725A,L24,,1/1/1997,INDIA,36.98888861,-7.96329922,,8.2,91.8,0,0.418,0.913,-0.203,1.194,0.747,,
1.145,224,726A,L25,,1/1/1997,INDIA,36.98920657,-7.96290144,,0.7,99.3,0,0.958,0.602,-0.148,1.145,1.247,,
0.906,225,727A,L26,,1/1/1997,INDIA,36.98952462,-7.96250354,,15.7,84.3,0,0.292,1.179,-0.242,0.906,1.247,,
1.168,226,728A,L28,,1/1/1997,INDIA,36.99016062,-7.96170785,,24.4,75.6,0,-0.41,1.717,-0.512,1.168,0.747,-3.243,
1.039,227,729A,M17,,1/1/1997,INDIA,36.98761592,-7.96449346,,5.6,94.4,0,0.042,0.611,-0.084,1.039,0.247,,
1.041,228,730A,M18,,1/1/1997,INDIA,36.98777495,-7.96429452,,6,94,0,0.069,0.629,-0.116,1.041,0.247,,
1.001,229,731A,M19,,1/1/1997,INDIA,36.98793397,-7.96409558,,2.8,97.2,0,0.357,0.669,-0.135,1.001,0.747,,
1.066,230,732A,M20,,1/1/1997,INDIA,36.988093,-7.96389664,,3.5,96.5,0,0.505,0.708,-0.216,1.066,0.747,,
1.461,231,733A,M21,,1/1/1997,INDIA,36.98825194,-7.96369781,,25.6,74.4,0,-0.504,1.307,-0.336,1.461,-0.243,-3.743,
1.178,232,734A,M22,,1/1/1997,INDIA,36.98841096,-7.96349886,,20.4,79.6,0,-0.032,1.332,-0.313,1.178,0.747,-3.243,
1.054,233,735A,M23,,1/1/1997,INDIA,36.98856999,-7.96329992,,6.6,93.4,0,0.287,0.818,-0.091,1.054,0.247,,
1.135,234,736A,M24,,1/1/1997,INDIA,36.98872901,-7.96310097,,5.5,94.4,0,0.529,0.905,-0.045,1.135,0.747,,
1.098,235,737A,N18,,1/1/1997,INDIA,36.98761536,-7.96409628,,31.2,68.8,0,-0.617,1.069,-0.209,1.098,-0.243,,
1.068,236,738A,N19,,1/1/1997,INDIA,36.98777438,-7.96389733,,9.8,90.2,0,0.14,0.843,-0.181,1.068,0.247,,
1.07,237,739A,N20,,1/1/1997,INDIA,36.98793341,-7.96369839,,14.3,85.7,0,-0.014,0.922,-0.157,1.07,0.247,,
1.097,238,740A,N21,,1/1/1997,INDIA,36.98809235,-7.96349956,,20.4,79.6,0,-0.078,1.229,-0.232,1.097,0.747,-2.743,
1.068,239,741A,N22,,1/1/1997,INDIA,36.98825137,-7.96330062,,10.2,89.8,0,0.223,0.978,-0.063,1.068,0.247,,
0.992,240,742A,N23,,1/1/1997,INDIA,36.9884104,-7.96310167,,4.6,95.4,0,0.694,0.892,-0.133,0.992,0.747,,
1.038,241,743A,N24,,1/1/1997,INDIA,36.98856942,-7.96290273,,11.2,88.8,0,0.378,1.123,-0.179,1.038,0.747,,
1.029,242,744A,O20,,1/1/1997,INDIA,36.98761432,-7.96330202,,3.7,96.3,0,0.461,0.737,-0.157,1.029,0.747,,
1.037,243,745A,O22,,1/1/1997,INDIA,36.98793228,-7.96290424,,0.4,99.6,0,0.897,0.675,0.007,1.037,0.747,,
1.11,244,746A,O24,,1/1/1997,INDIA,36.98825033,-7.96250635,,8.4,91.6,0,0.718,1.023,-0.307,1.11,1.247,,
1.374,245,747A,O25,,1/1/1997,INDIA,36.98856829,-7.96210857,,3.4,96.6,0,0.958,0.738,-0.354,1.374,1.247,,
0.886,246,748A,O26,,1/1/1997,INDIA,36.98888633,-7.96171068,,2.5,97.5,0,0.582,0.822,-0.085,0.886,1.247,,
1.09,247,749A,Q22,,1/1/1997,INDIA,36.987294,-7.96211139,,3.5,96.1,0,0.409,0.798,0.03,1.09,0.247,,
0.952,248,750A,Q24,,1/1/1997,INDIA,36.98761204,-7.9617135,,3.2,96.8,0,0.615,0.811,-0.144,0.952,1.247,,
1.104,249,751A,Q25,,1/1/1997,INDIA,36.98793,-7.96131572,,18.4,81.6,0,0.06,1.325,-0.103,1.104,-0.243,1.247,
1.918,250,752A,Q26,,1/1/1997,INDIA,36.98824804,-7.96091783,,8.9,91.1,0,0.418,1.214,-0.331,1.918,0.747,-3.743,
1.05,251,753A,Q28,,1/1/1997,INDIA,36.98888404,-7.96012214,,2.2,97.8,0,0.49,0.688,-0.084,1.05,0.747,,
1.103,252,754A,R22,,1/1/1997,INDIA,36.98697481,-7.96171492,,2.2,96.4,0,0.738,0.633,-0.07,1.103,0.747,,
1.079,253,755A,R24,,1/1/1997,INDIA,36.98729285,-7.96131703,,1.1,98.9,0,0.87,0.81,0.091,1.079,0.747,,
0.915,254,756A,S24,,1/1/1997,INDIA,36.98697375,-7.96092067,,1.3,98.7,0,0.799,0.744,-0.039,0.915,0.747,,
1.072,255,757A,S25,,1/1/1997,INDIA,36.98729171,-7.96052289,,0.6,99.4,0,1.965,0.48,-0.056,1.072,2.237,,
1.22,256,758A,S26,,1/1/1997,INDIA,36.98760975,-7.96012499,,2.6,97.4,0,1.329,0.794,-0.311,1.22,1.747,,
0.991,257,759A,S28,,1/1/1997,INDIA,36.98824574,-7.9593293,,1.1,98.9,0,1.056,0.745,-0.235,0.991,1.247,,
1.772,258,760A,U24,,1/1/1997,INDIA,36.98633546,-7.96012784,,16.7,82.4,0,0.615,1.702,-0.656,1.772,1.747,-3.743,
1.097,259,761A,"U24,5",,1/1/1997,INDIA,36.98649439,-7.95992901,,1.2,98.8,0,1.005,0.621,-0.11,1.097,1.247,,
1.159,260,762A,U25,,1/1/1997,INDIA,36.98665341,-7.95973006,,6.1,93.9,0,0.593,0.884,-0.256,1.159,0.747,,
