"Kurt (Grain size, sieving, Folk and...)",Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Latitude,Longitude,Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1.244,40,540A,N4,,1/1/1997,INDIA,36.9853892,-7.96688103,,3.7,96.3,0,0.604,0.684,-0.111,1.244,0.747,,
0.77,41,541A,N8,,1/1/1997,INDIA,36.9860252,-7.96608542,,42.6,57.4,0,-1.203,1.576,-0.379,0.77,-0.243,-3.243,
1,42,542A,O1,,1/1/1997,INDIA,36.9841161,-7.96767799,,0,100,0,1.645,0.579,-0.075,1,1.747,,
1.171,43,543A,O4,,1/1/1997,INDIA,36.9850701,-7.96648466,,17.7,82.3,0,-0.174,1.003,0.077,1.171,-0.243,,
1.366,44,544A,O8,,1/1/1997,INDIA,36.9857062,-7.96568905,,27.4,72.6,0,-0.641,1.167,-0.381,1.366,-0.243,-3.243,
1.55,45,545A,O10,,1/1/1997,INDIA,36.9860242,-7.96529118,,13.7,86.3,0,0.13,1.11,-0.39,1.55,0.747,,
0.99,46,546A,Q3,,1/1/1997,INDIA,36.9841139,-7.96608955,,0.1,99.9,0,1.117,0.693,0.134,0.99,0.747,,
1.316,47,547A,Q6,,1/1/1997,INDIA,36.9847499,-7.96529395,,14.1,85.9,0,0.023,0.986,-0.274,1.316,0.247,,
1.096,48,548A,Q10,,1/1/1997,INDIA,36.985386,-7.96449833,,2.9,97.1,0,0.711,0.643,-0.17,1.096,0.747,,
1.015,49,549A,R1,,1/1/1997,INDIA,36.9831587,-7.96648866,,0.1,99.9,0,2.088,0.562,-0.069,1.015,2.237,,
1.035,50,550A,R6,,1/1/1997,INDIA,36.9844308,-7.96489747,,4.9,95.1,0,0.33,0.699,-0.159,1.035,0.747,,
1.007,51,551A,R10,,1/1/1997,INDIA,36.9850668,-7.96410185,,1,99,0,0.706,0.606,-0.132,1.007,0.747,,
1.107,52,552A,U10,,1/1/1997,INDIA,36.9841094,-7.96291266,,0.3,99.7,0,1.006,0.64,0.014,1.107,0.747,,
1.054,53,553A,U11,,1/1/1997,INDIA,36.9842684,-7.96271373,,0.5,99.5,0,1.045,0.567,-0.02,1.054,1.247,,
0.972,54,555A,A12,,1/1/1997,INDIA,36.98921438,-7.968461466,,0,100,0,1.413,0.434,0.04,0.972,1.247,,
0.909,55,556A,A13,,1/1/1997,INDIA,36.98937341,-7.96826253,,0.6,99.4,0,0.916,0.742,-0.063,0.909,1.247,,
1.203,56,557A,A14,,1/1/1997,INDIA,36.98953244,-7.968063592,,4.1,95.9,0,1.322,0.718,-0.195,1.203,1.747,,
0.965,57,558A,A16,,1/1/1997,INDIA,36.98985042,-7.967665828,,0.1,99.9,0,1.376,0.617,-0.118,0.965,1.747,,
0.988,58,559A,C10,,1/1/1997,INDIA,36.98825816,-7.968066315,,2.6,97.4,0,0.986,0.893,-0.091,0.988,0.747,,
0.913,59,560A,C12,,1/1/1997,INDIA,36.98857613,-7.967668557,,0,100,0,1.058,0.409,0.141,0.913,0.747,,
1.035,60,561A,C16,,1/1/1997,INDIA,36.98921217,-7.966872918,,0,100,0,1.87,0.361,0.066,1.035,1.747,,
1.161,61,562A,D10,,1/1/1997,INDIA,36.98793899,-7.967669809,,0.7,99.3,0,1.33,0.626,-0.046,1.161,1.247,,
1.067,62,563A,D11,,1/1/1997,INDIA,36.98809802,-7.967470874,,1.4,98.6,0,0.495,0.614,-0.006,1.067,0.747,,
1.335,63,564A,D12,,1/1/1997,INDIA,36.98825696,-7.967272051,,2,98,0,0.207,0.555,0.047,1.335,0.247,,
0.887,64,565A,D14,,1/1/1997,INDIA,36.98857503,-7.966874177,,0,100,0,1.474,0.383,0.048,0.887,1.247,,
0.968,65,566A,D16,,1/1/1997,INDIA,36.988893,-7.966476412,,0.1,99.9,0,0.954,0.595,0.058,0.968,0.747,,
1.038,66,567A,E12,,1/1/1997,INDIA,36.98809738,-7.967073799,,1.4,98.6,0,0.407,0.578,-0.04,1.038,0.247,,
1.16,67,568A,E14,,1/1/1997,INDIA,36.98841544,-7.966675925,,0,100,0,0.854,0.389,0.121,1.16,0.747,,
0.997,68,569A,E16,,1/1/1997,INDIA,36.98873341,-7.966278161,,0.1,99.9,0,0.765,0.494,-0.028,0.997,0.747,,
1.037,69,570A,F10,,1/1/1997,INDIA,36.98761982,-7.967273306,,0.1,99.9,0,0.98,0.494,0.019,1.037,0.747,,
1.045,70,571A,F11,,1/1/1997,INDIA,36.98777885,-7.967074371,,0.3,99.7,0,1.119,0.549,-0.07,1.045,1.247,,
1.148,71,572A,F12,,1/1/1997,INDIA,36.98793779,-7.966875548,,2.2,97.8,0,0.482,0.712,-0.024,1.148,0.747,,
1.103,72,573A,F13,,1/1/1997,INDIA,36.98809682,-7.966676612,,0.6,99.4,0,0.617,0.483,-0.102,1.103,0.747,,
1.147,73,574A,F14,,1/1/1997,INDIA,36.98825586,-7.966477674,,1.3,98.7,0,0.386,0.411,0.09,1.147,0.247,,
1.139,74,575A,F15,,1/1/1997,INDIA,36.98841489,-7.966278736,,78.3,21.7,0,-3.789,2.443,0.852,1.139,-5.735,-4.731,
1.102,75,576A,F16,,1/1/1997,INDIA,36.98857383,-7.96607991,,6.8,93.2,0,0.244,0.769,-0.095,1.102,0.247,,
1.28,76,577A,G12,,1/1/1997,INDIA,36.9877783,-7.96667741,,5.7,94.3,0,0.363,0.726,-0.221,1.28,0.747,,
1.396,77,578A,G14,,1/1/1997,INDIA,36.98809636,-7.966279536,,17.3,82.7,0,0.126,1.324,-0.321,1.396,0.747,-2.743,
1.024,78,579A,G16,,1/1/1997,INDIA,36.98841433,-7.965881772,,1.4,98.6,0,1.049,0.723,0.083,1.024,0.747,,
1.15,79,580A,H10,,1/1/1997,INDIA,36.98730074,-7.966876919,,3.1,96.9,0,0.65,0.628,-0.189,1.15,0.747,,
1.176,80,581A,H12,,1/1/1997,INDIA,36.98761871,-7.966479161,,5.8,94.2,0,0.288,0.731,-0.153,1.176,0.247,,
1.289,81,582A,H13,,1/1/1997,INDIA,36.98777774,-7.966280224,,9.7,90.3,0,0.112,0.891,-0.148,1.289,0.247,,
1.054,82,583A,H14,,1/1/1997,INDIA,36.98793677,-7.966081287,,5.1,94.9,0,0.089,0.585,-0.053,1.054,0.247,,
