Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Chart datum [m] (Hydrographic datum (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
32,794A,Ar3.Duna,Dune,4/5/2000,ReqSistLagRFormosa,Hand-Collecting,37.0235,-7.7786,5,0,100,0,1.37,0.5,0.03,1,1.25,,
33,795A,Ar3.Face,Beach face,4/5/2000,ReqSistLagRFormosa,Hand-Collecting,37.0229,-7.7783,1,0.6,99.4,0,0.92,0.67,-0.07,1.02,1.25,,
34,796A,Ar3.Terraco,Low tide terrace,4/5/2000,ReqSistLagRFormosa,Hand-Collecting,37.0224,-7.7781,,4.1,95.9,0,0.33,0.66,0.23,0.89,-0.24,,
35,797A,Ar1.Aterro,Nourishment,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0234,-7.7785,6,0.3,99.7,0,1.15,0.64,0.08,1.03,0.75,,
36,798A,Ar1.Berma,Berm,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0234,-7.7785,5,0.2,99.8,0,1.22,0.64,-0.04,1.02,1.25,,
37,799A,Ar1.Face,Beach face,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0227,-7.7782,2,0,100,0,1.76,0.47,-0.03,0.89,1.75,,
38,800A,Ar1.Terraco,Low tide terrace,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0224,-7.7781,,0.8,99.2,0,2.05,0.52,-0.32,1.43,2.24,,
39,801A,Ar2.aterro,Nourishment,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0338,-7.7619,6,0,100,0,1.35,0.67,-0.05,0.85,1.75,0.75,
40,802A,Ar2.Berma,Berm,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0334,-7.7615,5,0.1,99.1,0,1.12,0.6,0.09,0.98,0.75,,
41,803A,Ar2.Face,Beach face,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0332,-7.7614,2,0,100,0,1.41,0.56,-0.14,1.02,1.75,,
