Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,"Latitude (Grain size, sieving)","Longitude (Grain size, sieving)","Depth water [m] (Grain size, sieving/pipette)","Gravel [%] (Grain size, sieving/pipette, ...)","Sdst [%] (Grain size, sieving/pipette, ...)","Mudstone [%] (Grain size, sieving/pipette, ...)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)"
38,42,42,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1342,-7.1905,-20,59,34.2,6.8,-0.7,2.75,2.2,8.31
39,43,43,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1092,-7.192,-26,49.8,43.7,6.5,-0.43,2.75,2.35,9.44
40,44,44,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0819,-7.1903,-36,1.3,12.4,86.3,7.16,3,-0.45,2.63
41,45,45,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0518,-7.1929,-47,0,1.6,98.4,8.14,2.25,-0.2,1.85
42,46,46,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0209,-7.1948,-60,0,0.5,99.5,8,2.26,-0.1,1.76
43,47,47,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9871,-7.1966,-81,0,0.6,99.4,8.38,2.06,-0.23,1.99
44,48,48,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9571,-7.198,-97,0,1.2,98.8,8.31,2.12,-0.23,1.96
45,49,49,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9217,-7.0836,-96,0,0.6,99.4,8.48,2.02,-0.27,2.05
46,50,50,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9568,-7.0707,-79,0,0.5,99.5,8.48,2.01,-0.26,2.03
47,51,51,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9893,-7.0619,-59,0,0.8,99.2,8.04,2.17,-0.08,1.87
48,52,52,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0263,-7.0502,-44,0,1,99,8.35,2.14,-0.29,2.02
49,53,53,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0597,-7.0408,-35,11.5,31.8,56.7,4.69,4.58,-0.07,1.54
50,54,54,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0915,-7.0274,-19,33.2,63.5,3.3,-0.28,2.15,2.46,13.33
51,55,55,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1127,-7.0208,-17,21.1,76.8,2.1,-0.01,1.73,2.82,18.01
52,56,56,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1355,-7.0157,-11,21.7,76.7,1.6,0.13,1.69,1.98,14.25
53,57,57,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1506,-7.0094,-9,7.5,91.7,0.8,0.57,1.17,0.56,11.03
54,58,58,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1029,-6.8478,-15,0.1,48.3,51.6,4.61,1.89,2.13,7.16
55,59,59,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0859,-6.8596,-19,2.1,95.4,2.5,1.78,1.28,1.7,22.72
56,60,60,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0658,-6.8683,-25,4,72.3,23.7,3.38,2.99,1.09,4.02
57,61,61,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0424,-6.881,-31,0,6,94,8.06,2.42,-0.47,2.32
58,62,62,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0109,-6.8993,-40,0,0.1,99.9,7.91,2.35,-0.28,2.2
59,63,63,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9792,-6.9148,-47,0,3.9,96.1,7.61,2.42,0.01,1.7
