Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,"Latitude (Grain size, sieving)","Longitude (Grain size, sieving)","Depth water [m] (Grain size, sieving/pipette)","Gravel [%] (Grain size, sieving/pipette, ...)","Sdst [%] (Grain size, sieving/pipette, ...)","Mudstone [%] (Grain size, sieving/pipette, ...)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)"
150,500,500,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0928,-7.412,-26,6.04,28.12,65.83,4.87,3.91,-0.1,1.96
151,501,501,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0981,-7.4121,-22,17.79,50.92,31.29,2.1,3.97,0.89,2.61
152,502,502,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1102,-7.4089,-16,18.25,69.59,12.16,0.61,2.86,2.05,7.18
153,503,503,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1152,-7.4078,-14,12.56,78.7,8.74,0.64,2.47,2.17,9.22
154,504,504,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1231,-7.405,-12,11.67,65.18,23.14,1.76,2.98,1.04,4.08
155,505,505,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1298,-7.4026,-11,1.71,68.95,29.34,2.71,2.4,1.02,4.74
156,506,506,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1395,-7.3996,-9,0.2,50.56,49.24,4.47,1.79,2.11,8.21
157,507,507,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1457,-7.3977,-6.5,0.28,65.93,33.79,4.11,1.58,2.55,12.21
158,508,508,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1431,-7.3851,-6.5,1.3,84.63,14.07,3.43,1.55,1.29,13.38
159,509,509,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1309,-7.3861,-10.5,0.85,84.4,14.75,2.32,1.97,2.07,8.98
160,510,510,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1235,-7.387,-12,9,86.07,4.93,0.74,1.89,2.2,12.67
161,511,511,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1122,-7.3861,-15,28.93,57.42,13.65,0.33,3.27,1.45,5.23
162,512,512,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1011,-7.386,-21,19.65,68.14,12.21,0.58,2.96,2.11,7.07
163,513,513,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0974,-7.3864,-22,30.66,52.39,16.95,0.7,3.46,1.62,4.8
164,514,514,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0911,-7.398,-28,10.32,35.16,54.52,4.04,3.98,0.12,2.01
165,515,515,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.083,-7.3974,-33,0.36,5.81,93.84,7.29,2.63,-0.23,2.62
166,516,516,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0753,-7.3921,-30,1.4,11.12,87.47,7.08,3.09,-0.64,3
167,517,517,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0626,-7.3919,-49,0,0,100,8.09,2.21,-0.11,1.76
168,518,518,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0503,-7.3967,-62,0,0,100,8.28,2.15,-0.21,1.86
169,519,519,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0271,-7.3915,-81,0,0,100,8.4,2.08,-0.24,1.93
170,520,520,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.997,-7.3842,-95,0,1.19,98.81,8.24,2.18,-0.26,2.06
171,521,521,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9898,-7.3835,-97.5,0,2.44,97.56,8.21,2.22,-0.31,2.12
172,522,522,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9796,-7.3833,-98.1,0.14,5.73,94.13,8.03,2.41,-0.49,2.64
173,523,523,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.979,-7.3833,-99.6,1.85,23.18,74.98,6.76,3.35,-0.52,2.63
174,524,524,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9734,-7.3845,-102,1.24,33.41,65.35,6.26,3.35,-0.1,1.87
175,525,525,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9578,-7.384,-110.9,7.78,46.21,46.01,4.6,3.89,0.03,2.31
176,526,526,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9506,-7.3839,-116,1.41,42.76,55.83,5.61,3.43,0.13,1.93
177,527,527,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9441,-7.3838,-121.9,1.08,45.92,53,5.54,3.33,0.28,1.92
178,528,528,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.936,-7.3517,-123,0.22,51.5,48.28,5.28,3.26,0.49,1.92
179,529,529,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9506,-7.3537,-112,2.23,32.03,65.74,6.24,3.46,-0.23,2.08
180,530,530,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9641,-7.3549,-100,0.94,39.55,59.51,5.85,3.34,0.11,1.84
181,531,531,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9747,-7.3572,-95,0.12,18.65,81.24,7.24,2.99,-0.43,2.2
182,532,532,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9891,-7.3574,-90,0,4.46,95.54,8.11,2.32,-0.4,2.37
183,533,533,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0027,-7.3594,-82,0,1.46,98.54,8.21,2.18,-0.26,2.09
184,534,534,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0222,-7.3608,-75,0,0.73,99.27,8.31,2.12,-0.23,1.97
185,535,535,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0466,-7.3622,-60,0.13,2.86,97.01,8.11,2.33,-0.45,2.65
186,536,536,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0649,-7.3637,-48,1.88,5.11,93.01,7.7,2.85,-0.99,4.12
187,537,537,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0827,-7.3648,-33,10.39,33.42,56.19,4.37,4.29,-0.01,1.8
188,538,538,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0999,-7.3666,-28,27.91,64.18,7.91,0.06,2.58,2.5,10.03
189,539,539,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1141,-7.3678,-23,22.06,61.46,16.48,0.87,3.24,1.69,5.25
190,540,540,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1278,-7.3683,-18,10.22,82.38,7.4,0.8,2.2,2,10.06
191,541,541,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1399,-7.3695,-12,1.58,95.83,2.59,1.71,1.19,1.18,20.97
192,542,542,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1347,-7.3139,-17,4.06,14.67,81.27,5.95,3.04,-0.43,3.69
193,543,543,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1428,-7.3161,-16,0.49,31.95,67.56,5.2,2.89,0.44,2.57
194,544,544,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1264,-7.3128,-18,16.06,72.81,11.13,0.81,2.77,1.85,6.84
195,545,545,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.118,-7.3104,-20,0,0,100,8.05,2.07,0.01,1.88
196,546,546,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1088,-7.308,-22,0,0,100,8.76,1.8,-0.25,2.13
197,548,548,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1019,-7.3073,-23,31.82,52.23,15.95,0.78,3.59,1.66,4.76
198,549,549,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0926,-7.3047,-25,20.65,71.94,7.41,0.38,2.57,2.41,9.66
199,550,550,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0922,-7.3048,-25,41.49,42.48,16.03,0.57,3.79,1.4,4.16
200,551,551,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0837,-7.3033,-31,5.45,66.88,27.68,3.15,3.5,0.97,3.04
201,552,552,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0735,-7.3009,-35,11.55,76.82,11.62,1.77,2.78,1.5,6.24
202,553,553,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0619,-7.2977,-38,7.95,64.43,27.61,3,3.68,0.86,2.87
203,554,554,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1431,-7.3851,-8.9,1.57,78.29,20.14,3.53,1.45,0.23,16.24
204,555,555,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1468,-7.3991,-6.7,0.01,83.76,16.23,3.6,1.14,3.58,22.56
205,556,556,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1437,-7.3862,-6.5,1.41,84.28,14.31,3.22,1.66,1.07,11.53
206,557,557,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1323,-7.3872,-10.7,0.16,21.52,78.31,6.97,3.3,-0.6,2.29
207,558,558,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1408,-7.3707,-8.2,1.04,97.87,1.1,1.69,0.86,-0.02,20.23
208,559,559,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1292,-7.3697,-10.9,2,97.55,0.45,1.45,0.9,-1.13,14.57
209,560,560,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1246,-7.3875,-12,9.95,87.41,2.64,0.5,1.65,2.45,16.06
210,561,561,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1121,-7.3873,-15.2,22.99,73.77,3.23,-0.1,1.75,1.87,12.04
211,562,562,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1028,-7.3874,-18.5,19.54,79.09,1.37,-0.29,1.41,2.29,18.81
212,563,563,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0988,-7.3876,-21.7,40.04,54.33,5.63,-0.45,2.17,2.92,13.67
213,564,564,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.077,-7.3892,-36,2.03,8.65,89.32,7.23,3.1,-0.84,3.56
214,565,565,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0638,-7.3876,-47.9,0.6,5.63,93.77,7.56,2.68,-0.56,3.15
215,566,566,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0505,-7.3889,-60.5,0,0,100,8.24,2.15,-0.19,1.84
216,567,567,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0278,-7.3859,-79.5,0,0.52,99.48,8.37,2.1,-0.25,1.94
217,568,568,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0479,-7.2977,-44.2,4.06,61.07,34.87,3.86,3.67,0.71,2.32
218,569,569,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0545,-7.2235,-44.6,0.27,1.07,98.66,8.26,2.23,-0.44,2.74
219,570,570,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0784,-7.2275,-35.7,2.66,9.92,87.43,7.2,3.32,-0.89,3.3
220,571,571,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1069,-7.2284,-24.5,24.88,26.89,48.23,3.51,4.82,0.17,1.6
221,572,572,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1335,-7.2292,-19.47,5.65,21.69,72.66,5.37,3.45,-0.2,2.64
222,573,573,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1556,-7.2313,-15.8,26.14,61.41,12.45,0.84,2.89,1.23,5.14
223,574,574,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1729,-7.2323,-12.2,44.55,53.74,1.71,-0.66,1.91,1.59,10.9
224,575,575,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1919,-7.0918,-6.6,18.96,77.3,3.74,0.74,2.22,1.59,9.08
225,576,576,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1646,-7.0952,-12.5,1.62,98.03,0.35,1.58,0.86,-0.76,7.11
226,577,577,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1439,-7.1016,-15.3,16.98,82.27,0.76,0.17,1.3,0.02,5.75
227,578,578,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1161,-7.1066,-18.8,35.61,60.51,3.88,1.19,4.13,1.46,4.31
228,579,579,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0879,-7.113,-25.9,17.23,41.82,40.95,3.11,4.47,0.47,1.83
229,580,580,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0465,-7.081,-40.5,0.12,2.08,97.8,8.12,2.31,-0.33,2.25
230,581,581,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.01,-7.0137,-45.3,29.67,66.61,3.72,0.26,2.3,1.6,8.19
231,582,582,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9988,-6.9855,-46,5.12,71.74,23.14,3.11,2.95,1.02,4.25
232,583,583,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9734,-6.9609,-50,27.89,27.75,44.36,3.08,4.73,0.34,1.61
233,584,584,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.004,-6.9437,-40.8,0,1.17,98.83,8.85,1.97,-0.77,3.34
234,585,585,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0309,-6.97,-35.2,2.45,30.62,66.93,6.02,3.61,-0.21,2.01
235,586,586,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0312,-6.9298,-37.7,0.1,1.55,98.35,8,2.32,-0.24,2.18
236,587,587,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0632,-6.9581,-27.5,0.37,2.31,97.32,7.97,2.39,-0.42,2.75
237,588,588,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0895,-6.9501,-20.3,0,2.52,97.48,7.84,2.37,-0.13,1.86
238,589,589,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1073,-6.9423,-15.6,0.21,3.86,95.93,7.76,2.43,-0.18,2.09
239,590,590,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.1295,-6.9356,-8.5,0.11,8.85,91.04,7.51,2.62,-0.2,2.03
240,591,591,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0757,-6.8297,-17.75,0.36,30.4,69.24,5.98,2.75,0.25,2.16
241,592,592,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0571,-6.8393,-20,5.24,94.48,0.28,1.43,1.1,-1.45,5.65
242,593,593,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0335,-6.8515,-25.34,5.37,31.34,63.29,5.59,3.78,-0.22,2.15
243,594,594,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0018,-6.8671,-34.82,0,22.26,77.74,6.93,2.94,-0.12,1.81
244,595,595,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9685,-6.8863,-42.21,0.07,6.25,93.68,7.51,2.49,-0.02,1.79
245,596,596,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9335,-6.904,-51.71,0,2.29,97.71,7.86,2.31,-0.07,1.79
246,597,597,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9005,-6.9226,-66.37,0,0.73,99.27,8.5,2.08,-0.32,2.05
247,598,598,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8659,-6.9428,-86.57,0,0.67,99.33,8.56,1.98,-0.34,2.23
248,599,599,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8359,-6.9577,-99.95,0,0.93,99.07,8.55,1.99,-0.32,2.16
249,600,600,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8139,-6.9729,-108,1.23,10.59,88.18,7.68,2.9,-0.99,4.24
250,601,601,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7736,-6.9507,-115.5,0,17.11,82.89,7.33,2.73,-0.16,1.82
251,602,602,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8087,-6.9301,-100,0.1,0.81,99.09,8.62,1.96,-0.45,2.8
252,603,603,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8398,-6.909,-85,0,0.74,99.26,8.64,1.94,-0.34,2.21
253,604,604,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8774,-6.8836,-61,0,0.47,99.53,8.46,2.01,-0.24,2
254,605,605,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.91,-6.8666,-42,0.04,1.9,98.06,7.98,2.28,-0.19,2.04
255,606,606,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9405,-6.846,-41,0.38,5.97,93.65,7.72,2.53,-0.32,2.41
256,607,607,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9729,-6.8274,-33,0.54,21.86,77.6,6.14,2.68,0.51,2.38
257,608,608,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0044,-6.8064,-26,4.26,30.44,65.29,5.89,3.4,-0.22,2.64
258,609,609,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0318,-6.7921,-21,9.27,42.55,48.19,4.66,3.49,-0.03,2.85
259,610,610,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0502,-6.7779,-17,3.57,59.31,37.12,4.65,2.97,0.55,3.3
260,611,611,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0694,-6.7656,-13,5.86,55.1,39.04,4.19,3.21,0.23,3.47
261,612,612,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0401,-6.7088,-12,0.67,98.3,1.03,2.62,0.97,-0.25,11.78
262,613,613,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0168,-6.7256,-17,4.67,86.88,8.45,2.61,2.29,1.28,7.47
263,614,614,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9936,-6.7439,-21,5.9,64.1,30,3.94,2.79,0.52,4.25
264,615,615,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9711,-6.7614,-24,2.95,53.55,43.5,5.11,3.06,0.39,3.01
265,616,616,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9359,-6.7873,-32,1.47,29.52,69.01,5.91,2.85,0.29,2.75
266,617,617,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9025,-6.8059,-39,0,6.66,93.34,7.69,2.47,-0.14,1.79
267,618,618,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8735,-6.8292,-48,0,1.37,98.63,8.09,2.21,-0.16,1.88
268,619,619,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.84,-6.8533,-65,0,0.43,99.57,8.52,1.96,-0.27,2.12
269,620,620,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8112,-6.8747,-83,0,0.32,99.68,8.59,1.9,-0.25,2.14
270,621,621,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7784,-6.8993,-99,0,0.64,99.36,8.51,1.97,-0.26,2.11
271,622,622,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7391,-6.8603,-67,0,0.62,99.38,8.48,1.98,-0.22,2.04
272,623,623,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7701,-6.8329,-68,0,0.31,99.69,8.7,1.9,-0.34,2.19
273,624,624,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8037,-6.8089,-61,0,0.94,99.06,8.33,2.1,-0.28,2.18
274,625,625,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8331,-6.7856,-46,0,6.03,93.97,7.42,2.43,0.08,1.78
275,626,626,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8627,-6.7627,-34,0.24,43.19,56.57,5.63,2.66,0.86,2.45
276,627,627,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8931,-6.7387,-26,0.84,68.88,30.28,4.57,2.39,1.35,4.87
277,628,628,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9274,-6.7115,-21,3.34,94.03,2.63,2.45,1.45,-0.35,8.12
278,629,629,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9522,-6.6917,-19,5.12,92.33,2.56,2.07,1.56,-0.49,8.11
279,630,630,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9816,-6.6674,-17,7.64,80.2,12.15,2.74,2.66,0.92,5.37
280,631,631,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,37.0109,-6.6463,-14,52.17,42.84,4.99,-0.84,2.82,2.19,9.42
281,632,632,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9855,-6.5904,-12,0.63,87.86,11.51,3.7,1.73,2.35,11.75
282,633,633,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9557,-6.6139,-15,3.8,87.75,8.45,3.38,1.94,0.87,9.6
283,634,634,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9206,-6.6411,-17,13.62,84.98,1.4,1.79,2.16,-1.08,3.98
284,635,635,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8923,-6.6649,-19,1.02,95.74,3.24,3.16,1.08,-0.74,17.81
285,636,636,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8564,-6.6907,-23,0.43,89.18,10.39,3.63,1.41,2.8,17.03
286,637,637,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8224,-6.7197,-28,0,82.53,17.47,3.81,1.1,4.49,26.62
287,638,638,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7935,-6.7392,-41,0,5.69,94.31,7.44,2.41,0.06,1.88
288,639,639,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7657,-6.7647,-56,0,1.01,98.99,8.31,2.08,-0.28,2.29
289,640,640,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7332,-6.787,-77,0,0.63,99.37,8.75,1.84,-0.36,2.36
290,641,641,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6998,-6.8131,-99,0,0.27,99.73,8.71,1.86,-0.3,2.2
291,642,642,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6733,-6.8348,-113,0,21.53,78.47,7.13,2.76,-0.07,1.74
292,643,643,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6599,-6.7836,-100,0,0.32,99.68,8.92,1.72,-0.37,2.51
293,644,644,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6752,-6.7675,-90,0,0.52,99.48,8.54,1.94,-0.25,2.11
294,645,645,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7005,-6.7453,-72,0,0.41,99.59,8.46,1.98,-0.22,2.05
295,646,646,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7241,-6.7207,-53,0,0.47,99.53,8.3,2.03,-0.16,2
296,647,647,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7483,-6.6969,-38,0,0.28,99.72,8.49,1.94,-0.2,2.06
297,648,648,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7794,-6.6695,-27,0,0.96,99.04,8.51,2.02,-0.39,2.28
298,649,649,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.811,-6.641,-21,0,2.04,97.96,8.04,2.23,-0.23,1.99
299,650,650,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8395,-6.6137,-18,0.05,23.35,76.6,5.55,2.17,0.86,2.36
300,651,651,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8709,-6.5844,-16,0,45.17,54.83,5.17,2.42,1.4,3.54
301,652,652,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9053,-6.5519,-14,0,89.69,10.31,3.55,1.15,4.07,24.14
302,653,653,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.9281,-6.5279,-11,0.06,88.97,10.97,3.48,0.94,3.72,29.52
303,654,654,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8558,-6.4993,-10,0,4.76,95.24,8.43,2.27,-0.64,2.45
304,655,655,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.846,-6.5086,-14,0.05,51.04,48.91,4.61,1.9,2.05,6.8
305,656,656,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.8174,-6.5422,-16,1.02,12.63,86.34,6.28,2.6,0.22,3.06
306,657,657,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7843,-6.5758,-18,0.11,0.44,99.45,7.86,2.05,0.06,2.35
307,658,658,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.759,-6.6036,-21,0,2.27,97.73,7.67,2.3,0.02,1.8
308,659,659,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7326,-6.6378,-28,0,0.18,99.82,8.8,1.75,-0.3,2.38
309,660,660,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.705,-6.6666,-41,0,0.05,99.95,8.96,1.66,-0.33,2.47
310,661,661,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6817,-6.6967,-58,0,0.24,99.76,8.73,1.74,-0.16,2.2
311,662,662,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6624,-6.7148,-72,0,0,100,9.06,1.61,-0.33,2.44
312,663,663,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6498,-6.7313,-82,0,0.2,99.8,8.91,1.76,-0.41,2.46
313,664,664,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.5947,-6.7275,-97,0,0.22,99.78,8.89,1.74,-0.34,2.34
314,665,665,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6129,-6.7034,-83,0,0.18,99.82,9.08,1.67,-0.48,2.65
315,666,666,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6291,-6.6801,-71,0,0.16,99.84,8.94,1.66,-0.27,2.38
316,667,667,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6424,-6.6612,-61,0,0.17,99.83,8.82,1.7,-0.27,2.45
317,668,668,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6602,-6.6386,-48,0,0,100,9.33,1.45,-0.44,3.01
318,669,669,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6769,-6.6143,-37,0,0,100,8.88,1.64,-0.18,2.28
319,670,670,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.6977,-6.5863,-27,0,0,100,8.52,1.81,-0.08,2.08
320,671,671,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7155,-6.5605,-21,0,0.13,99.87,8.65,1.84,-0.26,2.19
321,672,672,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7337,-6.5393,-18,0,0.41,99.59,8.36,1.94,-0.11,2.06
322,673,673,2/6/2001,SIRIA,SMT-Dredge SmitMacIntyre,36.7498,-6.514,-15,0,0.16,99.84,8.72,1.82,-0.34,2.4
