Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, settling tube)","Grain size mean [phi] (Grain size, sieving/settling ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/settling ...)","Kurt (Grain size, sieving/settling ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
35,1165A,O.A-P14-A7,4/19/2011,EROS,Hand-Collecting,37.0898,-8.192,5.4,0.3,99.7,0,1.205,0.745,-0.152,1.021,1.247,,
36,1166A,O.A-P7-A1,5/20/2011,EROS,Hand-Collecting,37.0886,-8.194,2.11,31.7,68.3,0,-0.77,0.756,0.109,1.659,-0.743,,
37,1167A,O.A-P7-A2,5/20/2011,EROS,Hand-Collecting,37.0886,-8.194,2.78,1.4,98.6,0,0.251,0.605,0.024,1.059,0.247,,
38,1168A,O.A-P7-A3,5/20/2011,EROS,Hand-Collecting,37.0887,-8.194,3.85,0.2,99.8,0,1.1,0.446,-0.166,1.152,1.247,,
39,1169A,O.A-P14-A1,5/20/2011,EROS,Hand-Collecting,37.0891,-8.192,0.87,1.6,98.4,0,2.023,0.908,-0.378,1.169,2.737,,
40,1170A,O.A-P14-A2,5/20/2011,EROS,Hand-Collecting,37.0894,-8.192,1.73,1.2,98.8,0,2.082,0.602,-0.277,1.616,2.237,,
41,1171A,O.A-P14-A3,5/20/2011,EROS,Hand-Collecting,37.0895,-8.192,2.27,6.8,93.2,0,0.944,1.367,-0.096,0.654,2.237,-0.243,
42,1172A,O.A-P14-A4,5/20/2011,EROS,Hand-Collecting,37.0896,-8.192,3.62,0.1,99.9,0,1.054,0.672,0.163,1.014,0.747,,
43,1173A,O.A-P14-A5,5/20/2011,EROS,Hand-Collecting,37.0897,-8.192,4.79,4.2,95.8,0,0.289,0.761,0.098,0.972,-0.243,,
44,1174A,O.A-P7-A1,6/17/2011,EROS,Hand-Collecting,37.0886,-8.194,2.25,23.3,76.7,0,-0.774,0.483,-0.143,1.495,-0.743,,
45,1175A,O.A-P7-A2,6/17/2011,EROS,Hand-Collecting,37.0886,-8.194,2.85,0.9,99.1,0,0.505,0.813,0.044,0.869,-0.243,0.747,
46,1176A,O.A-P7-A3,6/17/2011,EROS,Hand-Collecting,37.0887,-8.194,4.06,0,100,0,1.369,0.506,-0.088,1.06,1.247,,
47,1177A,O.A-P14-A1,6/17/2011,EROS,Hand-Collecting,37.0891,-8.192,0.94,0.1,99.9,0,2.463,0.694,-0.425,1.519,2.737,,
48,1178A,O.A-P14-A2,6/17/2011,EROS,Hand-Collecting,37.0893,-8.192,1.65,0.4,99.6,0,2.216,0.703,-0.276,1.142,2.737,,
49,1179A,O.A-P14-A3,6/17/2011,EROS,Hand-Collecting,37.0895,-8.192,2.1,2.9,97.1,0,2.215,0.786,-0.411,1.307,2.737,,
50,1180A,O.A-P14-A4,6/17/2011,EROS,Hand-Collecting,37.0895,-8.192,3.02,7.4,92.6,0,1.277,1.316,-0.503,0.936,2.237,-0.243,
51,1181A,O.A-P14-A5,6/17/2011,EROS,Hand-Collecting,37.0897,-8.192,4.3,0.6,99.4,0,1.691,0.759,-0.222,1.166,1.747,,
52,1182A,O.A-P12-A1,9/13/2011,EROS,Hand-Collecting,37.0891,-8.192,1,0.2,99.8,0,2.551,0.558,-0.401,1.734,2.737,,
53,1183A,O.A-P12-A2,9/13/2011,EROS,Hand-Collecting,37.0892,-8.192,1.49,0.8,99.2,0,2.439,0.703,-0.495,1.695,2.737,,
54,1184A,O.A-P12-A3,9/13/2011,EROS,Hand-Collecting,37.0894,-8.192,2.06,0,100,0,2.454,0.561,-0.342,1.201,2.737,,
55,1185A,O.A-P12-A4,9/13/2011,EROS,Hand-Collecting,37.0895,-8.192,3.35,0,100,0,1.907,0.555,-0.065,0.965,2.237,,
