Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
57,2449,FN_P5_E,Landslide,1/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0603,-8.0859,6.26,1.4,92.5,6.1,0.996,1.241,0.32,1.702,0.747,,
58,2448,FN_P7_FP,Beach face,1/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0602,-8.0873,1.49,0,100,0,1.028,0.454,-0.053,1.026,1.247,,
59,2447,FN_P7_BA,Berm,1/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0602,-8.0872,2.44,0.9,99.1,0,0.735,0.597,-0.098,1.138,0.747,,
60,2446,FN_P7_E,Landslide,1/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0608,-8.0868,5.95,5.3,89.8,5,0.463,1.244,0.296,1.614,0.247,,
61,2472,FN_P3_FP,Beach face,5/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0593,-8.0853,1.89,0,100,0,1.557,0.453,-0.07,1.02,1.747,,
62,2471,FN_P3_BA,Berm,5/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0593,-8.0853,2.44,0,100,0,1.665,0.57,-0.071,0.963,1.747,,
63,2470,FN_P3_BNA,Berm,5/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0594,-8.0852,3.88,0,100,0,0.958,0.57,-0.017,0.988,0.747,,
64,2469,FN_P3_Dep,Deposit,5/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.085,4.87,0.9,87.9,11.2,1.439,1.477,0.284,1.925,1.247,,
65,2468,FN_P5_FP,Beach face,5/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0597,-8.0863,1.42,0,100,0,1.217,0.452,0.003,1.011,1.247,,
66,2467,FN_P5_BA,Berm,5/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.0863,2.76,0.1,99.9,0,1.326,0.655,-0.044,0.919,1.247,,
67,2466,FN_P5_BNA,Berm,5/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0599,-8.0862,4.63,2.7,97.3,0,0.289,0.716,0.004,0.937,0.247,,
68,2465,FN_P5_E,Landslide,5/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0603,-8.0859,6.3,2.9,85.8,11.3,1.653,1.584,0.299,2.02,1.247,,
69,2464,FN_P7_FP,Beach face,5/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0602,-8.0873,1.49,0,100,0,1.512,0.407,-0.024,0.945,1.747,,
70,2463,FN_P7_BA,Berm,5/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0602,-8.0872,2.44,0,100,0,1.464,0.654,-0.119,0.982,1.747,,
71,2462,FN_P7_BNA,Berm,5/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0604,-8.0871,4.45,1.2,98.8,0,0.824,0.624,-0.093,1.141,0.747,,
72,2461,FN_P7_E,Landslide,5/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0608,-8.0868,5.95,0.7,89,10.3,1.13,1.575,0.305,1.749,1.247,,
