Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Chart datum [m] (Hydrographic datum (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)",Obs
27,906A,P4/T2,3/12/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0113,-7.7993,1,0.1,99.8,0.1,1.693,0.584,-0.162,0.972,1.747,,,Approximate coordinates by geo-referencing
28,907A,P4/T3,3/17/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0106,-7.7982,1.2,0.1,99.9,0,2.015,0.39,-0.305,0.948,2.237,,,Approximate coordinates by geo-referencing
29,908A,P4/T4,3/17/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0098,-7.7971,0.6,0.9,99.1,0,1.557,0.704,-0.261,1.088,1.747,,,Approximate coordinates by geo-referencing
30,909A,P4/T5,3/17/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0091,-7.796,-2.9,1.3,98.7,0,1.382,0.639,-0.28,1.347,1.747,,,Approximate coordinates by geo-referencing
31,910A,P4/T6,3/17/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.7949,-1.7,4.2,95.8,0,1.04,0.871,-0.342,1.158,1.247,,,Approximate coordinates by geo-referencing
32,911A,P0/T1,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0102,-7.8027,,5.8,94.2,0,0.375,0.697,-0.283,1.308,0.747,,,Approximate coordinates by geo-referencing
33,912A,P0/T2,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0095,-7.8016,,12.3,87.7,0,-0.388,0.585,0.059,1.07,-0.243,,,Approximate coordinates by geo-referencing
34,913A,P0/T3,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0088,-7.8005,,9.8,90.2,0,0.678,1.391,-0.358,1.712,1.247,-4.243,,Approximate coordinates by geo-referencing
35,914A,P0/T4,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0081,-7.7994,,2.5,97.5,0,0.496,0.759,-0.053,1.044,0.747,,,Approximate coordinates by geo-referencing
36,915A,P0/T5,11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0073,-7.7982,,0.3,99.7,0,2.093,0.431,-0.164,1.153,2.237,,,Approximate coordinates by geo-referencing
37,916A,P0/T6,11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0066,-7.7971,,3.4,96.6,0,0.41,0.781,-0.016,1.059,0.747,,,Approximate coordinates by geo-referencing
38,917A,P2/T1,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0093,-7.8038,,2.8,97.2,0,1.415,0.866,-0.394,1.351,1.747,,,Approximate coordinates by geo-referencing
39,918A,P2/T2,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0086,-7.8027,,6.3,93.7,0,0.568,0.929,-0.181,1.042,0.747,,,Approximate coordinates by geo-referencing
40,919A,P2/T3,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0079,-7.8016,,3.5,96.5,0,0.553,0.647,-0.189,1.18,0.747,,,Approximate coordinates by geo-referencing
41,920A,P2/T4,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0072,-7.8005,,6.5,93.5,0,0.358,0.867,-0.072,0.969,0.747,,,Approximate coordinates by geo-referencing
42,921A,P2/T5,11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0064,-7.7994,,9.9,90.1,0,0.882,1.381,-0.379,0.94,1.747,-0.243,-4.243,Approximate coordinates by geo-referencing
43,922A,P2/T6,11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0057,-7.7982,,2,98,0,1.556,0.762,-0.238,1.071,1.747,,,Approximate coordinates by geo-referencing
44,923A,P1/T1,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.805,,12.8,87.2,0,0.576,1.286,-0.359,1.097,1.247,,,Approximate coordinates by geo-referencing
45,924A,P1/T2,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0077,-7.8039,,0.1,99.9,0,1.02,0.522,-0.055,1.036,1.247,,,Approximate coordinates by geo-referencing
46,925A,P1/T3,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.007,-7.8027,,3.7,96.3,0,0.624,0.843,-0.115,0.992,0.747,,,Approximate coordinates by geo-referencing
47,926A,P1/T4,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0063,-7.8016,,2.9,97.1,0,0.653,0.873,-0.061,0.925,0.747,,,Approximate coordinates by geo-referencing
48,927A,P1/T5,11/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0055,-7.8005,,0.1,99.9,0,1.324,0.685,-0.061,0.891,1.747,,,Approximate coordinates by geo-referencing
49,928A,P1/T6,11/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0048,-7.7994,,0.7,99.3,0,1.32,0.713,0.028,1.044,1.247,,,Approximate coordinates by geo-referencing
50,929A,P3/T1,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0111,-7.8016,,10.8,89.2,0,0.563,1.201,-0.329,1.096,1.247,,,Approximate coordinates by geo-referencing
51,930A,P3/T2,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0104,-7.8005,,7,93,0,0.747,1.014,-0.367,0.961,1.247,,,Approximate coordinates by geo-referencing
52,931A,P3/T3,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0097,-7.7994,,1.7,98.3,0,0.039,0.5,-0.049,1.02,0.247,,,Approximate coordinates by geo-referencing
53,932A,P3/T4,11/4/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0089,-7.7982,,54.9,44.8,0.3,-2.042,2.263,-0.186,0.572,-4.243,-0.243,,Approximate coordinates by geo-referencing
54,933A,P3/T5(A),11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0082,-7.7971,,5.4,23.4,71.2,4.343,2.954,-0.165,0.969,4.477,1.247,-3.243,Approximate coordinates by geo-referencing
55,934A,P3/T5(B),11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0082,-7.7971,,30.3,69.7,0,-0.29,1.771,-0.361,0.981,0.747,-3.743,,Approximate coordinates by geo-referencing
56,935A,P3/T6,11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0075,-7.796,,11.7,88.3,0,0.059,1.029,-0.136,1.46,0.247,1.747,,Approximate coordinates by geo-referencing
57,936A,P4/T1,11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.012,-7.8005,,0.4,99.6,0,1.371,0.665,-0.143,1.107,1.247,,,Approximate coordinates by geo-referencing
58,937A,P4/T2,11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0113,-7.7993,,0.1,99.9,0,1.895,0.409,-0.07,0.983,1.747,,,Approximate coordinates by geo-referencing
59,938A,P4/T3,11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0106,-7.7982,,0.5,99.5,0,1.692,0.566,-0.203,1.121,1.747,,,Approximate coordinates by geo-referencing
60,939A,P4/T4,11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0098,-7.7971,,4.5,95.5,0,1.664,0.784,-0.381,1.756,1.747,,,Approximate coordinates by geo-referencing
61,940A,P4/T5,11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0091,-7.796,,0.6,99.4,0,1.296,0.617,-0.154,1.117,1.247,,,Approximate coordinates by geo-referencing
62,941A,P4/T6,11/2/2004,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.7949,,11.9,88.1,0,0.81,1.639,-0.597,2.07,1.247,-5.235,,Approximate coordinates by geo-referencing
63,942A,P0/T1,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0102,-7.8027,,3.1,96.9,0,0.296,0.631,-0.075,1.069,0.247,,,Approximate coordinates by geo-referencing
64,943A,P0/T2,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0095,-7.8016,,12.8,87.2,0,-0.362,0.644,0.163,1.087,-0.743,,,Approximate coordinates by geo-referencing
65,944A,P0/T3,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0088,-7.8005,,7.9,92.1,0,0.759,1.136,-0.261,1.032,1.247,,,Approximate coordinates by geo-referencing
66,945A,P0/T4,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0081,-7.7994,,3.3,96.7,0,0.385,0.707,-0.105,1.011,0.747,,,Approximate coordinates by geo-referencing
67,946A,P0/T5,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0073,-7.7982,,2.8,97.2,0,0.975,0.977,-0.077,0.891,1.247,,,Approximate coordinates by geo-referencing
68,947A,P0/T6,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0066,-7.7971,,1.5,98.5,0,0.335,0.637,0.001,1.083,0.247,,,Approximate coordinates by geo-referencing
69,948A,P2/T1,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0093,-7.8038,,1.1,98.9,0,0.748,0.738,-0.007,0.967,0.747,,,Approximate coordinates by geo-referencing
70,949A,P2/T2,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0086,-7.8027,,8.9,91.1,0,0.508,1.13,-0.231,1.242,0.747,,,Approximate coordinates by geo-referencing
71,950A,P2/T3,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0079,-7.8016,,3,97,0,0.441,0.776,-0.015,1.055,0.747,,,Approximate coordinates by geo-referencing
72,951A,P2/T4,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0072,-7.8005,,2.2,97.8,0,0.853,0.785,-0.085,,0.747,,,Approximate coordinates by geo-referencing
73,952A,P2/T5,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0064,-7.7994,,0.5,99.5,0,1.94,0.384,-0.087,0.948,1.747,,,Approximate coordinates by geo-referencing
74,953A,P2/T6,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0057,-7.7982,,5.1,94.9,0,1.004,1.026,-0.287,0.968,1.247,,,Approximate coordinates by geo-referencing
75,954A,P1/T1,2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.805,,5.1,94.9,0,0.465,0.848,-0.03,1.095,0.247,,,Approximate coordinates by geo-referencing
76,955A,P1/T2,2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0077,-7.8039,,0.4,99.6,0,1.614,0.614,-0.214,1.158,1.747,,,Approximate coordinates by geo-referencing
77,956A,P1/T3,2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.007,-7.8027,,4.6,95.4,0,0.445,0.906,0.082,0.92,0.247,,,Approximate coordinates by geo-referencing
78,957A,P1/T4,2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0063,-7.8016,,8.3,91.7,0,0.717,1.212,-0.325,2.004,0.747,,,Approximate coordinates by geo-referencing
79,958A,P1/T5,2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0055,-7.8005,,0.4,99.6,0,1.072,0.656,0.205,1.048,0.747,,,Approximate coordinates by geo-referencing
80,959A,P1/T6,2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0048,-7.7994,,0.1,99.9,0,1.942,0.423,-0.2,0.95,2.237,,,Approximate coordinates by geo-referencing
81,960A,P3/T1,2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0111,-7.8016,,13.8,86.2,0,0.379,1.301,-0.358,1.246,1.247,,,Approximate coordinates by geo-referencing
82,961A,P3/T2,2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0104,-7.8005,,2.9,97.1,0,0.608,0.815,-0.11,0.928,1.247,0.247,,Approximate coordinates by geo-referencing
83,962A,P3/T3,2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0097,-7.7994,,1.3,98.7,0,0.726,0.556,-0.147,1.033,0.747,,,Approximate coordinates by geo-referencing
84,963A,P3/T4(A),2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0089,-7.7982,,0.4,26.5,73.1,4.363,2.597,-0.069,0.903,4.477,1.247,,Approximate coordinates by geo-referencing
85,964A,P3/T4(B),2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0089,-7.7982,,38.7,60.8,0.5,-1.189,2.181,-0.488,0.712,0.747,-4.731,-3.243,Approximate coordinates by geo-referencing
86,965A,P3/T5,2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0082,-7.7971,,0.4,99.6,0,0.918,0.518,0.071,1.083,0.747,,,Approximate coordinates by geo-referencing
87,966A,P3/T6,2/1/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0075,-7.796,,9.5,90.5,0,-0.013,0.791,-0.04,1.134,0.247,,,Approximate coordinates by geo-referencing
88,967A,P4/T1,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.012,-7.8005,,3.2,96.8,0,0.986,0.918,-0.214,1.011,1.247,,,Approximate coordinates by geo-referencing
89,968A,P4/T2,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0113,-7.7993,,0.2,99.8,0,1.883,0.426,-0.12,0.97,1.747,,,Approximate coordinates by geo-referencing
90,969A,P4/T3,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0106,-7.7982,,0.5,99.3,0.2,1.541,0.612,-0.114,1.088,1.747,,,Approximate coordinates by geo-referencing
91,970A,P4/T4,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0098,-7.7971,,2.7,97,0.3,1.899,0.706,-0.358,1.622,2.237,,,Approximate coordinates by geo-referencing
92,971A,P4/T5,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0091,-7.796,,1.2,98.8,0,1.246,0.605,-0.13,1.076,1.247,,,Approximate coordinates by geo-referencing
93,972A,P4/T6,2/2/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.7949,,2.4,97.6,0,0.65,0.773,-0.15,0.938,1.247,,,Approximate coordinates by geo-referencing
94,973A,P0/T1,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0102,-7.8027,,1.7,98.3,0,0.029,0.494,-0.031,1.043,0.247,,,Approximate coordinates by geo-referencing
95,974A,P0/T2,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0095,-7.8016,,15.9,84.1,0,0.182,1.359,-0.233,1.415,0.247,-3.243,,Approximate coordinates by geo-referencing
96,975A,P0/T3,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0088,-7.8005,,0.5,99.5,0,1.277,0.666,-0.223,1.119,1.747,,,Approximate coordinates by geo-referencing
97,976A,P0/T4,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0081,-7.7994,,0.5,99.5,0,0.821,0.637,-0.011,1.08,0.747,,,Approximate coordinates by geo-referencing
98,977A,P0/T5,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0073,-7.7982,,36.3,63.7,0,-0.659,2.534,-0.621,0.512,1.247,-4.243,,Approximate coordinates by geo-referencing
99,978A,P2/T1,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0093,-7.8038,,0.9,99.1,0,1.638,0.625,-0.203,1.106,1.747,,,Approximate coordinates by geo-referencing
100,979A,P2/T2,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0086,-7.8027,,0,100,0,1.629,0.58,-0.143,0.953,1.747,,,Approximate coordinates by geo-referencing
101,980A,P2/T3,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0079,-7.8016,,1.5,98.5,0,0.445,0.724,0.053,1.106,0.247,,,Approximate coordinates by geo-referencing
102,981A,P2/T4,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0072,-7.8005,,2.4,97.6,0,0.581,0.778,-0.07,1.037,0.747,,,Approximate coordinates by geo-referencing
103,982A,P2/T5,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0064,-7.7994,,8.9,91.1,0,0.627,1.34,-0.279,1.801,0.747,-3.743,,Approximate coordinates by geo-referencing
104,983A,P1/T1,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.805,,5.4,94.6,0,0.534,0.866,-0.143,1.051,0.747,,,Approximate coordinates by geo-referencing
105,984A,P3/T2,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0104,-7.8005,,1.8,98.2,0,0.66,0.793,-0.056,0.926,0.747,,,Approximate coordinates by geo-referencing
106,985A,P3/T3,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0097,-7.7994,,9.2,90.8,0,-0.099,0.667,-0.199,1.126,0.247,,,Approximate coordinates by geo-referencing
107,986A,P3/T4,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0089,-7.7982,,29.1,70.9,0,-0.99,1.964,-0.483,1.448,-0.243,-4.731,,Approximate coordinates by geo-referencing
108,987A,P3/T6,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0075,-7.796,,8.2,91.8,0,-0.214,0.635,0.014,1.065,-0.243,,,Approximate coordinates by geo-referencing
109,988A,P4/T1,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.012,-7.8005,,3.1,96.9,0,1.149,0.976,-0.3,0.979,1.747,,,Approximate coordinates by geo-referencing
110,989A,P4/T2,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0113,-7.7993,,0.3,99.7,0,1.679,0.518,-0.139,1.101,1.747,,,Approximate coordinates by geo-referencing
111,990A,P4/T3,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0106,-7.7982,,1.3,98.7,0,1.616,0.633,-0.183,1.162,1.747,,,Approximate coordinates by geo-referencing
112,991A,P4/T4,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0098,-7.7971,,0.4,99.6,0,2.164,0.371,-0.118,1.392,2.237,,,Approximate coordinates by geo-referencing
113,992A,P4/T5,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0091,-7.796,,6.3,93.7,0,0.511,0.913,-0.122,1.024,0.747,,,Approximate coordinates by geo-referencing
114,993A,P4/T6,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.7949,,6.4,93.6,0,0.489,0.923,-0.108,0.962,1.247,,,Approximate coordinates by geo-referencing
115,994A,P0/T1,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0102,-7.8027,,8,92,0,-0.1,0.667,-0.151,1.275,-0.243,,,Approximate coordinates by geo-referencing
116,995A,P0/T2,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0095,-7.8016,,2.7,97.3,0,0.53,0.506,-0.142,1.136,0.747,,,Approximate coordinates by geo-referencing
117,996A,P0/T3,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0088,-7.8005,,0.2,99.8,0,1.491,0.51,-0.077,1.037,1.747,,,Approximate coordinates by geo-referencing
118,997A,P0/T4,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0081,-7.7994,,0.6,99.4,0,0.684,0.661,0.044,1.043,0.747,,,Approximate coordinates by geo-referencing
119,998A,P0/T5,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0073,-7.7982,,0.2,99.8,0,0.98,0.587,-0.068,0.958,1.247,,,Approximate coordinates by geo-referencing
120,999A,P0/T6,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0066,-7.7971,,1.5,98.5,0,1.098,0.766,-0.057,1.019,1.247,,,Approximate coordinates by geo-referencing
121,1000A,P2/T1,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0093,-7.8038,,0.7,99.3,0,1.667,0.641,-0.268,1.224,1.747,,,Approximate coordinates by geo-referencing
122,1001A,P2/T2,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0086,-7.8027,,11.9,88.1,0,0.404,1.343,-0.408,2.047,0.747,-4.243,,Approximate coordinates by geo-referencing
123,1002A,P2/T3,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0079,-7.8016,,5.1,94.9,0,0.431,0.807,-0.116,1.009,0.747,,,Approximate coordinates by geo-referencing
124,1003A,P2/T4,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0072,-7.8005,,1.5,98.5,0,0.707,0.689,-0.049,1.008,0.747,,,Approximate coordinates by geo-referencing
125,1004A,P2/T5,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0064,-7.7994,,1.1,98.9,0,0.955,0.85,-0.109,0.902,1.247,,,Approximate coordinates by geo-referencing
126,1005A,P2/T6,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0057,-7.7982,,1,99,0,1.788,0.613,-0.285,1.347,1.747,,,Approximate coordinates by geo-referencing
127,1006A,P1/T1,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.805,,2.8,97.2,0,0.618,0.803,-0.075,0.981,0.747,,,Approximate coordinates by geo-referencing
128,1007A,P1/T2,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0077,-7.8039,,0,100,0,1.69,0.525,-0.122,0.971,1.747,,,Approximate coordinates by geo-referencing
129,1008A,P1/T3,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.007,-7.8027,,3,97,0,1.105,0.938,-0.235,0.964,1.747,,,Approximate coordinates by geo-referencing
130,1009A,P1/T4,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0063,-7.8016,,6.4,93.6,0,0.985,1.06,-0.199,1.483,0.747,,,Approximate coordinates by geo-referencing
131,1010A,P1/T5,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0055,-7.8005,,1.5,98.5,0,1.136,0.839,0.182,1.035,0.747,2.237,,Approximate coordinates by geo-referencing
132,1011A,P1/T6,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0048,-7.7994,,9.5,90.5,0,0.599,1.23,-0.102,1.286,0.747,2.237,,Approximate coordinates by geo-referencing
133,1012A,P3/T1,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0111,-7.8016,,6.7,93.3,0,0.326,0.823,-0.096,1.084,0.247,,,Approximate coordinates by geo-referencing
134,1013A,P3/T2,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0104,-7.8005,,4.3,95.7,0,0.871,0.732,-0.317,1.386,1.247,,,Approximate coordinates by geo-referencing
135,1014A,P3/T3,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0097,-7.7994,,30.2,69.8,0,,2.18,-0.669,0.784,0.747,-4.731,-3.743,Approximate coordinates by geo-referencing
136,1015A,P3/T4,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0089,-7.7982,,28.3,68.9,2.8,-0.806,2.001,-0.465,1.343,0.747,-4.731,,Approximate coordinates by geo-referencing
137,1016A,P3/T5,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0082,-7.7971,,1.5,98.5,0,1.029,0.733,-0.135,1.164,1.247,,,Approximate coordinates by geo-referencing
138,1017A,P3/T6,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0075,-7.796,,13.4,86.6,0,-0.2,0.789,0.018,1.124,-0.243,,,Approximate coordinates by geo-referencing
139,1018A,P4/T1,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.012,-7.8005,,1,99,0,1.347,0.733,-0.251,1.177,1.747,,,Approximate coordinates by geo-referencing
140,1019A,P4/T2,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0113,-7.7993,,0.3,99.7,0,1.638,0.531,-0.123,1.051,1.747,,,Approximate coordinates by geo-referencing
141,1020A,P4/T3,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0106,-7.7982,,1.1,98.9,0,1.435,0.731,-0.282,1.249,1.747,,,Approximate coordinates by geo-referencing
142,1021A,P4/T4,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0098,-7.7971,,0.1,99.9,0,2.162,0.36,-0.126,1.412,2.237,,,Approximate coordinates by geo-referencing
143,1022A,P4/T5,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0091,-7.796,,7.2,92.8,0,0.391,0.802,-0.241,1.121,0.747,,,Approximate coordinates by geo-referencing
144,1023A,P4/T6,5/10/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.7949,,0.8,99.2,0,0.868,0.693,-0.2,1.001,1.247,,,Approximate coordinates by geo-referencing
145,1024A,P0/T1,6/8/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0102,-7.8027,,5.7,94.3,0,0.019,0.643,-0.078,0.995,0.247,,,Approximate coordinates by geo-referencing
146,1025A,P0/T2,6/8/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0095,-7.8016,,0.5,99.5,0,0.016,0.457,-0.017,1.03,0.247,,,Approximate coordinates by geo-referencing
