Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Chart datum [m] (Hydrographic datum (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)",Obs
173,1052A,P4/T5,6/8/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0091,-7.796,,2.9,97.1,0.1,0.998,0.837,-0.247,1.112,1.247,,,Approximate coordinates by geo-referencing
174,1053A,P4/T6,6/8/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.7949,,6.1,93.9,0,0.552,0.952,-0.143,0.92,1.247,,,Approximate coordinates by geo-referencing
175,1054A,P0/T1,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0102,-7.8027,,22.5,77.5,0,-0.505,1.121,-0.299,2.1,-0.243,-4.243,,Approximate coordinates by geo-referencing
176,1055A,P0/T2,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0095,-7.8016,,6.9,93.1,0,-0.137,0.641,-0.006,1.017,-0.243,,,Approximate coordinates by geo-referencing
177,1056A,P0/T3,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0088,-7.8005,,6.9,93.1,0,0.733,0.997,-0.252,1.095,1.247,,,Approximate coordinates by geo-referencing
178,1057A,P0/T4,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0081,-7.7994,,0.6,99.4,0,1.144,0.617,-0.099,1.023,1.247,,,Approximate coordinates by geo-referencing
179,1059A,P0/T5,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0073,-7.7982,,0.1,99.9,0,1.445,0.661,-0.09,0.965,1.747,,,Approximate coordinates by geo-referencing
180,1060A,P0/T6,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0066,-7.7971,,2.9,97.1,0,0.982,0.712,-0.147,1.061,1.247,,,Approximate coordinates by geo-referencing
181,1061A,P2/T1,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0093,-7.8038,,2.4,97.6,0,1.641,0.722,-0.333,1.486,1.747,,,Approximate coordinates by geo-referencing
182,1062A,P2/T2,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0086,-7.8027,,0.7,99.3,0,0.908,0.685,-0.105,1.088,1.247,,,Approximate coordinates by geo-referencing
183,1063A,P2/T3,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0079,-7.8016,,2.9,97.1,0,0.525,0.776,-0.077,1.094,0.747,,,Approximate coordinates by geo-referencing
184,1064A,P2/T4,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0072,-7.8005,,1.8,98.2,0,0.632,0.746,0.022,1.055,0.747,,,Approximate coordinates by geo-referencing
185,1065A,P2/T5,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0064,-7.7994,,1.3,98.7,0,0.862,0.969,-0.008,0.834,1.247,0.247,,Approximate coordinates by geo-referencing
186,1066A,P2/T6,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0057,-7.7982,,0.1,99.9,0,2.334,0.378,0.066,1.213,2.237,,,Approximate coordinates by geo-referencing
187,1067A,P1/T1,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.805,,4.3,95.7,0,0.497,0.807,-0.072,1.041,0.747,,,Approximate coordinates by geo-referencing
188,1068A,P1/T2,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0077,-7.8039,,1.5,98.5,0,1.201,0.883,-0.263,0.932,1.747,,,Approximate coordinates by geo-referencing
189,1069A,P1/T3,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.007,-7.8027,,42.7,57.3,0,-0.698,1.478,0.062,0.86,-0.743,-2.243,0.747,Approximate coordinates by geo-referencing
190,1070A,P1/T4,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0063,-7.8016,,15,85,0,0.523,1.634,-0.357,1.924,0.747,2.237,-4.243,Approximate coordinates by geo-referencing
191,1071A,P1/T5,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0055,-7.8005,,0.3,99.7,0,1.277,0.767,0.143,0.837,0.747,2.237,,Approximate coordinates by geo-referencing
192,1072A,P1/T6,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0048,-7.7994,,6.3,93.7,0,0.216,0.949,0.177,1.132,-0.243,2.237,,Approximate coordinates by geo-referencing
