Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Chart datum [m] (Relative to the hydrographic ...),"Gravel [%] (Grain size, sieving/pipette)","Sdst [%] (Grain size, sieving/pipette)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
143,1176,062F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9532,-7.9083,-12,0.45,99.34,0.21,1.21,0.67,-0.04,1.01,1.247,,
144,1177,063A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.964,-7.9167,-3,0.3,99.5,0.2,2.59,0.74,-0.31,1.12,2.737,,
145,1178,063C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.962,-7.9167,-6.6,0,99.78,0.22,2.64,0.59,-0.25,1.33,2.737,,
146,1179,063G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9532,-7.9167,-13.8,7.06,92.75,0.19,0.7,1.06,-0.16,1.06,1.247,,
147,1180,064B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9655,-7.925,-4.8,0.43,98.98,0.6,2.6,0.74,-0.33,1.19,2.737,,
148,1181,064E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9592,-7.925,-10.2,0.05,99.24,0.7,2.68,0.62,-0.22,1.16,2.737,,
149,1182,065D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9635,-7.9333,-8.4,0.37,98.43,1.2,3,0.44,-0.07,1.06,3.237,,
150,1183,065F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9563,-7.9333,-12,0.05,99.9,0.04,1.74,0.61,0,1.11,1.747,,
151,1084,066B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9703,-7.9333,-4.8,1.47,98.52,0.01,0.49,0.87,0.13,1.06,0.247,,
152,1185,066E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9628,-7.9417,-10.2,0.01,99.91,0.08,2.19,0.6,0.01,1.19,2.237,,
153,1186,067A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9747,-7.95,-3,2.38,97.59,0.03,0.8,0.99,0.11,1.17,0.747,,
154,1187,067C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9727,-7.95,-6.6,0.88,99.1,0.02,0.84,0.71,0.13,1.43,0.747,,
155,1188,068A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.98,-7.9583,-3,0.08,99.82,0.09,2.74,0.6,-0.28,1.32,2.737,,
156,1189,068D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9775,-7.9583,-8.4,0.23,98.77,1,2.82,0.7,-0.37,1.49,3.237,,
157,1190,069B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9833,-7.9667,-4.8,0.01,99.96,0.04,1.42,0.83,0.25,0.98,1.247,,
158,1191,069D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9815,-7.9667,-8.4,0.69,98.28,1.03,2.76,0.6,-0.23,1.47,2.737,,
159,1192,070A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9912,-7.975,-3,0.2,99.73,0.07,2.47,0.63,-0.26,1.2,2.737,,
160,1193,070C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.988,-7.975,-6.6,0.14,99.68,0.18,2.75,0.56,-0.22,1.15,2.737,,
161,1194,071B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9962,-7.9833,-4.8,0.07,99.74,0.19,2.8,0.47,-0.1,1.1,2.737,,
162,1195,071E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9858,-7.9833,-10.2,2.46,97.46,0.09,1.69,1.1,0.04,1.12,1.247,2.737,
163,1196,072A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0023,-7.9917,-3,1.9,97.96,0.14,2.57,0.84,-0.37,1.48,2.737,,
164,1197,072C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37,-7.9917,-6.6,0.27,99.09,0.64,2.67,0.72,-0.33,1.64,2.737,,
165,1198,072G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9833,-7.9917,-13.8,0.5,97.6,1.9,2.42,0.84,0.11,0.83,2.237,3.237,
166,1199,073A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.008,-8,-3,0.24,99.7,0.05,2.27,0.7,-0.13,0.96,2.237,,
167,1200,073C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0063,-8,-6.6,0.33,98.76,0.92,2.7,0.74,-0.29,1.23,2.737,,
168,1201,073G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9873,-8,-13.8,0.2,97.65,2.15,2.64,0.87,-0.37,0.9,3.237,,
169,1202,074B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0122,-8.0083,-4.8,5.1,94.83,0.06,0.73,1.21,0.29,1.13,0.247,2.737,
170,1203,074D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0093,-8.0083,-8.4,0.25,99.72,0.03,1.17,0.73,0.15,1.22,1.247,,
171,1204,075A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0172,-8.0167,-3,0.24,99.39,0.37,2.41,0.69,-0.26,1.14,2.737,,
172,1205,076B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.021,-8.025,-4.8,0.04,98.66,1.3,2.88,0.59,-0.16,1.33,2.737,,
173,1206,077A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0258,-8.0333,-3,0.56,98.38,1.06,2.87,0.57,-0.16,1.33,2.737,,
174,1207,078B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0307,-8.0417,-4.8,0.61,99.28,0.12,0.96,1.02,0.36,1.12,0.247,2.237,
175,1208,079A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0368,-8.05,-3,0.6,98.68,0.73,2.61,0.74,-0.28,1.25,2.737,,
176,1209,080B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0413,-8.0583,-4.8,0.6,99,0.4,2.25,0.92,-0.25,0.9,2.737,1.747,
177,1210,081A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0465,-8.0667,-3,1.22,98.74,0.04,1.12,1.07,0.09,0.91,0.747,,
178,1211,082B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0508,-8.075,-4.8,0.68,96.44,2.88,2.93,0.8,-0.32,1.22,3.237,,
179,1212,083A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0562,-8.0833,-3,0.38,99.3,0.32,2.55,0.69,-0.24,1.37,2.737,,
180,1213,084B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0597,-8.0917,-4.8,0.49,98.88,0.63,2.48,0.87,-0.32,1.08,2.737,,
181,1214,085A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0635,-8.1,-3,0.17,99.16,0.67,2.54,0.83,-0.3,0.98,3.237,,
182,1215,086B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0705,-8.1333,-4.8,0.41,96.67,2.93,2.97,0.65,-0.3,1.4,3.237,,
183,1216,086D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0642,-8.1333,-8.4,0.46,99.54,0,0.8,0.65,-0.08,1.03,0.747,,
184,1217,087A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0757,-8.1417,-3,0.45,97.85,1.7,2.96,0.52,-0.12,1.12,3.237,,
185,1218,087E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0598,-8.1417,-10.2,8.91,90.66,0.43,0.33,0.99,-0.12,0.99,0.747,,
186,1219,088B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0782,-8.15,-4.8,9.77,89.91,0.32,-0.21,0.97,0.33,1.68,-0.743,,
187,1220,088G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0528,-8.15,-13.8,15.15,84.63,0.22,0.06,1.01,-0.19,1.03,0.747,,
188,1221,089C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0737,-8.1583,-6.6,4.96,95,0.03,0.65,0.88,-0.12,1.61,0.747,,
189,1222,089F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.057,-8.1583,-12,8.84,91.07,0.1,0.19,0.85,-0.13,0.93,0.747,,
190,1223,090B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0787,-8.1667,-4.8,23,76.72,0.29,-0.22,1.35,0.13,1.39,-0.743,0.747,2.737
191,1224,090D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0678,-8.1667,-8.4,1.72,98.2,0.09,0.64,0.86,0.04,0.94,0.247,,
192,1225,090G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.061,-8.1667,-13.8,16.18,83.53,0.3,-0.12,0.89,-0.12,1.03,0.247,,
193,1226,091C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.075,-8.175,-6.6,17.98,81.99,0.03,-0.13,1.04,-0.16,1.2,0.247,,
194,1227,091E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0648,-8.175,-10.2,11.96,87.59,0.45,-0.15,0.76,-0.04,1,0.247,,
195,1228,092D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0712,-8.1833,-8.4,10.02,89.81,0.17,0.25,1.05,0.05,0.97,-0.243,,
196,1229,092F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0612,-8.1833,-12,20.08,79.74,0.18,-0.29,0.96,-0.12,1.13,-0.243,,
197,1230,093A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1125,-8.5317,-3,0.08,99.79,0.13,2.61,0.55,-0.07,1.03,2.737,,
198,1231,093C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.11,-8.5317,-6.6,0.02,95.72,4.26,3.07,0.58,-0.01,0.99,3.237,,
199,1232,094B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1127,-8.535,-4.8,0.15,99.49,0.36,2.67,0.52,-0.07,1.14,2.737,,
200,1233,094D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.109,-8.535,-8.4,0.84,94.95,4.21,3,0.83,-0.32,1.31,3.237,,
201,1234,094F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.105,-8.535,-12,0.19,95.93,3.88,2.9,0.71,-0.28,1.23,3.237,,
202,1235,095A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1143,-8.5383,-3,0.98,98.98,0.04,2.08,0.71,-0.22,1.22,2.237,,
203,1236,095C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.111,-8.5383,-6.6,0.19,97.78,2.03,2.68,0.74,-0.09,1.2,2.737,,
204,1239,097A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1183,-8.6333,-3,0.14,99.84,0.02,2.01,0.55,0,1.04,1.747,,
205,1240,097C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1155,-8.6333,-6.6,0.24,99.74,0.02,1.91,0.53,0,1.08,1.747,,
206,1241,098B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1142,-8.6417,-4.8,0.24,99.69,0.07,2.31,0.6,-0.03,1.19,2.237,,
207,1242,098E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1122,-8.6417,-10.2,0.83,98.04,1.13,2.44,0.65,0.07,1.11,2.237,,
208,1243,099A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1127,-8.65,-3,0.1,99.87,0.03,2.03,0.73,-0.07,1.13,1.747,,
209,1244,099C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1055,-8.65,-6.6,2.33,96.83,0.83,2.59,0.59,-0.06,1.01,2.737,,
210,1245,100B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.108,-8.6583,-4.8,0.37,99.54,0.1,2.35,0.56,0.03,1.13,2.237,,
211,1246,100D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1042,-8.6583,-8.4,0.19,99.71,0.1,2.43,0.48,0.01,1.11,2.237,,
212,1248,101D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0967,-8.6667,-8.4,14.05,85.81,0.15,-0.14,0.86,-0.07,1.47,-0.243,,
