Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Chart datum [m] (Relative to the hydrographic ...),"Gravel [%] (Grain size, sieving/pipette)","Sdst [%] (Grain size, sieving/pipette)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
34,1066,014C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1605,-7.5083,-6.6,7.76,91.57,0.67,0.78,1,-0.29,2,0.747,,
35,1067,014G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1453,-7.5083,-13.8,33.59,65.84,0.56,-0.36,1.47,-0.23,0.85,0.747,-1.743,-3.243
36,1068,015A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1607,-7.5167,-3,0.17,99.06,0.77,2.23,0.79,-0.2,1.39,2.237,,
37,1069,015C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1575,-7.5167,-6.6,8.94,90.53,0.53,0.69,1.09,-0.31,1.53,0.747,-3.743,
38,1070,015G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.142,-7.5167,-13.8,15.65,84.16,0.19,0.18,1.29,-0.39,1.73,0.747,,
39,1071,016B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1563,-7.525,-4.8,0.03,96.87,3.11,2.67,0.71,-0.06,1.2,2.737,,
40,1072,016D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.153,-7.525,-8.4,2.07,97.64,0.29,1.22,0.68,-0.04,1.19,1.247,,
41,1073,017C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1507,-7.5333,-6.6,0.33,99.15,0.52,2.37,0.65,-0.1,1.18,2.237,,
42,1074,017E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1408,-7.5333,-10.2,5.14,94.71,0.15,0.8,0.83,-0.12,1.32,0.747,,
43,1075,018D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1455,-7.5417,-8.4,8.07,91.33,0.59,0.13,0.89,0.05,1.02,-0.243,0.747,
44,1076,018F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1367,-7.5417,-12,4.22,94.8,0.98,0.77,0.76,-0.01,1.98,0.747,,
45,1077,019B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1463,-7.55,-4.8,0.81,98.97,0.23,2,0.72,-0.18,1.19,2.237,,
46,1078,019D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1432,-7.55,-8.4,7.62,92.24,0.14,0.47,0.94,-0.2,1.48,0.747,,
47,1079,019F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1333,-7.55,-12,13.07,86.85,0.08,0.23,1.02,-0.46,1.42,0.747,-0.743,
48,1080,020A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1445,-7.5583,-3,0.02,99.46,0.52,2.12,0.73,-0.03,1,2.237,,
49,1081,020C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1418,-7.5583,-6.6,4.1,95.87,0.03,0.93,0.8,-0.16,1.62,0.747,-0.243,
50,1082,020H,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1278,-7.5583,-15.6,23.12,75.32,1.56,0.04,1.68,-0.38,1.2,0.747,-2.743,-1.743
51,1083,021B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1385,-7.5667,-4.8,0.1,99.56,0.34,2.18,0.72,-0.15,1,2.237,,
52,1084,021E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1343,-7.5667,-10.2,10.14,89.83,0.02,0.27,0.88,-0.3,1.29,0.747,,
53,1085,022A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1387,-7.575,-3,0.04,99.71,0.25,2.41,0.59,-0.17,1.11,2.737,,
54,1086,022C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.134,-7.575,-6.6,0.19,99,0.81,2.37,0.61,-0.06,1.34,2.237,,
55,1058,023B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.134,-7.5833,-4.8,0.02,99.63,0.35,2.25,0.75,-0.23,1.08,2.737,,
56,1089,024B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.126,-7.5917,-4.8,1.04,98.85,0.11,1.66,0.84,-0.13,0.92,2.237,,
