Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)"
41,2772,FP-P1,Beach face,10/14/2014,SHORE,Hand-Collecting,37.1004,-7.6366,1,0,100,0,1.175,0.506,0.15,0.938,1.247,
42,2773,T-P1,Low tide terrace,10/14/2014,SHORE,Hand-Collecting,37.1002,-7.6365,0,0.2,99.8,0,1.744,0.741,-0.415,1.479,2.237,
43,2775,AP-P2,Upper Beach,10/14/2014,SHORE,Hand-Collecting,37.1017,-7.6351,3,3.2,96.8,0,1.172,0.785,-0.105,1.072,1.247,
44,2776,BP-P2,Berm,10/14/2014,SHORE,Hand-Collecting,37.1016,-7.635,2,0,100,0,1.952,0.399,-0.131,0.903,2.237,
45,2777,FP-P2,Beach face,10/14/2014,SHORE,Hand-Collecting,37.1015,-7.6348,1,0,100,0,1.315,0.699,0.034,0.835,0.747,
46,2778,T-P2,Low tide terrace,10/14/2014,SHORE,Hand-Collecting,37.1012,-7.6346,-1,0.1,99.9,0,1.649,0.588,-0.076,0.918,1.747,
47,2779,D-P3,Dune,10/14/2014,SHORE,Hand-Collecting,37.1029,-7.6334,4,0,100,0,1.62,0.556,-0.108,0.979,1.747,
48,2780,AP-P3,Upper Beach,10/14/2014,SHORE,Hand-Collecting,37.1028,-7.6333,3,0,100,0,1.51,0.482,-0.063,1.016,1.747,
49,2781,BP-P3,Berm,10/14/2014,SHORE,Hand-Collecting,37.1027,-7.6332,2,0,100,0,1.933,0.409,-0.079,0.914,1.747,
50,2782,FP-P3,Beach face,10/14/2014,SHORE,Hand-Collecting,37.1026,-7.6331,1,0,100,0,1.665,0.414,-0.029,0.994,1.747,
51,2783,T-P3,Low tide terrace,10/14/2014,SHORE,Hand-Collecting,37.1024,-7.6329,0,3.2,96.8,0,1.332,0.97,-0.32,1,2.237,
52,2784,D-P4,Dune,10/14/2014,SHORE,Hand-Collecting,37.1041,-7.6317,4,0,100,0,1.525,0.507,-0.082,0.995,1.747,
53,2785,AP-P4,Upper Beach,10/14/2014,SHORE,Hand-Collecting,37.1038,-7.6315,2,0,100,0,1.626,0.52,-0.125,1.055,1.747,
54,2786,BP-P4,Berm,10/14/2014,SHORE,Hand-Collecting,37.1037,-7.6314,2,0.1,99.9,0,1.932,0.438,-0.093,0.98,2.237,
55,2787,FP-P4,Beach face,10/14/2014,SHORE,Hand-Collecting,37.1037,-7.6313,1,0,100,0,1.679,0.483,-0.061,0.978,1.747,
56,2788,T-P4,Low tide terrace,10/14/2014,SHORE,Hand-Collecting,37.1035,-7.6311,0,0,100,0,1.949,0.422,-0.105,0.957,2.237,
57,2790,AP-P5,Upper Beach,10/14/2014,SHORE,Hand-Collecting,37.105,-7.6297,2801,0.1,9.9,0,1.5,0.598,-0.1,0.938,1.747,
58,2791,BP-P5,Berm,10/14/2014,SHORE,Hand-Collecting,37.1048,-7.6296,2,2.1,97.9,0,1.75,0.532,-0.161,1.045,1.747,
59,2792,FP-P5,Beach face,10/14/2014,SHORE,Hand-Collecting,37.1047,-7.6295,1,0,100,0,1.733,0.448,-0.025,0.958,1.747,
60,2793,T-P5,Low tide terrace,10/14/2014,SHORE,Hand-Collecting,37.1046,-7.6293,0,1,99,0,1.475,0.787,-0.216,0.903,1.747,
61,2794,DP-P6,Dune,10/14/2014,SHORE,Hand-Collecting,37.1063,-7.6281,4,0,100,0,1.794,0.441,-0.062,0.98,1.747,
62,2795,AP-P6,Upper Beach,10/14/2014,SHORE,Hand-Collecting,37.106,-7.6279,3,0.1,99.9,0,1.53,0.506,-0.089,1.02,1.747,
63,2796,BP-P6,Berm,10/14/2014,SHORE,Hand-Collecting,37.1059,-7.6278,2,0.1,99.9,0,1.348,0.686,-0.055,0.91,1.247,
64,2797,FP-P6,Beach face,10/14/2014,SHORE,Hand-Collecting,37.1057,-7.6276,0,1.6,98.4,0,1.772,0.437,-0.059,1.067,1.747,
65,2798,T-P6,Low tide terrace,10/14/2014,SHORE,Hand-Collecting,37.1056,-7.6275,-1,3.5,96.5,0,1.221,1.064,-0.445,0.859,1.747,
