Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Obs (Grain size, sieving/pipette, ...)"
315,315A,P5/4,,6/4/1996,Coastal Monitoring,Hand-Collecting,36.9965,-7.979,,0.89,99.11,0,-0.133,0.126,0.245,,,,
316,316A,P6/0,,6/4/1996,Coastal Monitoring,Hand-Collecting,36.992,-7.971,,0,100,0,0.804,0.317,-0.031,,,,
317,317A,P6/1,,6/4/1996,Coastal Monitoring,Hand-Collecting,36.992,-7.971,,0,100,0,1.12,0.269,-0.043,,,,
318,318A,P6/2,,6/4/1996,Coastal Monitoring,Hand-Collecting,36.992,-7.971,,0,100,0,0.964,0.24,0.219,,,,
319,319A,P6/3,,6/4/1996,Coastal Monitoring,Hand-Collecting,36.9918,-7.971,,0,100,0,1.485,0.294,-0.123,,,,
320,320A,P6/4,,6/4/1996,Coastal Monitoring,Hand-Collecting,36.9917,-7.971,,1.1,98.9,0,1.294,0.688,-0.848,,,,
321,321A,P6/5,,6/4/1996,Coastal Monitoring,Hand-Collecting,36.9916,-7.971,,3.92,96.08,0,-0.07,0.382,0.016,,,,
322,322A,P2/1,,11/13/1996,Coastal Monitoring,Hand-Collecting,37.0109,-8,,0.1,99.9,0,0.824,0.232,-0.018,,,,
323,323A,P2/2,,11/13/1996,Coastal Monitoring,Hand-Collecting,37.0107,-8.001,,0,100,0,1.003,0.183,0.218,,,,
324,324A,P2/3,,11/13/1996,Coastal Monitoring,Hand-Collecting,37.0107,-8.001,,0,100,0,1.048,0.138,0.713,,,,
325,325A,P3/1,,11/13/1996,Coastal Monitoring,Hand-Collecting,37.0077,-7.995,,0.39,99.61,0,0.722,0.259,-0.207,,,,
326,326A,P3/2,,11/13/1996,Coastal Monitoring,Hand-Collecting,37.0076,-7.995,,0,100,0,0.76,0.164,0.306,,,,
327,327A,P3/3,,11/13/1996,Coastal Monitoring,Hand-Collecting,37.0076,-7.996,,0,100,0,1.271,0.209,-0.036,,,,
328,328A,P4/1,,11/13/1996,Coastal Monitoring,Hand-Collecting,37.0024,-7.987,,0.1,99.9,0,0.885,0.339,0.216,,,,
329,329A,P4/2,,11/13/1996,Coastal Monitoring,Hand-Collecting,37.0023,-7.987,,0.45,99.55,0,0.731,0.232,-0.808,,,,
330,330A,P4/3,,11/13/1996,Coastal Monitoring,Hand-Collecting,37.0022,-7.987,,0.09,99.91,0,0.744,0.218,-0.061,,,,
331,331A,P5/1,,11/13/1996,Coastal Monitoring,Hand-Collecting,36.9968,-7.978,,0,100,0,0.8,0.278,0.124,,,,
332,332A,P5/2,,11/13/1996,Coastal Monitoring,Hand-Collecting,36.9967,-7.978,,0.18,99.82,0,0.528,0.24,0.273,,,,
333,333A,P5/3,,11/13/1996,Coastal Monitoring,Hand-Collecting,36.9966,-7.979,,0,100,0,0.521,0.224,0.306,,,,
334,334A,P5/4,,11/13/1996,Coastal Monitoring,Hand-Collecting,36.9965,-7.979,,1.26,98.74,0,0.243,0.35,-0.076,,,,
335,335A,P6/0,,11/13/1996,Coastal Monitoring,Hand-Collecting,36.992,-7.971,,0,100,0,1.06,0.246,0.065,,,,
336,336A,P6/1,,11/13/1996,Coastal Monitoring,Hand-Collecting,36.992,-7.971,,0.26,99.74,0,0.534,0.329,0.341,,,,
337,337A,P6/2,,11/13/1996,Coastal Monitoring,Hand-Collecting,36.992,-7.971,,0,100,0,0.997,0.198,0.032,,,,
338,338A,P6/3,,11/13/1996,Coastal Monitoring,Hand-Collecting,36.9917,-7.971,,0,100,0,0.651,0.259,0.212,,,,
339,339A,P2/0,,1/12/1997,Coastal Monitoring,Hand-Collecting,37.011,-8,,0,100,0,1.043,0.234,0.285,,,,
340,340A,P2/1,,1/12/1997,Coastal Monitoring,Hand-Collecting,37.0109,-8,,0.09,99.91,0,0.636,0.429,0.028,,,,
341,341A,P2/2,,1/12/1997,Coastal Monitoring,Hand-Collecting,37.0109,-8,,0.3,99.7,0,1.087,0.315,-0.506,,,,
342,342A,P2/3,,1/12/1997,Coastal Monitoring,Hand-Collecting,37.0109,-8,,0.37,99.63,0,1.183,0.338,-0.9,,,,
343,343A,P2/4,,1/12/1997,Coastal Monitoring,Hand-Collecting,37.0107,-8.001,,0.18,99.82,0,1.325,0.285,-0.626,,,,
344,344A,P3/1,,1/12/1997,Coastal Monitoring,Hand-Collecting,37.0077,-7.995,,0,100,0,1.013,0.217,0.1,,,,
345,345A,P3/2,,1/12/1997,Coastal Monitoring,Hand-Collecting,37.0077,-7.995,,0.99,99.01,0,0.582,0.44,-0.208,,,,
346,346A,P3/3,,1/12/1997,Coastal Monitoring,Hand-Collecting,37.0076,-7.995,,0.09,99.91,0,1.273,0.392,-0.496,,,,
347,347A,P4/1,,1/12/1997,Coastal Monitoring,Hand-Collecting,37.0024,-7.987,,0.74,99.26,0,0.718,0.441,-0.047,,,,
348,348A,P4/2,,1/12/1997,Coastal Monitoring,Hand-Collecting,37.0024,-7.987,,0.61,99.39,0,0.841,0.62,0.003,,,,
349,349A,P4/3,,1/12/1997,Coastal Monitoring,Hand-Collecting,37.0023,-7.987,,0.18,99.82,0,1.488,0.433,-0.814,,,,
350,350A,P5/1,,1/12/1997,Coastal Monitoring,Hand-Collecting,36.9968,-7.978,,0,100,0,0.38,0.223,0.462,,,,
351,351A,P5/2,,1/12/1997,Coastal Monitoring,Hand-Collecting,36.9967,-7.978,,0.62,99.38,0,0.52,0.381,0.258,,,,
352,352A,P5/3,,1/12/1997,Coastal Monitoring,Hand-Collecting,36.9966,-7.979,,0.09,99.91,0,0.425,0.234,0.656,,,,
353,353A,P5/4,,1/12/1997,Coastal Monitoring,Hand-Collecting,36.9965,-7.979,,0.92,99.08,0,0.826,0.403,-0.766,,,,
354,354A,P6/1,,1/12/1997,Coastal Monitoring,Hand-Collecting,36.992,-7.971,,0,100,0,0.733,0.34,0.298,,,,
355,355A,P6/2,,1/12/1997,Coastal Monitoring,Hand-Collecting,36.992,-7.971,,1.78,98.22,0,0.65,0.542,-0.423,,,,
356,356A,P6/3,,1/12/1997,Coastal Monitoring,Hand-Collecting,36.9917,-7.971,,1.94,98.06,0,0.526,0.459,-0.355,,,,
357,357A,P6/4,,1/12/1997,Coastal Monitoring,Hand-Collecting,36.9916,-7.971,,0.61,99.39,0,1.609,0.411,-1.565,,,,
358,358A,P2/1,,3/25/1997,Coastal Monitoring,Hand-Collecting,37.0109,-8,,0.84,99.16,0,0.824,0.414,-0.47,,,,
359,359A,P2/2,,3/25/1997,Coastal Monitoring,Hand-Collecting,37.0109,-8,,0,100,0,0.723,0.346,0.418,,,,
360,360A,P2/3,,3/25/1997,Coastal Monitoring,Hand-Collecting,37.0107,-8.001,,1.29,98.71,0,0.539,0.478,-0.189,,,,
361,361A,P3/1,,3/25/1997,Coastal Monitoring,Hand-Collecting,37.0077,-7.995,,0.09,99.91,0,0.937,0.296,0.039,,,,
362,362A,P3/2,,3/25/1997,Coastal Monitoring,Hand-Collecting,37.0076,-7.995,,0.84,99.16,0,0.477,0.388,0.008,,,,
363,363A,P3/3,,3/25/1997,Coastal Monitoring,Hand-Collecting,37.0076,-7.996,,0.2,99.8,0,0.556,0.217,-0.095,,,,
364,364A,P4/1,,3/25/1997,Coastal Monitoring,Hand-Collecting,37.0024,-7.987,,0.19,99.81,0,1.032,0.353,-0.053,,,,
365,365A,P4/2,,3/25/1997,Coastal Monitoring,Hand-Collecting,37.0023,-7.987,,2.31,97.69,0,0.514,0.586,-0.14,,,,
366,366A,P4/3,,3/25/1997,Coastal Monitoring,Hand-Collecting,37.0022,-7.987,,0.37,99.63,0,0.675,0.291,-0.342,,,,
367,367A,P5/1,,3/25/1997,Coastal Monitoring,Hand-Collecting,36.9968,-7.978,,0.09,99.91,0,0.381,0.322,0.518,,,,
368,368A,P5/2,,3/25/1997,Coastal Monitoring,Hand-Collecting,36.9967,-7.978,,0.76,99.24,0,0.642,0.378,-0.333,,,,
369,369A,P5/3,,3/25/1997,Coastal Monitoring,Hand-Collecting,36.9966,-7.979,,0,100,0,1.417,0.341,-0.259,,,,
370,370A,P6/1,,3/25/1997,Coastal Monitoring,Hand-Collecting,36.992,-7.971,,0,100,0,0.981,0.358,0.098,,,,
371,371A,P6/2,,3/25/1997,Coastal Monitoring,Hand-Collecting,36.992,-7.971,,0.17,99.83,0,0.443,0.264,0.403,,,,
372,372A,P6/3,,3/25/1997,Coastal Monitoring,Hand-Collecting,36.9917,-7.971,,0,100,0,1.127,0.442,0.015,,,,
373,373A,P2/1,,5/8/1997,Coastal Monitoring,Hand-Collecting,37.0109,-8,,0.9,99.1,0,0.955,0.47,-0.681,,,,
374,374A,P2/2,,5/8/1997,Coastal Monitoring,Hand-Collecting,37.0107,-8.001,,0.56,99.44,0,0.423,0.279,-0.17,,,,
375,375A,P2/3,,5/8/1997,Coastal Monitoring,Hand-Collecting,37.0107,-8.001,,0,100,0,1.35,0.292,-0.12,,,,
376,376A,P3/1,,5/8/1997,Coastal Monitoring,Hand-Collecting,37.0077,-7.995,,0.27,99.73,0,0.748,0.476,0.004,,,,
377,377A,P3/2,,5/8/1997,Coastal Monitoring,Hand-Collecting,37.0076,-7.995,,0.17,99.83,0,0.412,0.157,0.566,,,,
378,378A,P3/3,,5/8/1997,Coastal Monitoring,Hand-Collecting,37.0076,-7.996,,0,100,0,1.058,0.371,0.278,,,,
379,379A,P4/1,,5/8/1997,Coastal Monitoring,Hand-Collecting,37.0024,-7.987,,0.35,99.65,0,0.929,0.428,-0.097,,,,
380,380A,P4/2,,5/8/1997,Coastal Monitoring,Hand-Collecting,37.0023,-7.987,,0,100,0,0.891,0.345,0.43,,,,
381,381A,P4/3,,5/8/1997,Coastal Monitoring,Hand-Collecting,37.0022,-7.987,,1.1,98.9,0,0.289,0.25,-0.103,,,,
382,382A,P5/1,,5/8/1997,Coastal Monitoring,Hand-Collecting,36.9967,-7.978,,0.19,99.81,0,1.007,0.374,-0.019,,,,
383,383A,P5/2,,5/8/1997,Coastal Monitoring,Hand-Collecting,36.9966,-7.979,,0.65,99.35,0,0.476,0.334,-0.013,,,,
384,384A,P5/3,,5/8/1997,Coastal Monitoring,Hand-Collecting,36.9965,-7.979,,0.34,99.66,0,0.725,0.244,-0.055,,,,
385,385A,P6/1,,5/8/1997,Coastal Monitoring,Hand-Collecting,36.992,-7.971,,0.61,99.39,0,0.986,0.593,-0.457,,,,
386,386A,P6/2,,5/8/1997,Coastal Monitoring,Hand-Collecting,36.9917,-7.971,,0.09,99.91,0,0.487,0.204,0.898,,,,
387,387A,P6/3,,5/8/1997,Coastal Monitoring,Hand-Collecting,36.9916,-7.971,,0,100,0,1.127,0.227,-0.023,,,,
388,388A,AN1/A,,10/18/1997,Coastal Monitoring,Hand-Collecting,37.0365,-8.045,5,0,100,0,1.347,0.633,-0.022,0.949,1.247,,
389,389A,AN1/B,,10/18/1997,Coastal Monitoring,Hand-Collecting,37.0361,-8.045,1,0.3,99.7,0,1.113,0.791,-0.037,0.844,1.747,0.747,After beach nourishment
390,390A,AN1/A,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0366,-8.045,7,0,100,0,1.345,0.429,0.004,0.993,1.247,,After beach nourishment
391,391A,AN1/B,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0364,-8.045,2,0,100,0,1.547,0.472,-0.069,1.054,1.747,,After beach nourishment
392,392A,AN1/A,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0366,-8.045,5,4.1,95.9,0,-0.331,0.417,-0.055,1.13,-0.243,,After beach nourishment
393,393A,AN1/B,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0363,-8.045,2,0.4,99.6,0,1.228,0.559,-0.117,0.937,1.247,,After beach nourishment
394,394A,G1/A,,10/18/1997,Coastal Monitoring,Hand-Collecting,37.0407,-8.052,4,0,100,0,1.297,0.484,-0.059,0.975,1.247,,After beach nourishment
395,395A,G1/B,,10/18/1997,Coastal Monitoring,Hand-Collecting,37.0405,-8.052,2,0.1,99.9,0,1.148,0.621,-0.076,0.975,1.247,,After beach nourishment
396,396A,G2/A,,10/18/1997,Coastal Monitoring,Hand-Collecting,37.0397,-8.05,5,0.3,99.7,0,1.256,0.574,-0.068,1.048,1.247,,After beach nourishment
397,397A,G2/B,,10/18/1997,Coastal Monitoring,Hand-Collecting,37.0394,-8.051,2,0.4,99.6,0,0.978,0.857,0.04,0.838,0.247,,After beach nourishment
398,398A,G1/A,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0408,-8.052,6,0,86.5,13.5,1.97,1.105,0.247,1.784,1.747,4.477,After beach nourishment
399,399A,G1/B,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0404,-8.052,2,0,100,0,1.76,0.476,-0.004,0.983,1.747,,After beach nourishment
400,400A,G2/A,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0398,-8.05,6,6.9,87.7,5.4,1.036,1.379,-0.088,2.209,1.247,-2.243,After beach nourishment
401,401A,G2/B,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0395,-8.05,2,0,100,0,1.738,0.432,-0.01,1.176,1.747,,After beach nourishment
402,402A,G1/A,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0407,-8.052,5,0,99,1,1.284,0.445,0.057,1.215,1.247,,After beach nourishment
403,403A,G1/B,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0403,-8.052,1,0,100,0,0.293,0.458,0.074,1.008,0.247,,After beach nourishment
404,404A,G2/A,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0398,-8.05,6,0,100,0,1.046,0.436,-0.068,,1.247,,After beach nourishment
405,405A,G2/B,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0394,-8.05,2,0,100,0,1.264,0.439,0.053,1.116,1.247,,After beach nourishment
406,406A,T1/A,,10/19/1997,Coastal Monitoring,Hand-Collecting,37.0574,-8.081,3,0,100,0,1.517,0.453,-0.097,1.018,1.747,,After beach nourishment
407,407A,T1/B,,10/19/1997,Coastal Monitoring,Hand-Collecting,37.0572,-8.081,2,0,100,0,1.25,0.476,0.032,0.851,1.247,,After beach nourishment
408,408A,T2/A,,10/19/1997,Coastal Monitoring,Hand-Collecting,37.0568,-8.08,4,0,100,0,1.2,0.451,0.002,1.017,1.247,,After beach nourishment
409,409A,T2/B,,10/19/1997,Coastal Monitoring,Hand-Collecting,37.0565,-8.08,2,0,100,0,1.254,0.48,0.007,0.911,1.247,,After beach nourishment
410,410A,T3/A,,10/19/1997,Coastal Monitoring,Hand-Collecting,37.0558,-8.078,5,0,100,0,1.465,0.578,-0.042,0.957,1.747,,After beach nourishment
411,411A,T3/B,,10/19/1997,Coastal Monitoring,Hand-Collecting,37.0555,-8.078,1,0.2,99.7,0.1,1.375,0.435,0.131,1.211,1.247,,After beach nourishment
412,412A,T1/A,,12/16/1997,Coastal Monitoring,Hand-Collecting,37.0575,-8.081,4,0,100,0,0.738,0.494,0.03,0.897,0.747,,After beach nourishment
413,413A,T1/B,,12/16/1997,Coastal Monitoring,Hand-Collecting,37.0573,-8.081,2,0.9,99.1,0,1.209,0.634,0.039,0.979,1.247,,After beach nourishment
414,414A,T2/A,,12/16/1997,Coastal Monitoring,Hand-Collecting,37.0568,-8.08,4,0.2,99.8,0,0.648,0.546,-0.008,0.998,0.747,,After beach nourishment
415,415A,T2/B,,12/16/1997,Coastal Monitoring,Hand-Collecting,37.0564,-8.08,1,2.6,96.1,1.4,1.518,0.838,-0.187,0.968,1.747,,After beach nourishment
416,416A,T3/A,,12/16/1997,Coastal Monitoring,Hand-Collecting,37.0558,-8.078,4,0,100,0,0.47,0.672,-0.057,1.102,0.747,,After beach nourishment
417,417A,T3/B,,12/16/1997,Coastal Monitoring,Hand-Collecting,37.0555,-8.078,1,0.6,99.4,0,1.109,0.738,0.033,0.844,0.747,1.747,After beach nourishment
418,418A,T1/A,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0575,-8.081,5,0,100,0,0.73,0.654,0.023,0.951,0.747,,After beach nourishment
419,419A,T1/B,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0573,-8.081,2,1,99,0,1.421,0.868,-0.04,0.862,1.747,,After beach nourishment
420,420A,T2/A,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0568,-8.08,5,0,100,0,0.656,0.628,0.027,1.016,0.747,,After beach nourishment
421,421A,T2/B,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0566,-8.08,1,1.6,98.4,0,2.054,0.543,-0.026,0.98,2.237,,After beach nourishment
422,422A,T3/A,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0558,-8.078,6,0,100,0,0.83,0.617,-0.03,1.054,0.747,,After beach nourishment
423,423A,T3/B,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0556,-8.078,2,0,99.9,0.1,1.699,0.589,-0.145,1.007,1.747,,After beach nourishment
424,424A,T1/A,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0574,-8.081,4,0,100,0,1.329,0.559,-0.119,1.037,1.247,,After beach nourishment
425,425A,T1/B,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0569,-8.082,1,0,100,0,1.449,0.464,-0.05,1,1.747,,After beach nourishment
426,426A,T2/A,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0568,-8.08,4,0,100,0,1.457,0.416,0.006,0.954,1.247,,After beach nourishment
427,427A,T2/B,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0564,-8.08,1,0,100,0,1.384,0.513,0.038,1.019,1.247,,After beach nourishment
428,428A,T3/A,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0558,-8.078,4,0,100,0,1.316,0.447,-0.019,0.989,1.247,,After beach nourishment
429,429A,T3/B,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0555,-8.078,2,0,100,0,1.133,0.45,0.103,0.925,1.247,,After beach nourishment
430,430A,FN1/A,,10/19/1997,Coastal Monitoring,Hand-Collecting,37.0607,-8.087,6,0.3,99.4,0.3,1.202,0.659,-0.081,1.048,1.247,,After beach nourishment
431,431A,FN1/B,,10/19/1997,Coastal Monitoring,Hand-Collecting,37.0603,-8.087,2,0,100,0,1.746,0.676,-0.086,0.905,1.747,,After beach nourishment
432,432A,FN2/A,,10/19/1997,Coastal Monitoring,Hand-Collecting,37.06,-8.086,6,0.5,99,0.5,1.136,0.644,-0.046,1.048,1.247,,After beach nourishment
433,433A,FN2/B,,10/19/1997,Coastal Monitoring,Hand-Collecting,37.0597,-8.086,2,0,100,0,1.106,0.52,0.259,1.005,0.747,,After beach nourishment
434,434A,FN3/A,,10/19/1997,Coastal Monitoring,Hand-Collecting,37.0594,-8.085,6,1,97.6,1.5,1.159,0.784,-0.083,1.111,1.247,,After beach nourishment
435,435A,FN3/B,,10/19/1997,Coastal Monitoring,Hand-Collecting,37.0591,-8.085,1,0,100,0,1.195,0.595,-0.046,1.095,1.247,,After beach nourishment
436,436A,FN1/A,,12/16/1997,Coastal Monitoring,Hand-Collecting,37.0606,-8.087,4,0.7,98.3,1,1.019,0.765,-0.123,1.056,1.247,,After beach nourishment
437,437A,FN1/B,,12/16/1997,Coastal Monitoring,Hand-Collecting,37.0603,-8.087,2,0,100,0,1.221,0.542,0.052,1.015,1.247,,After beach nourishment
438,438A,FN2/A,,12/16/1997,Coastal Monitoring,Hand-Collecting,37.06,-8.086,5,0.1,99.9,0,1.21,0.597,-0.031,1.039,1.247,,After beach nourishment
439,439A,FN2/B,,12/16/1997,Coastal Monitoring,Hand-Collecting,37.0596,-8.086,2,0,100,0,1.45,0.554,-0.086,0.987,1.747,,After beach nourishment
440,440A,FN3/A,,12/16/1997,Coastal Monitoring,Hand-Collecting,37.0594,-8.085,5,1,98.5,0.5,0.943,0.898,0.036,1.041,1.247,,After beach nourishment
441,441A,FN3/B,,12/16/1997,Coastal Monitoring,Hand-Collecting,37.059,-8.085,2,0,97.8,2.2,1.252,0.639,-0.013,1.044,1.247,,After beach nourishment
442,442A,FN1/A,,12/21/1997,Coastal Monitoring,Hand-Collecting,37.0607,-8.087,6,0.2,99.3,0.5,1.184,0.651,-0.03,1.084,1.247,,After beach nourishment
443,443A,FN1/B,,12/21/1997,Coastal Monitoring,Hand-Collecting,37.0603,-8.087,2,0,100,0,1.013,0.758,-0.027,0.823,1.247,0.247,After beach nourishment
444,444A,FN1/A,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0607,-8.087,6,0.7,96.9,2.4,0.956,0.886,-0.066,0.888,1.247,0.247,After beach nourishment
445,445A,FN1/B,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0605,-8.087,3,16.8,83.2,0,0.65,1.492,-0.381,0.95,1.747,-2.243,After beach nourishment
446,446A,FN2/A,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.06,-8.086,5,0.3,96.4,3.3,1.351,0.79,0.014,1.258,1.247,,After beach nourishment
447,447A,FN2/B,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0598,-8.086,2,0.1,99.9,0,1.469,0.583,-0.104,1.124,1.747,,After beach nourishment
448,448A,FN3/A,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0595,-8.085,5,0,100,0,1.673,0.549,-0.044,1.087,1.747,,After beach nourishment
449,449A,FN3/B,,1/6/1998,Coastal Monitoring,Hand-Collecting,37.0592,-8.085,2,0.1,99.9,0,1.574,0.793,-0.054,0.984,1.747,,After beach nourishment
450,450A,FN1/A,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0607,-8.087,4,0.1,99.5,0.4,1.303,0.587,-0.083,1.079,1.247,,After beach nourishment
451,451A,FN1/B,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0603,-8.087,2,0.1,99.9,0,0.733,0.576,0.058,1.168,0.747,,After beach nourishment
452,452A,FN2/A,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.06,-8.086,5,0,99.9,0.1,2.02,0.467,-0.083,1.045,2.237,,After beach nourishment
453,453A,FN2/B,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0596,-8.086,2,0,100,0,1.129,0.492,0.127,0.904,0.747,,After beach nourishment
454,454A,FN3/A,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0595,-8.085,4,0,99.8,0.2,1.519,0.476,-0.062,1.017,1.747,,After beach nourishment
455,455A,FN3/B,,2/12/1998,Coastal Monitoring,Hand-Collecting,37.0591,-8.085,1,0.1,99.9,0,1.066,0.629,-0.072,0.88,1.247,,After beach nourishment
