/* DATA DESCRIPTION:
Citation:	SIRIA Project Members (2010): Sediment characterization of Guadiana inlet and adjacent Portuguese and Spanish continental shelf to stablish the reference situation at the Algarve Coastal Region influenced by Alqueva dam within the frame of the SIRIA project. PANGAEA, https://doi.org/10.1594/PANGAEA.883074, 
	In supplement to: Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Surficial sediment texture database for the south-western Iberian Atlantic margin. Earth System Science Data, 10(2), 1185-1195, https://doi.org/10.5194/essd-10-1185-2018
Related to:	Gonzalez, R; Dias, Joao Alveirinho; Lobo, Francisco J; Mendes, Isabel Maria de Paiva Pinto (2004): Sedimentological and paleoenvironmental characterisation of transgressive sediments on the Guadiana Shelf (Northern Gulf of Cadiz, SW Iberia). Quaternary International, 120(1), 133-144, https://doi.org/10.1016/j.quaint.2004.01.012
	Mendes, Isabel Maria de Paiva Pinto (2010): Benthic foraminifera as palaeo-environmental indicators in the Northern Gulf of Cadiz. Faculty of Science and Technology, University of Algarve
Original version:	Original data of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed) (URI: https://store.pangaea.de/Publications/Coasta-etal_2017/PLOSscripts.zip)
Further details:	Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Shape files of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed). PANGAEA, https://doi.org/10.1594/PANGAEA.890946
Coverage:	MEDIAN LATITUDE: 36.971847 * MEDIAN LONGITUDE: -7.132587 * SOUTH-BOUND LATITUDE: 36.502510 * WEST-BOUND LONGITUDE: -7.586892 * NORTH-BOUND LATITUDE: 37.191945 * EAST-BOUND LONGITUDE: -6.470706
	DATE/TIME START: 1999-01-13T00:00:00 * DATE/TIME END: 2001-11-14T00:00:00
	MINIMUM DEPTH, water: -422.00 m * MAXIMUM DEPTH, water: -3.00 m
Event(s):	IBAM-Sed_SIRIA * LATITUDE: 37.937800 * LONGITUDE: -7.003200 * DATE/TIME START: 1999-01-13T00:00:00 * DATE/TIME END: 2001-11-14T00:00:00 * METHOD/DEVICE: Dredge (DRG)
Comment:	SIRIA (2001). Reference Situation in the Algarve Coastal Region Influenced by Alqueva Dam
Parameter(s):	Sample ID (Sample ID) * PI: SIRIA Project Members * COMMENT: Sample number
	Sample ID (Sample ID) * PI: SIRIA Project Members * COMMENT: Acess number from laboratory
	Sample ID (Sample ID) * PI: SIRIA Project Members * COMMENT: Reference sample in the collect
	DATE/TIME (Date/Time) * GEOCODE * PI: SIRIA Project Members * COMMENT: of collecting
	Project (Project) * PI: SIRIA Project Members
	Sample method (Sample method) * PI: SIRIA Project Members
	LATITUDE (Latitude) * GEOCODE * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving
	LONGITUDE (Longitude) * GEOCODE * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving
	DEPTH, water [m] (Depth water) * GEOCODE * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette
	Gravel [%] (Gravel) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method
	Sandstone [%] (Sdst) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method
	Mudstone [%] (Mudstone) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method
	Grain size, mean [phi] (Grain size mean) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method
	Standard deviation [±] (Std dev) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method * COMMENT: Of sample value
	Skewness (Skew) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method
	Kurtosis (Kurt) * PI: SIRIA Project Members * METHOD/DEVICE: Grain size, sieving/pipette, moments method
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	6264 data points
*/
Sample ID (Sample number)	Sample ID (Acess number from laboratory)	Sample ID (Reference sample in the collect)	Date/Time (of collecting)	Project	Sample method	Latitude (Grain size, sieving)	Longitude (Grain size, sieving)	Depth water [m] (Grain size, sieving/pipette)	Gravel [%] (Grain size, sieving/pipette, ...)	Sdst [%] (Grain size, sieving/pipette, ...)	Mudstone [%] (Grain size, sieving/pipette, ...)	Grain size mean [phi] (Grain size, sieving/pipette, ...)	Std dev [±] (Of sample value, Grain size, ...)	Skew (Grain size, sieving/pipette, ...)	Kurt (Grain size, sieving/pipette, ...)
87	91	91	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.1094	-7.2674	-26.00	0.80	4.00	95.20	7.880	2.400	-0.500	3.300
88	92	92	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.1365	-7.2676	-20.00	0.00	0.40	99.60	8.280	2.050	-0.140	1.950
89	93	93	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.1571	-7.2740	-16.00	0.20	2.50	97.30	7.840	2.320	-0.180	2.170
90	94	94	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.1755	-7.2771	-13.00	9.80	47.00	43.20	3.690	3.030	0.170	3.490
91	95	95	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.1181	-7.3838	-19.00	10.50	75.80	13.70	1.140	2.910	1.880	6.360
92	96	96	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.1017	-7.3812	-27.00	26.50	57.70	15.80	0.790	3.390	1.670	5.080
93	97	97	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.0850	-7.3799	-36.00	9.31	34.15	56.54	4.250	4.090	0.030	1.960
94	98	98	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.0653	-7.3789	-49.00	19.90	21.60	58.50	4.530	4.930	-0.210	1.600
95	99	99	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.0343	-7.3741	-77.00	0.00	1.40	98.60	8.100	2.210	-0.170	1.880
96	100	100	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.0039	-7.3728	-100.00	0.00	2.10	97.90	8.150	2.190	-0.200	1.960
97	101	101	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.1849	-7.1176	-13.00	40.90	53.20	5.90	-0.430	2.540	1.530	7.470
98	102	102	1999-09-08	SIRIA	SMT-Dredge SmitMacIntyre	37.1862	-7.1524	-12.00	40.90	56.80	2.30	-0.430	2.330	0.770	5.470
99	103	103	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	36.8306	-7.0137	-116.00	0.10	22.10	77.80	6.970	2.870	-0.100	1.860
100	104	104	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	36.8611	-6.9922	-110.00	0.00	1.50	98.50	8.440	2.040	-0.300	2.180
101	105	105	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.0601	-6.9177	-28.00	1.90	44.60	53.50	5.520	3.470	0.170	1.930
102	106	106	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.0857	-6.9060	-22.00	9.20	31.90	58.90	4.870	3.960	-0.150	2.170
103	107	107	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.0998	-6.8995	-18.00	18.80	77.60	3.60	0.390	1.970	2.270	13.330
104	108	108	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.1194	-6.8919	-11.00	4.90	92.10	3.00	2.230	1.660	0.010	7.280
105	109	109	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.1374	-6.9697	-11.00	14.70	84.30	1.00	0.480	1.440	-0.290	6.590
106	110	110	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.1142	-6.9760	-17.00	40.50	57.00	2.50	-0.530	1.910	1.310	8.280
107	111	111	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.0930	-6.9823	-22.00	0.00	0.70	99.30	8.640	2.020	-0.450	2.250
108	112	112	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.0684	-6.9906	-30.00	11.50	28.40	60.10	5.110	4.700	-0.310	1.730
109	113	113	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.0355	-7.0005	-39.00	0.20	9.20	90.60	7.410	2.680	-0.250	2.230
110	114	114	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.0648	-7.0737	-37.00	36.80	25.90	37.30	2.300	5.030	0.540	1.720
111	115	115	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.0981	-7.0698	-24.00	22.20	75.70	2.10	-0.040	1.860	1.760	12.180
112	116	116	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.1185	-7.0580	-18.00	17.00	82.10	0.90	-0.070	1.670	-0.290	7.110
113	117	117	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.1521	-7.0481	-13.00	9.88	89.64	0.48	0.470	1.210	-0.120	7.510
114	118	118	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.1890	-7.1397	-12.00	3.00	95.00	2.00	1.770	1.220	-0.040	7.760
115	119	119	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.1660	-7.1406	-16.00	35.70	55.60	8.70	0.210	2.960	1.780	6.780
116	120	120	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.1455	-7.1441	-20.00	11.90	77.80	10.30	1.040	2.750	2.160	7.760
117	121	121	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.1228	-7.1485	-22.00	31.00	59.80	9.20	0.290	3.010	2.020	7.340
118	122	122	2000-01-18	SIRIA	SMT-Dredge SmitMacIntyre	37.0899	-7.1517	-32.00	11.50	13.60	74.90	6.080	4.220	-0.700	2.420
119	469	469	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1421	-7.4167	-11.80	0.15	30.70	69.15	4.710	1.700	2.150	8.710
120	470	470	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1314	-7.4210	-13.00	2.87	60.41	36.72	3.500	2.430	0.640	4.810
121	471	471	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1263	-7.4226	-14.00	5.48	67.75	26.78	1.870	3.110	1.310	3.990
122	472	472	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1131	-7.4282	-15.00	4.01	46.50	49.48	4.070	2.350	0.260	5.560
123	473	473	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1005	-7.4301	-17.00	2.00	42.49	55.52	4.300	2.480	0.500	4.460
124	474	474	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1001	-7.4299	-22.00	35.23	50.60	14.17	0.300	3.350	1.630	5.370
125	475	475	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0949	-7.4311	-25.00	21.56	42.72	35.72	2.380	4.300	0.660	2.160
126	476	476	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0884	-7.4323	-32.00	10.60	27.10	62.30	4.560	4.080	-0.140	2.020
127	477	477	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0814	-7.4333	-38.00	0.37	24.65	74.98	5.840	3.170	-0.080	2.190
128	478	478	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0666	-7.4343	-52.00	0.00	0.00	100.00	8.090	2.200	-0.100	1.770
129	479	479	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0540	-7.4361	-64.00	0.00	0.40	99.60	8.150	2.180	-0.150	1.840
130	480	480	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0404	-7.4383	-78.00	0.00	0.76	99.24	8.240	2.130	-0.200	1.920
131	481	481	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0223	-7.4410	-90.00	0.00	0.77	99.23	8.370	2.080	-0.260	2.020
132	482	482	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0066	-7.4440	-92.00	0.41	12.33	87.26	7.590	2.800	-0.640	2.800
133	483	483	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0005	-7.4452	-95.00	14.86	23.89	61.25	5.190	4.540	-0.440	2.020
134	484	484	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9937	-7.4463	-97.00	12.66	28.00	59.34	5.220	4.450	-0.410	2.060
135	485	485	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9797	-7.4489	-103.00	8.21	32.16	59.63	5.540	3.990	-0.290	2.050
136	486	486	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9725	-7.4496	-108.00	1.14	39.98	58.89	5.830	3.460	0.050	1.790
137	487	487	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9610	-7.4513	-114.00	2.70	38.46	58.84	5.740	3.700	-0.110	1.860
138	488	488	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9505	-7.4128	-119.00	1.56	51.62	46.82	5.020	3.500	0.350	1.940
139	489	489	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9605	-7.4121	-111.00	0.90	42.69	56.41	5.650	3.390	0.160	1.870
140	490	490	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9700	-7.4115	-105.00	2.36	35.26	62.38	6.040	3.530	-0.180	2.020
141	491	491	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9776	-7.4125	-102.00	1.31	27.75	70.95	6.520	3.370	-0.310	2.050
142	492	492	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9880	-7.4122	-98.00	0.75	15.83	83.42	7.300	2.920	-0.520	2.610
143	493	493	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9969	-7.4121	-96.00	0.00	2.44	97.56	7.960	2.170	-0.120	2.210
144	494	494	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0147	-7.4118	-92.00	0.00	0.93	99.07	8.320	2.110	-0.270	2.100
145	495	495	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0455	-7.4111	-68.00	0.00	0.39	99.61	8.240	2.150	-0.190	1.870
146	496	496	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0618	-7.4125	-52.00	0.00	1.12	98.88	8.020	2.250	-0.120	1.800
147	497	497	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0804	-7.4119	-36.00	0.22	2.45	97.33	7.540	2.410	-0.010	2.080
148	498	498	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0839	-7.4120	-33.00	0.00	3.41	96.59	7.440	2.440	0.060	1.940
149	499	499	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0889	-7.4120	-30.00	4.97	31.34	63.69	4.800	3.590	0.020	2.250
150	500	500	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0928	-7.4120	-26.00	6.04	28.12	65.83	4.870	3.910	-0.100	1.960
151	501	501	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0981	-7.4121	-22.00	17.79	50.92	31.29	2.100	3.970	0.890	2.610
152	502	502	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1102	-7.4089	-16.00	18.25	69.59	12.16	0.610	2.860	2.050	7.180
153	503	503	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1152	-7.4078	-14.00	12.56	78.70	8.74	0.640	2.470	2.170	9.220
154	504	504	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1231	-7.4050	-12.00	11.67	65.18	23.14	1.760	2.980	1.040	4.080
155	505	505	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1298	-7.4026	-11.00	1.71	68.95	29.34	2.710	2.400	1.020	4.740
156	506	506	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1395	-7.3996	-9.00	0.20	50.56	49.24	4.470	1.790	2.110	8.210
157	507	507	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1457	-7.3977	-6.50	0.28	65.93	33.79	4.110	1.580	2.550	12.210
158	508	508	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1431	-7.3851	-6.50	1.30	84.63	14.07	3.430	1.550	1.290	13.380
159	509	509	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1309	-7.3861	-10.50	0.85	84.40	14.75	2.320	1.970	2.070	8.980
160	510	510	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1235	-7.3870	-12.00	9.00	86.07	4.93	0.740	1.890	2.200	12.670
161	511	511	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1122	-7.3861	-15.00	28.93	57.42	13.65	0.330	3.270	1.450	5.230
162	512	512	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1011	-7.3860	-21.00	19.65	68.14	12.21	0.580	2.960	2.110	7.070
163	513	513	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0974	-7.3864	-22.00	30.66	52.39	16.95	0.700	3.460	1.620	4.800
164	514	514	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0911	-7.3980	-28.00	10.32	35.16	54.52	4.040	3.980	0.120	2.010
165	515	515	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0830	-7.3974	-33.00	0.36	5.81	93.84	7.290	2.630	-0.230	2.620
166	516	516	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0753	-7.3921	-30.00	1.40	11.12	87.47	7.080	3.090	-0.640	3.000
167	517	517	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0626	-7.3919	-49.00	0.00	0.00	100.00	8.090	2.210	-0.110	1.760
168	518	518	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0503	-7.3967	-62.00	0.00	0.00	100.00	8.280	2.150	-0.210	1.860
169	519	519	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0271	-7.3915	-81.00	0.00	0.00	100.00	8.400	2.080	-0.240	1.930
170	520	520	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9970	-7.3842	-95.00	0.00	1.19	98.81	8.240	2.180	-0.260	2.060
171	521	521	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9898	-7.3835	-97.50	0.00	2.44	97.56	8.210	2.220	-0.310	2.120
172	522	522	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9796	-7.3833	-98.10	0.14	5.73	94.13	8.030	2.410	-0.490	2.640
173	523	523	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9790	-7.3833	-99.60	1.85	23.18	74.98	6.760	3.350	-0.520	2.630
174	524	524	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9734	-7.3845	-102.00	1.24	33.41	65.35	6.260	3.350	-0.100	1.870
175	525	525	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9578	-7.3840	-110.90	7.78	46.21	46.01	4.600	3.890	0.030	2.310
176	526	526	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9506	-7.3839	-116.00	1.41	42.76	55.83	5.610	3.430	0.130	1.930
177	527	527	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9441	-7.3838	-121.90	1.08	45.92	53.00	5.540	3.330	0.280	1.920
178	528	528	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9360	-7.3517	-123.00	0.22	51.50	48.28	5.280	3.260	0.490	1.920
179	529	529	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9506	-7.3537	-112.00	2.23	32.03	65.74	6.240	3.460	-0.230	2.080
180	530	530	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9641	-7.3549	-100.00	0.94	39.55	59.51	5.850	3.340	0.110	1.840
181	531	531	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9747	-7.3572	-95.00	0.12	18.65	81.24	7.240	2.990	-0.430	2.200
182	532	532	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	36.9891	-7.3574	-90.00	0.00	4.46	95.54	8.110	2.320	-0.400	2.370
183	533	533	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0027	-7.3594	-82.00	0.00	1.46	98.54	8.210	2.180	-0.260	2.090
184	534	534	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0222	-7.3608	-75.00	0.00	0.73	99.27	8.310	2.120	-0.230	1.970
185	535	535	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0466	-7.3622	-60.00	0.13	2.86	97.01	8.110	2.330	-0.450	2.650
186	536	536	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0649	-7.3637	-48.00	1.88	5.11	93.01	7.700	2.850	-0.990	4.120
187	537	537	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0827	-7.3648	-33.00	10.39	33.42	56.19	4.370	4.290	-0.010	1.800
188	538	538	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0999	-7.3666	-28.00	27.91	64.18	7.91	0.060	2.580	2.500	10.030
189	539	539	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1141	-7.3678	-23.00	22.06	61.46	16.48	0.870	3.240	1.690	5.250
190	540	540	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1278	-7.3683	-18.00	10.22	82.38	7.40	0.800	2.200	2.000	10.060
191	541	541	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1399	-7.3695	-12.00	1.58	95.83	2.59	1.710	1.190	1.180	20.970
192	542	542	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1347	-7.3139	-17.00	4.06	14.67	81.27	5.950	3.040	-0.430	3.690
193	543	543	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1428	-7.3161	-16.00	0.49	31.95	67.56	5.200	2.890	0.440	2.570
194	544	544	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1264	-7.3128	-18.00	16.06	72.81	11.13	0.810	2.770	1.850	6.840
195	545	545	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1180	-7.3104	-20.00	0.00	0.00	100.00	8.050	2.070	0.010	1.880
196	546	546	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1088	-7.3080	-22.00	0.00	0.00	100.00	8.760	1.800	-0.250	2.130
197	548	548	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.1019	-7.3073	-23.00	31.82	52.23	15.95	0.780	3.590	1.660	4.760
198	549	549	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0926	-7.3047	-25.00	20.65	71.94	7.41	0.380	2.570	2.410	9.660
199	550	550	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0922	-7.3048	-25.00	41.49	42.48	16.03	0.570	3.790	1.400	4.160
200	551	551	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0837	-7.3033	-31.00	5.45	66.88	27.68	3.150	3.500	0.970	3.040
201	552	552	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0735	-7.3009	-35.00	11.55	76.82	11.62	1.770	2.780	1.500	6.240
202	553	553	2000-11-21	SIRIA	SMT-Dredge SmitMacIntyre	37.0619	-7.2977	-38.00	7.95	64.43	27.61	3.000	3.680	0.860	2.870
203	554	554	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1431	-7.3851	-8.90	1.57	78.29	20.14	3.530	1.450	0.230	16.240
204	555	555	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1468	-7.3991	-6.70	0.01	83.76	16.23	3.600	1.140	3.580	22.560
205	556	556	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1437	-7.3862	-6.50	1.41	84.28	14.31	3.220	1.660	1.070	11.530
206	557	557	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1323	-7.3872	-10.70	0.16	21.52	78.31	6.970	3.300	-0.600	2.290
207	558	558	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1408	-7.3707	-8.20	1.04	97.87	1.10	1.690	0.860	-0.020	20.230
208	559	559	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1292	-7.3697	-10.90	2.00	97.55	0.45	1.450	0.900	-1.130	14.570
209	560	560	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1246	-7.3875	-12.00	9.95	87.41	2.64	0.500	1.650	2.450	16.060
210	561	561	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1121	-7.3873	-15.20	22.99	73.77	3.23	-0.100	1.750	1.870	12.040
211	562	562	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1028	-7.3874	-18.50	19.54	79.09	1.37	-0.290	1.410	2.290	18.810
212	563	563	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.0988	-7.3876	-21.70	40.04	54.33	5.63	-0.450	2.170	2.920	13.670
213	564	564	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.0770	-7.3892	-36.00	2.03	8.65	89.32	7.230	3.100	-0.840	3.560
214	565	565	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.0638	-7.3876	-47.90	0.60	5.63	93.77	7.560	2.680	-0.560	3.150
215	566	566	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.0505	-7.3889	-60.50	0.00	0.00	100.00	8.240	2.150	-0.190	1.840
216	567	567	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.0278	-7.3859	-79.50	0.00	0.52	99.48	8.370	2.100	-0.250	1.940
217	568	568	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.0479	-7.2977	-44.20	4.06	61.07	34.87	3.860	3.670	0.710	2.320
218	569	569	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.0545	-7.2235	-44.60	0.27	1.07	98.66	8.260	2.230	-0.440	2.740
219	570	570	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.0784	-7.2275	-35.70	2.66	9.92	87.43	7.200	3.320	-0.890	3.300
220	571	571	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1069	-7.2284	-24.50	24.88	26.89	48.23	3.510	4.820	0.170	1.600
221	572	572	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1335	-7.2292	-19.47	5.65	21.69	72.66	5.370	3.450	-0.200	2.640
222	573	573	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1556	-7.2313	-15.80	26.14	61.41	12.45	0.840	2.890	1.230	5.140
223	574	574	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1729	-7.2323	-12.20	44.55	53.74	1.71	-0.660	1.910	1.590	10.900
224	575	575	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1919	-7.0918	-6.60	18.96	77.30	3.74	0.740	2.220	1.590	9.080
225	576	576	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1646	-7.0952	-12.50	1.62	98.03	0.35	1.580	0.860	-0.760	7.110
226	577	577	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1439	-7.1016	-15.30	16.98	82.27	0.76	0.170	1.300	0.020	5.750
227	578	578	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.1161	-7.1066	-18.80	35.61	60.51	3.88	1.190	4.130	1.460	4.310
228	579	579	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.0879	-7.1130	-25.90	17.23	41.82	40.95	3.110	4.470	0.470	1.830
229	580	580	2001-02-06	SIRIA	SMT-Dredge SmitMacIntyre	37.0465	-7.0810	-40.50	0.12	2.08	97.80	8.120	2.310	-0.330	2.250
