/* DATA DESCRIPTION:
Citation:	INDIA Project Members (1999): Sample collection and characterization for the evaluation of coastal processes related to the dynamics of Ancao inlet within the frame of the INDIA project. PANGAEA, https://doi.org/10.1594/PANGAEA.883076, 
	In supplement to: Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Surficial sediment texture database for the south-western Iberian Atlantic margin. Earth System Science Data, 10(2), 1185-1195, https://doi.org/10.5194/essd-10-1185-2018
Original version:	Original data of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed) (URI: https://store.pangaea.de/Publications/Coasta-etal_2017/PLOSscripts.zip)
Further details:	Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Shape files of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed). PANGAEA, https://doi.org/10.1594/PANGAEA.890946
Coverage:	MEDIAN LATITUDE: 36.987818 * MEDIAN LONGITUDE: -7.965226 * SOUTH-BOUND LATITUDE: 36.983159 * WEST-BOUND LONGITUDE: -7.971246 * NORTH-BOUND LATITUDE: 36.992395 * EAST-BOUND LONGITUDE: -7.959329
	DATE/TIME START: 1997-01-01T00:00:00 * DATE/TIME END: 1999-02-02T00:00:00
	MINIMUM ELEVATION: 1.14 m a.s.l. * MAXIMUM ELEVATION: 5.04 m a.s.l.
Event(s):	IBAM-Sed_INDIA * LATITUDE: 36.986200 * LONGITUDE: -7.959400 * DATE/TIME START: 1997-01-01T00:00:00 * DATE/TIME END: 1999-02-02T00:00:00
Comment:	INDIA (1999). Inlet Dynamics Initiative: Algarve
Parameter(s):	Kurtosis (Kurt) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Sample ID (Sample ID) * PI: INDIA Project Members * COMMENT: Sample number
	Sample ID (Sample ID) * PI: INDIA Project Members * COMMENT: Acess number from laboratory
	Sample ID (Sample ID) * PI: INDIA Project Members * COMMENT: Reference sample in the collect
	Sample comment (Sample comment) * PI: INDIA Project Members
	DATE/TIME (Date/Time) * GEOCODE * PI: INDIA Project Members * COMMENT: of collecting
	Project (Project) * PI: INDIA Project Members
	LATITUDE (Latitude) * GEOCODE * PI: INDIA Project Members
	LONGITUDE (Longitude) * GEOCODE * PI: INDIA Project Members
	ELEVATION [m a.s.l.] (Elevation) * GEOCODE * PI: INDIA Project Members * COMMENT: Relative to mean sea level (m)
	Gravel [%] (Gravel) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving
	Sandstone [%] (Sdst) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving
	Mudstone [%] (Mudstone) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving
	Grain size, mean [phi] (Grain size mean) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Standard deviation [±] (Std dev) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: Of sample value
	Skewness (Skew) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Kurtosis (Kurt) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method
	Mode, grain size [phi] (Mode) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 1st Mode sample value
	Mode, grain size [phi] (Mode) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 2nd Mode sample value
	Mode, grain size [phi] (Mode) * PI: INDIA Project Members * METHOD/DEVICE: Grain size, sieving, Folk and Ward method * COMMENT: 3rd Mode sample value
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	3156 data points
*/
Kurt (Grain size, sieving, Folk and...)	Sample ID (Sample number)	Sample ID (Acess number from laboratory)	Sample ID (Reference sample in the collect)	Sample comment	Date/Time (of collecting)	Project	Latitude	Longitude	Elevation [m a.s.l.] (Relative to mean sea level (m))	Gravel [%] (Grain size, sieving)	Sdst [%] (Grain size, sieving)	Mudstone [%] (Grain size, sieving)	Grain size mean [phi] (Grain size, sieving, Folk and...)	Std dev [±] (Of sample value, Grain size, ...)	Skew (Grain size, sieving, Folk and...)	Kurt (Grain size, sieving, Folk and...)	Mode [phi] (1st Mode sample value, Grain ...)	Mode [phi] (2nd Mode sample value, Grain ...)	Mode [phi] (3rd Mode sample value, Grain ...)
1.341	101	602A	L11		1997-01-01	INDIA	36.986821513	-7.965885107		24.30	75.70	0.0	-0.548	0.861	-0.252	1.341	-0.243		
1.313	102	603A	L12		1997-01-01	INDIA	36.986980453	-7.965686284		11.50	88.50	0.0	0.037	0.894	-0.267	1.313	0.247		
1.011	103	604A	L13		1997-01-01	INDIA	36.987139483	-7.965487348		1.10	98.90	0.0	0.315	0.570	-0.014	1.011	0.247		
1.017	104	605A	L14		1997-01-01	INDIA	36.987298512	-7.965288410		2.00	98.00	0.0	0.134	0.573	0.001	1.017	0.247		
1.487	105	606A	L15		1997-01-01	INDIA	36.987457541	-7.965089472		21.70	78.30	0.0	-0.448	1.007	-0.279	1.487	-0.243		
1.129	106	607A	L16		1997-01-01	INDIA	36.987616479	-7.964890646		8.30	91.70	0.0	0.001	0.736	-0.088	1.129	0.247		
1.339	107	608A	L17		1997-01-01	INDIA	36.987775508	-7.964691706		27.50	72.50	0.0	-0.720	1.365	-0.424	1.339	-0.243	-3.743	
0.991	108	609A	M12		1997-01-01	INDIA	36.986820865	-7.965488039		3.60	96.40	0.0	0.170	0.646	-0.004	0.991	0.247		
1.029	109	610A	M13		1997-01-01	INDIA	36.986979895	-7.965289102		3.80	96.20	0.0	0.200	0.630	-0.029	1.029	0.247		
1.000	110	611A	M14		1997-01-01	INDIA	36.987138924	-7.965090165		5.00	95.00	0.0	0.100	0.635	-0.026	1.000	0.247		
0.986	111	612A	M15		1997-01-01	INDIA	36.987297952	-7.964891227		3.90	96.10	0.0	0.200	0.645	-0.058	0.986	0.247		
1.004	112	613A	M16		1997-01-01	INDIA	36.987456890	-7.964692401		2.50	97.50	0.0	0.265	0.655	0.003	1.004	0.247		
1.096	113	614A	N12		1997-01-01	INDIA	36.986661277	-7.965289795		0.90	99.10	0.0	0.988	0.594	0.011	1.096	0.747		
1.009	114	615A	N13		1997-01-01	INDIA	36.986820306	-7.965090858		6.60	93.40	0.0	0.152	0.756	-0.082	1.009	0.247		
352409688581.000	115	616A	N14		1997-01-01	INDIA	36.986979335	-7.964891921		3.20	96.80	0.0	0.224	0.571	-0.118	352409688581.000	0.247		
0.965	116	617A	N15		1997-01-01	INDIA	36.987138363	-7.964692983		0.40	99.60	0.0	0.301	0.543	0.068	0.965	0.247		
1.066	117	618A	N16		1997-01-01	INDIA	36.987297301	-7.964494156		28.90	71.10	0.0	-1.116	1.755	-0.551	1.066	-0.243	-3.743	
0.722	118	619A	N17		1997-01-01	INDIA	36.987456329	-7.964295217		36.40	63.60	0.0	-1.149	1.712	-0.498	0.722	-0.243	-3.743	
1.144	119	620A	O12		1997-01-01	INDIA	36.986342190	-7.964893420		16.60	83.40	0.0	0.257	1.272	-0.457	1.144	1.247	-3.243	
0.998	120	621A	O14		1997-01-01	INDIA	36.986660247	-7.964495547		3.50	96.50	0.0	0.179	0.604	-0.054	0.998	0.247		
1.017	121	622A	O16		1997-01-01	INDIA	36.986978212	-7.964097782		0.10	99.90	0.0	0.648	0.522	-0.037	1.017	0.747		
1.198	122	623A	O18		1997-01-01	INDIA	36.987296265	-7.963699902		8.00	92.00	0.0	-0.095	0.662	-0.155	1.198	0.247		
1.218	123	624A	Q12		1997-01-01	INDIA	36.985703923	-7.964100570		8.70	91.30	0.0	0.315	0.884	-0.236	1.218	0.747		
1.355	124	625A	Q14		1997-01-01	INDIA	36.986021976	-7.963702696		10.70	89.30	0.0	0.112	0.931	-0.266	1.355	0.247		
1.069	125	626A	Q15		1997-01-01	INDIA	36.986181002	-7.963503758		7.90	92.10	0.0	-0.166	0.605	-0.064	1.069	-0.243		
1.072	126	627A	Q16		1997-01-01	INDIA	36.986339938	-7.963304932		0.20	99.80	0.0	0.620	0.352	-0.109	1.072	0.747		
1.039	127	628A	Q18		1997-01-01	INDIA	36.986657989	-7.962907051		0.40	99.60	0.0	1.238	0.639	-0.039	1.039	1.247		
1.013	128	629A	Q20		1997-01-01	INDIA	36.986976039	-7.962509168		1.40	98.60	0.0	1.184	0.622	-0.065	1.013	1.247		
1.009	129	630A	R12		1997-01-01	INDIA	36.985384742	-7.963704093		9.20	90.80	0.0	0.204	0.862	-0.185	1.009	0.747		
1.242	130	631A	R14		1997-01-01	INDIA	36.985702794	-7.963306219		27.10	72.90	0.0	-0.975	1.801	-0.586	1.242	0.247	-4.243	
1.106	131	632A	R15		1997-01-01	INDIA	36.985861819	-7.963107281		3.70	96.30	0.0	0.670	0.739	-0.145	1.106	0.747		
1.101	132	633A	R16		1997-01-01	INDIA	36.986020755	-7.962908455		4.30	95.70	0.0	0.311	0.644	-0.107	1.101	0.247		
1.014	133	634A	R20		1997-01-01	INDIA	36.986656852	-7.962112692		0.00	100.00	0.0	0.663	0.630	0.062	1.014	0.747		
0.872	134	635A	S14		1997-01-01	INDIA	36.985383700	-7.962909858		51.60	48.40	0.0	-1.365	1.341	-0.293	0.872	-0.243	-3.243	
1.068	135	636A	T12		1997-01-01	INDIA	36.984746466	-7.962911262		3.60	96.40	0.0	0.911	0.936	-0.120	1.068	1.247		
1.022	136	637A	T13		1997-01-01	INDIA	36.984905491	-7.962712326		7.40	92.60	0.0	0.496	1.007	-0.105	1.022	0.747		
1.098	137	638A	U12		1997-01-01	INDIA	36.984427372	-7.962514907		0.80	99.20	0.0	0.763	0.636	-0.053	1.098	0.747		
0.995	138	639A	U13		1997-01-01	INDIA	36.984586395	-7.962315971		3.40	96.60	0.0	0.286	0.686	-0.045	0.995	0.247		
1.119	139	640A	U14		1997-01-01	INDIA	36.984745419	-7.962117034		9.30	90.70	0.0	0.161	0.856	-0.184	1.119	0.247		
0.696	140	641A	U16		1997-01-01	INDIA	36.985063376	-7.961719269		67.50	32.50	0.0	-1.945	1.375	-0.296	0.696	-0.743	-3.743	
0.976	141	642A	U20		1997-01-01	INDIA	36.985699466	-7.960923506		0.00	100.00	0.0	1.074	0.576	0.056	0.976	0.747		
	142	643A	P3 - TP	Low tide terrace	1999-02-02	INDIA	36.988777097	-7.969008453	1.14	0.22	99.78	0.0	0.769	0.342	0.074				
	143	644A	P3 - TM E8		1999-02-02	INDIA	36.988975869	-7.968759813	1.88	0.69	99.31	0.0	0.524	0.455	0.334				
	144	645A	P3 - FP E11	Beach face	1999-02-02	INDIA	36.989174640	-7.968511172	3.03	0.39	99.61	0.0	0.672	0.339	0.041				
	145	646A	P3 PM		1999-02-02	INDIA	36.989373410	-7.968262530	4.96	0.00	100.00	0.0	1.496	0.234	-0.165				
	146	647A	P3 - TP	Low tide terrace	1999-02-02	INDIA	36.988777097	-7.969008453	1.74	0.14	99.86	0.0	2.127	0.285	-1.165				
	147	648A	P3 - FP E6	Beach face	1999-02-02	INDIA	36.989174640	-7.968511172	4.07	0.14	99.86	0.0	1.496	0.279	-0.913				
	148	649A	P3 - BERMA E8	Berm	1999-02-02	INDIA	36.989373410	-7.968262530	4.61	0.36	99.64	0.0	0.885	0.502	-0.175				
	149	650A	P3-FP E2	Beach face	1999-02-02	INDIA	36.989174640	-7.968511172	4.16	0.06	99.94	0.0	1.407	0.213	-0.524				
	150	651A	P3- BERMA E4	Berm	1999-02-02	INDIA	36.989373410	-7.968262530	5.04	1.13	98.87	0.0	0.521	0.471	-0.175				
0.988	151	652A	A20		1997-01-01	INDIA	36.990486550	-7.966870060		3.40	96.60	0.0	0.446	0.731	-0.133	0.988	0.747		
1.020	152	653A	A22		1997-01-01	INDIA	36.990804520	-7.966472290		1.20	98.80	0.0	0.800	0.716	-0.083	1.020	0.747		
0.976	153	654A	A26		1997-01-01	INDIA	36.991440550	-7.965676620		1.90	98.10	0.0	1.159	0.790	0.020	0.976	0.747		
1.083	154	655A	A28		1997-01-01	INDIA	36.992394630	-7.964483030		0.40	99.60	0.0	0.917	0.583	-0.078	1.083	0.747		
1.122	155	656A	C19		1997-01-01	INDIA	36.989689260	-7.966276100		1.50	98.50	0.0	0.587	0.523	-0.125	1.122	0.747		
0.973	156	657A	C20		1997-01-01	INDIA	36.989848290	-7.966077150		1.30	98.70	0.0	1.164	0.872	-0.086	0.973	1.247		
1.070	157	658A	C22		1997-01-01	INDIA	36.990166260	-7.965679380		2.10	97.90	0.0	0.839	0.712	-0.015	1.070	0.747		
1.056	158	659A	C24		1997-01-01	INDIA	36.990484320	-7.965281490		3.00	97.00	0.0	0.122	0.654	0.108	1.056	-0.243		
1.109	159	660A	C25		1997-01-01	INDIA	36.990802290	-7.964883710		0.70	99.30	0.0	0.648	0.627	-0.003	1.109	0.747		
1.256	160	661A	C26		1997-01-01	INDIA	36.991120350	-7.964485810		5.00	95.00	0.0	0.661	0.781	-0.149	1.256	0.747		
1.900	161	662A	D18		1997-01-01	INDIA	36.989211060	-7.966078530		16.60	83.40	0.0	-0.010	1.347	-0.244	1.900	0.247	-3.743	2.237
0.973	162	663A	D19		1997-01-01	INDIA	36.989370090	-7.965879590		0.00	100.00	0.0	1.772	0.644	-0.029	0.973	1.747		
0.645	163	664A	D20		1997-01-01	INDIA	36.989529120	-7.965680650		0.10	54.50	45.4	3.205	1.188	0.158	0.645	4.477	2.237	
0.573	164	665A	D21		1997-01-01	INDIA	36.989688060	-7.965481820		0.00	100.00	0.0	-4.736	0.715	0.682	0.573	-5.235	-3.743	
1.413	165	666A	D22		1997-01-01	INDIA	36.989847090	-7.965282870		14.00	86.00	0.0	0.652	1.492	-0.407	1.413	1.247	-3.743	
1.055	166	667A	D23		1997-01-01	INDIA	36.990006120	-7.965083930		5.20	94.80	0.0	0.691	0.953	-0.114	1.055	0.747		
1.131	167	668A	D24		1997-01-01	INDIA	36.990165150	-7.964884980		21.80	78.20	0.0	0.076	1.749	-0.227	1.131	0.747	-3.243	
0.984	168	669A	D25		1997-01-01	INDIA	36.990483110	-7.964487200		2.00	98.00	0.0	0.692	0.798	0.010	0.984	0.747		
0.962	169	670A	D26		1997-01-01	INDIA	36.990801170	-7.964089310		5.00	95.00	0.0	0.189	0.707	-0.029	0.962	0.247		
1.128	170	671A	E18		1997-01-01	INDIA	36.989051470	-7.965880280		0.40	99.60	0.0	1.069	0.667	0.077	1.128	1.247		
1.155	171	672A	E20		1997-01-01	INDIA	36.989369530	-7.965482400		22.30	77.70	0.0	-0.614	0.620	-0.088	1.155	-0.743		
0.822	172	673A	E22		1997-01-01	INDIA	36.989687500	-7.965084620		100.00	0.00	0.0	-5.538	0.319	0.272	0.822	-5.735		
1.662	173	674A	E24		1997-01-01	INDIA	36.990005560	-7.964686730		4.60	95.40	0.0	1.247	0.850	-0.253	1.662	1.247		
1.225	174	675A	F17		1997-01-01	INDIA	36.988732860	-7.965880970		1.10	98.90	0.0	0.955	0.749	0.184	1.225	0.747		
1.360	175	677A	F18		1997-01-01	INDIA	36.988891890	-7.965682030		9.10	90.90	0.0	0.083	0.976	0.105	1.360	-0.243	2.237	
1.163	176	678A	F19		1997-01-01	INDIA	36.989050920	-7.965483090		22.70	77.30	0.0	-0.310	1.134	-0.350	1.163	0.247	-3.243	
1.157	177	679A	F21		1997-01-01	INDIA	36.989368880	-7.965085320		14.40	85.60	0.0	-0.154	0.837	-0.184	1.157	-0.243		
1.289	178	680A	F22		1997-01-01	INDIA	36.989527910	-7.964886370		2.10	97.90	0.0	0.850	0.627	-0.079	1.289	0.747		
1.265	179	681A	F23		1997-01-01	INDIA	36.989686940	-7.964687430		1.30	98.70	0.0	0.845	0.582	-0.057	1.265	0.747		
0.976	180	682A	F24		1997-01-01	INDIA	36.989845970	-7.964488480		0.70	99.30	0.0	1.457	0.609	0.123	0.976	1.247		
1.112	181	683A	F25		1997-01-01	INDIA	36.990163930	-7.964090700		14.60	85.40	0.0	0.252	1.150	-0.286	1.112	0.747		
1.252	182	684A	F26		1997-01-01	INDIA	36.990481990	-7.963692800		24.10	75.90	0.0	-0.279	1.297	-0.157	1.252	-0.743	-3.743	
1.011	183	685A	F28		1997-01-01	INDIA	36.991118000	-7.962897110		5.50	94.50	0.0	0.413	0.793	-0.129	1.011	0.747		
1.057	184	686A	G18		1997-01-01	INDIA	36.988732390	-7.965483890		8.80	91.20	0.0	0.202	0.827	-0.205	1.057	0.747		
1.098	185	687A	G20		1997-01-01	INDIA	36.989050450	-7.965086010		2.80	97.20	0.0	1.062	0.826	-0.229	1.098	1.247		
0.953	186	688A	G22		1997-01-01	INDIA	36.989368410	-7.964688230		0.70	99.30	0.0	0.360	0.489	-0.090	0.953	0.247		
0.941	187	689A	G24		1997-01-01	INDIA	36.989686470	-7.964290340		0.60	99.40	0.0	1.234	0.739	0.032	0.941	1.247		
1.074	188	690A	H17		1997-01-01	INDIA	36.988413770	-7.965484580		2.20	97.80	0.0	0.319	0.626	-0.073	1.074	0.247		
0.635	189	691A	H18		1997-01-01	INDIA	36.988572800	-7.965285640		42.00	58.00	0.0	-0.948	1.745	-0.331	0.635	0.747	-3.243	
1.066	190	692A	H19		1997-01-01	INDIA	36.988731830	-7.965086700		8.20	91.80	0.0	-0.065	0.682	-0.076	1.066	-0.243		
1.098	191	693A	H20		1997-01-01	INDIA	36.988890770	-7.964887870		42.90	57.10	0.0	-0.937	1.241	-0.183	1.098	-0.743		
0.999	192	694A	H21		1997-01-01	INDIA	36.989049800	-7.964688930		16.60	83.40	0.0	-0.167	0.870	-0.098	0.999	-0.243		
1.017	193	695A	H22		1997-01-01	INDIA	36.989208820	-7.964489980		8.20	91.80	0.0	0.048	0.730	-0.132	1.017	0.247		
1.058	194	696A	H23		1997-01-01	INDIA	36.989367850	-7.964291040		0.30	99.70	0.0	0.990	0.517	-0.045	1.058	1.247		
0.965	195	697A	H24		1997-01-01	INDIA	36.989526790	-7.964092210		0.90	99.10	0.0	1.179	0.845	-0.148	0.965	1.247		
0.999	196	698A	I18		1997-01-01	INDIA	36.988413210	-7.965087390		25.60	74.40	0.0	-0.250	1.594	-0.563	0.999	0.747	-3.243	-2.243
0.779	197	699A	I20		1997-01-01	INDIA	36.988731180	-7.964689620		42.60	57.40	0.0	-0.984	1.455	-0.223	0.779	-0.243	-3.243	
0.765	198	700A	I22		1997-01-01	INDIA	36.989049230	-7.964291740		46.40	53.60	0.0	-1.109	1.458	-0.206	0.765	-0.243	-3.243	-2.243
0.994	199	701A	I24		1997-01-01	INDIA	36.989367200	-7.963893960		2.80	97.20	0.0	0.779	0.859	-0.024	0.994	0.747		
1.005	200	702A	J17		1997-01-01	INDIA	36.988094600	-7.965088200		4.50	95.50	0.0	0.159	0.682	0.034	1.005	0.247		
0.558	201	703A	J18		1997-01-01	INDIA	36.988253620	-7.964889260		43.00	57.00	0.0	-1.219	1.780	-0.409	0.558	-3.743	0.247	
1.190	202	704A	J19		1997-01-01	INDIA	36.988412650	-7.964690320		28.00	72.00	0.0	-0.704	1.412	-0.418	1.190	-0.243	-3.243	-2.243
1.093	203	705A	J20		1997-01-01	INDIA	36.988571680	-7.964491380		7.40	92.60	0.0	0.017	0.687	-0.091	1.093	0.247		
1.881	204	706A	J21		1997-01-01	INDIA	36.988730620	-7.964292540		85.90	14.10	0.0	-2.959	1.397	0.659	1.881	-3.743		
0.802	205	707A	J22		1997-01-01	INDIA	36.988889640	-7.964093600		39.50	60.50	0.0	-0.992	1.618	-0.306	0.802	0.247	-3.243	
1.076	206	708A	J23		1997-01-01	INDIA	36.989048670	-7.963894660		31.50	68.50	0.0	-0.601	1.219	-0.239	1.076	-0.243		
1.316	207	709A	J24		1997-01-01	INDIA	36.989207700	-7.963695710		5.00	95.00	0.0	1.157	0.901	-0.299	1.316	1.247		
1.414	208	710A	J25		1997-01-01	INDIA	36.989525660	-7.963297930		4.30	95.70	0.0	1.139	0.794	-0.220	1.414	1.247		
0.993	209	711A	J26		1997-01-01	INDIA	36.989843710	-7.962900030		8.40	91.60	0.0	0.333	0.919	-0.204	0.993	0.747		
1.041	210	712A	K17		1997-01-01	INDIA	36.987935100	-7.964889950		35.30	64.70	0.0	-0.711	0.764	-0.042	1.041	-0.743		
1.249	211	713A	K18		1997-01-01	INDIA	36.988094120	-7.964691010		20.80	79.20	0.0	-0.421	0.851	-0.044	1.249	-0.243		
0.985	212	714A	K19		1997-01-01	INDIA	36.988253150	-7.964492070		15.10	84.90	0.0	0.073	0.993	-0.186	0.985	0.747		
1.099	213	715A	K20		1997-01-01	INDIA	36.988412180	-7.964293130		19.70	80.30	0.0	-0.178	1.053	-0.217	1.099	0.247		
1.071	214	716A	K21		1997-01-01	INDIA	36.988571120	-7.964094300		6.10	93.90	0.0	0.307	0.756	-0.166	1.071	0.747		
0.685	215	717A	K22		1997-01-01	INDIA	36.988730140	-7.963895350		77.20	22.80	0.0	-3.017	2.149	0.362	0.685	-5.235	-3.743	-0.743
1.007	216	718A	K24		1997-01-01	INDIA	36.989048200	-7.963497460		0.50	99.50	0.0	1.169	0.635	-0.043	1.007	1.247		
0.993	217	719A	L18		1997-01-01	INDIA	36.987934540	-7.964492770		3.10	96.90	0.0	0.268	0.665	-0.050	0.993	0.247		
1.079	218	720A	L19		1997-01-01	INDIA	36.988093560	-7.964293820		2.70	97.30	0.0	0.550	0.676	-0.176	1.079	0.747		
1.026	219	721A	L20		1997-01-01	INDIA	36.988252590	-7.964094880		1.60	98.40	0.0	0.434	0.644	-0.124	1.026	0.747		
1.092	220	722A	L21		1997-01-01	INDIA	36.988411530	-7.963896050		11.50	88.50	0.0	0.038	0.868	-0.148	1.092	0.247		
0.990	221	723A	L22		1997-01-01	INDIA	36.988570550	-7.963697110		7.30	92.70	0.0	0.211	0.800	-0.136	0.990	0.747		
1.317	222	724A	L23		1997-01-01	INDIA	36.988729580	-7.963498160		19.00	81.00	0.0	-0.111	1.246	-0.263	1.317	0.247	-3.243	
1.194	223	725A	L24		1997-01-01	INDIA	36.988888610	-7.963299220		8.20	91.80	0.0	0.418	0.913	-0.203	1.194	0.747		
1.145	224	726A	L25		1997-01-01	INDIA	36.989206570	-7.962901440		0.70	99.30	0.0	0.958	0.602	-0.148	1.145	1.247		
0.906	225	727A	L26		1997-01-01	INDIA	36.989524620	-7.962503540		15.70	84.30	0.0	0.292	1.179	-0.242	0.906	1.247		
1.168	226	728A	L28		1997-01-01	INDIA	36.990160620	-7.961707850		24.40	75.60	0.0	-0.410	1.717	-0.512	1.168	0.747	-3.243	
1.039	227	729A	M17		1997-01-01	INDIA	36.987615920	-7.964493460		5.60	94.40	0.0	0.042	0.611	-0.084	1.039	0.247		
1.041	228	730A	M18		1997-01-01	INDIA	36.987774950	-7.964294520		6.00	94.00	0.0	0.069	0.629	-0.116	1.041	0.247		
1.001	229	731A	M19		1997-01-01	INDIA	36.987933970	-7.964095580		2.80	97.20	0.0	0.357	0.669	-0.135	1.001	0.747		
1.066	230	732A	M20		1997-01-01	INDIA	36.988093000	-7.963896640		3.50	96.50	0.0	0.505	0.708	-0.216	1.066	0.747		
1.461	231	733A	M21		1997-01-01	INDIA	36.988251940	-7.963697810		25.60	74.40	0.0	-0.504	1.307	-0.336	1.461	-0.243	-3.743	
1.178	232	734A	M22		1997-01-01	INDIA	36.988410960	-7.963498860		20.40	79.60	0.0	-0.032	1.332	-0.313	1.178	0.747	-3.243	
1.054	233	735A	M23		1997-01-01	INDIA	36.988569990	-7.963299920		6.60	93.40	0.0	0.287	0.818	-0.091	1.054	0.247		
1.135	234	736A	M24		1997-01-01	INDIA	36.988729010	-7.963100970		5.50	94.40	0.0	0.529	0.905	-0.045	1.135	0.747		
1.098	235	737A	N18		1997-01-01	INDIA	36.987615360	-7.964096280		31.20	68.80	0.0	-0.617	1.069	-0.209	1.098	-0.243		
1.068	236	738A	N19		1997-01-01	INDIA	36.987774380	-7.963897330		9.80	90.20	0.0	0.140	0.843	-0.181	1.068	0.247		
1.070	237	739A	N20		1997-01-01	INDIA	36.987933410	-7.963698390		14.30	85.70	0.0	-0.014	0.922	-0.157	1.070	0.247		
1.097	238	740A	N21		1997-01-01	INDIA	36.988092350	-7.963499560		20.40	79.60	0.0	-0.078	1.229	-0.232	1.097	0.747	-2.743	
1.068	239	741A	N22		1997-01-01	INDIA	36.988251370	-7.963300620		10.20	89.80	0.0	0.223	0.978	-0.063	1.068	0.247		
0.992	240	742A	N23		1997-01-01	INDIA	36.988410400	-7.963101670		4.60	95.40	0.0	0.694	0.892	-0.133	0.992	0.747		
1.038	241	743A	N24		1997-01-01	INDIA	36.988569420	-7.962902730		11.20	88.80	0.0	0.378	1.123	-0.179	1.038	0.747		
1.029	242	744A	O20		1997-01-01	INDIA	36.987614320	-7.963302020		3.70	96.30	0.0	0.461	0.737	-0.157	1.029	0.747		
1.037	243	745A	O22		1997-01-01	INDIA	36.987932280	-7.962904240		0.40	99.60	0.0	0.897	0.675	0.007	1.037	0.747		
1.110	244	746A	O24		1997-01-01	INDIA	36.988250330	-7.962506350		8.40	91.60	0.0	0.718	1.023	-0.307	1.110	1.247		
1.374	245	747A	O25		1997-01-01	INDIA	36.988568290	-7.962108570		3.40	96.60	0.0	0.958	0.738	-0.354	1.374	1.247		
0.886	246	748A	O26		1997-01-01	INDIA	36.988886330	-7.961710680		2.50	97.50	0.0	0.582	0.822	-0.085	0.886	1.247		
1.090	247	749A	Q22		1997-01-01	INDIA	36.987294000	-7.962111390		3.50	96.10	0.0	0.409	0.798	0.030	1.090	0.247		
0.952	248	750A	Q24		1997-01-01	INDIA	36.987612040	-7.961713500		3.20	96.80	0.0	0.615	0.811	-0.144	0.952	1.247		
1.104	249	751A	Q25		1997-01-01	INDIA	36.987930000	-7.961315720		18.40	81.60	0.0	0.060	1.325	-0.103	1.104	-0.243	1.247	
1.918	250	752A	Q26		1997-01-01	INDIA	36.988248040	-7.960917830		8.90	91.10	0.0	0.418	1.214	-0.331	1.918	0.747	-3.743	
1.050	251	753A	Q28		1997-01-01	INDIA	36.988884040	-7.960122140		2.20	97.80	0.0	0.490	0.688	-0.084	1.050	0.747		
1.103	252	754A	R22		1997-01-01	INDIA	36.986974810	-7.961714920		2.20	96.40	0.0	0.738	0.633	-0.070	1.103	0.747		
1.079	253	755A	R24		1997-01-01	INDIA	36.987292850	-7.961317030		1.10	98.90	0.0	0.870	0.810	0.091	1.079	0.747		
0.915	254	756A	S24		1997-01-01	INDIA	36.986973750	-7.960920670		1.30	98.70	0.0	0.799	0.744	-0.039	0.915	0.747		
1.072	255	757A	S25		1997-01-01	INDIA	36.987291710	-7.960522890		0.60	99.40	0.0	1.965	0.480	-0.056	1.072	2.237		
1.220	256	758A	S26		1997-01-01	INDIA	36.987609750	-7.960124990		2.60	97.40	0.0	1.329	0.794	-0.311	1.220	1.747		
0.991	257	759A	S28		1997-01-01	INDIA	36.988245740	-7.959329300		1.10	98.90	0.0	1.056	0.745	-0.235	0.991	1.247		
1.772	258	760A	U24		1997-01-01	INDIA	36.986335460	-7.960127840		16.70	82.40	0.0	0.615	1.702	-0.656	1.772	1.747	-3.743	
1.097	259	761A	U24,5		1997-01-01	INDIA	36.986494390	-7.959929010		1.20	98.80	0.0	1.005	0.621	-0.110	1.097	1.247		
1.159	260	762A	U25		1997-01-01	INDIA	36.986653410	-7.959730060		6.10	93.90	0.0	0.593	0.884	-0.256	1.159	0.747		
